foundation_model,outcome_type,family,fitted_models,evidential_role
GigaSSL,binary,aneuploidy,11,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,binary,driver_mutation,38,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,binary,fusion,6,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,binary,microsatellite_instability,3,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,binary,microsatellite_instability_sensitivity,3,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,binary,oncogenic_pathway,31,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,continuous,aneuploidy,6,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,continuous,fusion,2,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,continuous,microsatellite_instability,4,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,continuous,rna_pathway_activity,487,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
GigaSSL,continuous,thorsson,204,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,binary,aneuploidy,11,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,binary,driver_mutation,38,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,binary,fusion,6,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,binary,microsatellite_instability,3,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,binary,microsatellite_instability_sensitivity,3,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,binary,oncogenic_pathway,31,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,continuous,aneuploidy,6,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,continuous,fusion,2,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,continuous,microsatellite_instability,4,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,continuous,rna_pathway_activity,487,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
ProvGigaPath,continuous,thorsson,204,representation-specific coefficients for the shared TITAN-qualified matched-eligible target universe; object presence is independent of this representation's crossing status and is not representation-specific permutation/FDR qualification
TITAN,binary,aneuploidy,12,permutation/FDR-qualified TITAN atlas candidates
TITAN,binary,driver_mutation,42,permutation/FDR-qualified TITAN atlas candidates
TITAN,binary,fusion,6,permutation/FDR-qualified TITAN atlas candidates
TITAN,binary,microsatellite_instability,3,permutation/FDR-qualified TITAN atlas candidates
TITAN,binary,microsatellite_instability_sensitivity,3,permutation/FDR-qualified TITAN atlas candidates
TITAN,binary,oncogenic_pathway,33,permutation/FDR-qualified TITAN atlas candidates
TITAN,continuous,aneuploidy,9,permutation/FDR-qualified TITAN atlas candidates
TITAN,continuous,fusion,3,permutation/FDR-qualified TITAN atlas candidates
TITAN,continuous,microsatellite_instability,4,permutation/FDR-qualified TITAN atlas candidates
TITAN,continuous,rna_pathway_activity,533,permutation/FDR-qualified TITAN atlas candidates
TITAN,continuous,thorsson,221,permutation/FDR-qualified TITAN atlas candidates
