gs_name,gene_symbol,ncbi_gene,gs_collection,gs_subcollection,db_version,gs_id,gs_description
HALLMARK_ADIPOGENESIS,ABCA1,19,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ABCB8,11194,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ACAA2,10449,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ACADL,33,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ACADM,34,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ACADS,35,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ACLY,47,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ACO2,50,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ACOX1,51,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ADCY6,112,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ADIG,149685,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ADIPOQ,9370,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,ADIPOR2,79602,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,AGPAT3,56894,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
HALLMARK_ADIPOGENESIS,AIFM1,9131,H,"",2026.1.Hs,M5905,Genes up-regulated during adipocyte differentiation (adipogenesis).
