outcome_type,family,tumor_type,endpoint,n,positive,negative,representations_retained,n_representations_retained,consensus_class,effect_TITAN,effect_GigaSSL,effect_ProvGigaPath,priority_score,TITAN_tss_random_metric,TITAN_tss_grouped_metric,TITAN_tss_status,TITAN_tss_near_chance_or_worse,matched_grouped_metric_TITAN,matched_grouped_metric_GigaSSL,matched_grouped_metric_ProvGigaPath,matched_grouped_retained_TITAN,matched_grouped_retained_GigaSSL,matched_grouped_retained_ProvGigaPath,sample_size_maturity,matched_tss_retention_class,internal_robustness_class,interpretation,selection_reason
continuous,rna_pathway_activity,TGCT,HALLMARK_GLYCOLYSIS,149,,,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.72279893745324,0.622765731006394,0.666934648791333,0.622765731006394,0.764436895741565,0.810566860184775,retained under TSS grouping,False,0.671974373836618,0.64710806901928,0.657490741646259,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required",all-three continuous: largest TITAN effect
continuous,rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,149,,,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.721836408052679,0.644968218445681,0.623691485861132,0.623691485861132,0.634345378974812,0.736220698305602,retained under TSS grouping,False,0.657744569068747,0.59061283335324,0.533963617482964,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required",all-three continuous: largest mean alternative-representation effect
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),373,56,317,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.940232086525462,0.850777377196936,0.857311852185669,0.850777377196936,0.783358237865958,0.730034866345675,retained under TSS grouping,False,0.757210455159982,0.768814781433078,0.8176261829653,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required",all-three binary: largest TITAN effect
binary,driver_mutation,READ,TP53,134,66,68,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.936274509803922,0.905971479500891,0.882798573975045,0.882798573975045,0.838603425559947,0.815876152832675,retained under TSS grouping,False,0.86541889483066,0.534313725490196,0.507130124777184,True,False,False,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required,all-three binary: largest mean alternative-representation effect
binary,driver_mutation,STAD,RHOA,365,20,345,TITAN+GigaSSL,2,retained by two,0.808840579710145,0.735797101449275,0.572608695652174,0.735797101449275,,,not evaluated in TITAN candidate TSS analysis,False,0.734782608695652,0.722101449275362,0.560144927536232,True,True,False,False,complete retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required,strongest retained by two
binary,driver_mutation,HNSC,KEAP1,431,20,411,TITAN+GigaSSL,2,retained by two,0.711192214111922,0.724087591240876,0.580778588807786,0.711192214111922,,,not evaluated in TITAN candidate TSS analysis,False,0.526703163017032,0.548175182481752,0.528041362530414,True,True,False,False,complete retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required,strongest retained by two
binary,driver_mutation,UCEC,RPL22,486,44,442,TITAN,1,unique to TITAN,0.766248457424928,0.531879884821061,0.578568490333196,0.766248457424928,,,not evaluated in TITAN candidate TSS analysis,False,0.713081036610448,0.513471822295352,0.569364459070341,True,False,False,False,complete retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required,strongest representation-specific
binary,driver_mutation,PRAD,SPOP,368,39,329,TITAN,1,unique to TITAN,0.731431688878497,0.577351726287897,0.578364897513834,0.731431688878497,,,not evaluated in TITAN candidate TSS analysis,False,0.554750214324682,0.54192970150417,0.502610864312992,True,False,False,False,complete retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required,strongest representation-specific
continuous,rna_pathway_activity,TGCT,HALLMARK_CHOLESTEROL_HOMEOSTASIS,149,,,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.62782238647143,0.566358008046562,0.533206256292079,0.533206256292079,0.615130329183451,0.0240127154463335,fell below threshold under TSS grouping,False,0.505183128589871,0.515014493735106,0.443759414771261,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required",largest tissue-source-site-code-grouped collapse
continuous,rna_pathway_activity,TGCT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,149,,,TITAN+ProvGigaPath,2,retained by two,0.446133905257182,0.160518690608648,0.219655469131801,0.219655469131801,0.476094551497551,-0.0952715140788456,fell below threshold under TSS grouping,True,0.36668678823472,0.215720632257314,0.118387174370196,True,False,False,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required,largest tissue-source-site-code-grouped collapse
