outcome_type,family,tumor_type,endpoint,n,positive,negative,representations_retained,n_representations_retained,consensus_class,effect_TITAN,effect_GigaSSL,effect_ProvGigaPath,priority_score,TITAN_tss_random_metric,TITAN_tss_grouped_metric,TITAN_tss_status,TITAN_tss_near_chance_or_worse,matched_grouped_metric_TITAN,matched_grouped_metric_GigaSSL,matched_grouped_metric_ProvGigaPath,matched_grouped_retained_TITAN,matched_grouped_retained_GigaSSL,matched_grouped_retained_ProvGigaPath,sample_size_maturity,matched_tss_retention_class,internal_robustness_class,interpretation
binary,aneuploidy,ACC,Genome doubling,52,27,25,GigaSSL+ProvGigaPath,2,retained by two,0.531851851851852,0.668148148148148,0.714074074074074,0.668148148148148,,,not evaluated in TITAN candidate TSS analysis,False,0.418518518518519,0.392592592592593,0.460740740740741,False,False,False,False,no retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,aneuploidy,BLCA,Genome doubling,376,228,148,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.726084637268848,0.715623518255097,0.746028923660503,0.715623518255097,0.708748221906117,0.653330962541489,retained under TSS grouping,False,0.667674253200569,0.64900426742532,0.637624466571835,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required"
binary,aneuploidy,CESC,Genome doubling,258,84,174,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.619594964422551,0.676929392446634,0.600574712643678,0.600574712643678,0.605172413793103,0.593542934415145,fell below threshold under TSS grouping,False,0.593390804597701,0.557676518883415,0.539819376026273,True,True,False,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,aneuploidy,COAD,Genome doubling,407,165,242,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.745679939894816,0.763461056849487,0.76481342349111,0.745679939894816,0.665282454171343,0.694837261503928,retained under TSS grouping,False,0.696280991735537,0.605371900826446,0.701790633608815,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required"
binary,aneuploidy,ESCA,Genome doubling,132,76,56,None,0,no effect-threshold crossing,0.512922932330827,0.544172932330827,0.581766917293233,0.581766917293233,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,aneuploidy,GBM,Genome doubling,361,46,315,TITAN+ProvGigaPath,2,retained by two,0.673706004140787,0.580331262939959,0.625327812284334,0.625327812284334,,,not evaluated in TITAN candidate TSS analysis,False,0.630986887508627,0.530572808833678,0.477708764665286,True,False,False,False,partial retention,R4: limited or cohort-structure-sensitive internal evidence,R4: limited or cohort-structure-sensitive internal evidence; internal TCGA prioritisation only; external validation required
binary,aneuploidy,HNSC,Genome doubling,435,176,259,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.646893646893647,0.648034398034398,0.608678483678484,0.608678483678484,0.601351351351351,0.611113548613549,retained under TSS grouping,False,0.606737012987013,0.545399701649702,0.530394436644437,True,True,False,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,aneuploidy,KIRC,Genome doubling,461,89,372,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.6443457774556,0.641234746888969,0.636039627884499,0.636039627884499,,,not evaluated in TITAN candidate TSS analysis,False,0.590839072127583,0.556753654705811,0.515630663283799,True,False,False,True,partial retention,R3: mature with partial or single-representation retention,R3: mature with partial or single-representation retention; internal TCGA prioritisation only; external validation required
binary,aneuploidy,LGG,Genome doubling,481,157,324,None,0,no effect-threshold crossing,0.573641582134151,0.567154203035307,0.550444287174648,0.573641582134151,,,not evaluated in TITAN candidate TSS analysis,False,,,,False,False,False,False,not evaluated: no primary crossing,not prioritised: no primary crossing,not prioritised: no primary crossing; internal TCGA prioritisation only; external validation required
binary,aneuploidy,LIHC,Genome doubling,346,115,231,TITAN+GigaSSL+ProvGigaPath,3,retained by all three,0.673329568981743,0.679126670431018,0.724411820063994,0.673329568981743,,,not evaluated in TITAN candidate TSS analysis,False,0.607095802747977,0.59004329004329,0.59175607001694,True,True,True,True,complete retention,"R1: all-three, mature, complete grouped retention","R1: all-three, mature, complete grouped retention; internal TCGA prioritisation only; external validation required"
