model_id,family,cancer_type,endpoint,outcome_type,n,positive,negative,ncomp,tier,file,sha256
aneuploidy__BLCA__Genome_doubling,aneuploidy,BLCA,Genome doubling,binary,376,228,148,6,B,models/aneuploidy__BLCA__Genome_doubling.rds,9cbf5ac443aa79eed82115a70a40a91b99c0163a867c67cb62aac2dd1f65dbc3
aneuploidy__BRCA__Aneuploidy_score,aneuploidy,BRCA,Aneuploidy score,continuous,998,,,4,B,models/aneuploidy__BRCA__Aneuploidy_score.rds,3835c20756a9abbf0a734fd9bf81ef18ecb0f008097d07ad08354b00d449f13f
aneuploidy__BRCA__Deleted_arm_count,aneuploidy,BRCA,Deleted arm count,continuous,998,,,3,B,models/aneuploidy__BRCA__Deleted_arm_count.rds,2d62c740984926cc6eabfc3aa15b2051d68b45a6b90c1d7137f00b6093b84805
aneuploidy__BRCA__Genome_doubling,aneuploidy,BRCA,Genome doubling,binary,998,438,560,6,B,models/aneuploidy__BRCA__Genome_doubling.rds,dae0c3d5df8b0c43c30bf6536c090989f174f0b628cfac9961cafa11ceeafbb6
aneuploidy__COAD__Aneuploidy_score,aneuploidy,COAD,Aneuploidy score,continuous,408,,,7,B,models/aneuploidy__COAD__Aneuploidy_score.rds,37550724301ea53718b7a9cd6b073bdb48c150cf59d759e8dd2a1c57406da3fa
aneuploidy__COAD__Genome_doubling,aneuploidy,COAD,Genome doubling,binary,408,165,243,7,B,models/aneuploidy__COAD__Genome_doubling.rds,c85465087ba6124fcf8783573852f65741af82d42dda7cdaead46737c60d0446
aneuploidy__HNSC__Genome_doubling,aneuploidy,HNSC,Genome doubling,binary,435,176,259,5,B,models/aneuploidy__HNSC__Genome_doubling.rds,2a072e51814b08ea6f600a70644f3f0e22163944b2283fcc06e05e6a6fc67386
aneuploidy__LIHC__Genome_doubling,aneuploidy,LIHC,Genome doubling,binary,350,115,235,3,B,models/aneuploidy__LIHC__Genome_doubling.rds,8179aaf1a2a0d577a8a2d2665108a5f32df801f0130ab8ee42991ae96b823824
aneuploidy__LUAD__Genome_doubling,aneuploidy,LUAD,Genome doubling,binary,449,264,185,2,B,models/aneuploidy__LUAD__Genome_doubling.rds,a1e1ebff0e8ab3e2932976b83d52bc59e189a948511c62e61fc6fc55589f0558
aneuploidy__LUSC__Genome_doubling,aneuploidy,LUSC,Genome doubling,binary,459,249,210,3,B,models/aneuploidy__LUSC__Genome_doubling.rds,d9b79278d20e681ac4af3f9b87d441030ef442f0e3315497f4032a5b9b365a73
aneuploidy__OV__Genome_doubling,aneuploidy,OV,Genome doubling,binary,96,66,30,2,B,models/aneuploidy__OV__Genome_doubling.rds,47e091383e3aebeb6ef4187824ef82cf965981dad7f3fe2a34968405f413c144
aneuploidy__PCPG__Genome_doubling,aneuploidy,PCPG,Genome doubling,binary,157,24,133,9,B,models/aneuploidy__PCPG__Genome_doubling.rds,b467d94fe6bfae43e41419c5cfb20081aabfd3839ec8a8f6a2144861d76d4684
aneuploidy__READ__Genome_doubling,aneuploidy,READ,Genome doubling,binary,143,72,71,9,B,models/aneuploidy__READ__Genome_doubling.rds,04a12f6841ccd0fbb268d84145f2ce93e13f490b58f8a65a96eaeb142321fdaa
aneuploidy__SARC__Genome_doubling,aneuploidy,SARC,Genome doubling,binary,238,112,126,4,B,models/aneuploidy__SARC__Genome_doubling.rds,f0e280468a43da279c82f09d74d7d8bcf95aa894ebbad1de9a3c7409d1e86352
aneuploidy__STAD__Aneuploidy_score,aneuploidy,STAD,Aneuploidy score,continuous,360,,,5,B,models/aneuploidy__STAD__Aneuploidy_score.rds,17a66fd8c5fdf74f86427549afa90dcdf531db85c8e6e24982ac3c35414230a6
aneuploidy__STAD__Deleted_arm_count,aneuploidy,STAD,Deleted arm count,continuous,360,,,3,B,models/aneuploidy__STAD__Deleted_arm_count.rds,6c244216a16b46ebe83ed9a9fbf58d89b80465ddef13002b6086cfdb3382f6a7
aneuploidy__STAD__Genome_doubling,aneuploidy,STAD,Genome doubling,binary,360,154,206,7,B,models/aneuploidy__STAD__Genome_doubling.rds,6781afc366535ef784ebccc9e0760bda29027d199f81438298999b895ff9d719
aneuploidy__UCEC__Aneuploidy_score,aneuploidy,UCEC,Aneuploidy score,continuous,477,,,3,B,models/aneuploidy__UCEC__Aneuploidy_score.rds,5b2334594576b0890ff3b8178bcd79d171cdcd58795118e422393de642860df6
aneuploidy__UCEC__Deleted_arm_count,aneuploidy,UCEC,Deleted arm count,continuous,477,,,4,B,models/aneuploidy__UCEC__Deleted_arm_count.rds,32031c511c5e9d87cc9b8021ae4833076e3a43c164f857c12417760e313ffa28
aneuploidy__UCEC__Genome_doubling,aneuploidy,UCEC,Genome doubling,binary,477,97,380,8,A,models/aneuploidy__UCEC__Genome_doubling.rds,03658f07f5054e0743484dbc8ab57b4b53ff3b54d103f8ad572f88cc3458d8e0
aneuploidy__UVM__Deleted_arm_count,aneuploidy,UVM,Deleted arm count,continuous,80,,,3,B,models/aneuploidy__UVM__Deleted_arm_count.rds,d5c91d0bdea963655c4a7cc9e3c35f722a75914c522c24527c39aaac7bdf3f1b
driver_mutation__COAD__APC,driver_mutation,COAD,APC,binary,433,196,237,1,A,models/driver_mutation__COAD__APC.rds,40e2a1789a50bf5719bf02444ea93a0afbac143e7fb014fa4a1f5abbd4c8d525
driver_mutation__COAD__KRAS,driver_mutation,COAD,KRAS,binary,433,126,307,10,A,models/driver_mutation__COAD__KRAS.rds,150edf36ca66fb48f2b7dfe15998412d7cb892f69216b3cf42898d55ce86bb76
driver_mutation__COAD__TP53,driver_mutation,COAD,TP53,binary,433,161,272,2,A,models/driver_mutation__COAD__TP53.rds,7110fe5a3211cec8a92186475dd4eb3cc47b2e6cbbb9542b10cc3746844cb4f7
driver_mutation__LGG__ATRX,driver_mutation,LGG,ATRX,binary,490,181,309,2,A,models/driver_mutation__LGG__ATRX.rds,35055913fa81710e441da095fed4df767210d995e1100358d6e4825a3a55a157
driver_mutation__LGG__CIC,driver_mutation,LGG,CIC,binary,490,105,385,6,A,models/driver_mutation__LGG__CIC.rds,21678eddb4780b6fda438789cd61887825c053bef521c38c93b52c7a5f5d1faf
driver_mutation__LGG__EGFR,driver_mutation,LGG,EGFR,binary,490,34,456,2,B,models/driver_mutation__LGG__EGFR.rds,0b023bb901522c84e162c4e1ff2c11661bb08bdbc6a80ab2ff7ee21b4932dd3c
driver_mutation__LGG__IDH1,driver_mutation,LGG,IDH1,binary,490,375,115,2,A,models/driver_mutation__LGG__IDH1.rds,4b9478c8df47b6c0936f48b7d786447183f66fd94505d46f08e430f094986a4e
driver_mutation__LGG__PTEN,driver_mutation,LGG,PTEN,binary,490,23,467,7,B,models/driver_mutation__LGG__PTEN.rds,c7fc1bd77a580468eb35f7bc67f790208ded784ce1f6b6d944e1ebb80e437958
driver_mutation__LGG__TP53,driver_mutation,LGG,TP53,binary,490,232,258,4,A,models/driver_mutation__LGG__TP53.rds,e014e84f1dba3282689c2ce90b5d9ec8c2ecbb51b4553e3b82c8f1265f7d11e9
driver_mutation__READ__APC,driver_mutation,READ,APC,binary,156,65,91,3,A,models/driver_mutation__READ__APC.rds,ef6d885ae07d73f558ea058cd78d690b2f5030a46d46ba2b79dbfdbc427acd76
driver_mutation__READ__KRAS,driver_mutation,READ,KRAS,binary,156,30,126,8,B,models/driver_mutation__READ__KRAS.rds,1104c41f2d0b19c8bc808a7698938604fee4e3711d903702ff7721b4f4d1e63d
driver_mutation__READ__TP53,driver_mutation,READ,TP53,binary,156,66,90,2,A,models/driver_mutation__READ__TP53.rds,7a202494b9ee139b3137c8e7114685bffb896f8bf29cad56d1d469d32e3ef58d
