gene,cancer
ACVR1,UCEC
ACVR2A,LIHC
AJUBA,HNSC
AKT1,CESC
AKT1,PRAD
AKT1,THCA
AKT1,UCEC
AKT1,BRCA
ALB,LIHC
APC,PRAD
APC,STAD
APOB,LIHC
ARHGAP35,LUSC
ARHGAP35,UCEC
ARID1A,ESCA
ARID1A,LUAD
ARID1A,LUSC
ARID1A,UCS
ARID1A,CHOL
ARID1A,CESC
ARID1A,LGG
ARID1A,PAAD
ARID1A,BLCA
ARID1A,BRCA
ARID1A,LIHC
ARID1A,UCEC
ARID1A,STAD
ARID2,HNSC
ARID2,LGG
ARID2,STAD
ARID2,LIHC
ARID2,SKCM
ARID5B,UCEC
ASXL1,LAML
ASXL2,BLCA
ATF7IP,UCEC
ATM,UCEC
ATM,BLCA
ATM,LUAD
ATM,KIRC
ATR,UCEC
ATRX,ACC
ATRX,GBM
ATRX,SARC
ATRX,LGG
AXIN1,LIHC
B2M,DLBC
BAP1,KIRP
BAP1,CHOL
BAP1,LIHC
BAP1,UVM
BAP1,MESO
BAP1,KIRC
BCL2L11,UCS
BCOR,UCEC
BCOR,STAD
BRAF,PRAD
BRAF,GBM
BRAF,LUAD
BRAF,SKCM
BRAF,THCA
BRCA1,OV
BRCA1,BRCA
BRD7,LIHC
BRD7,SKCM
BTG2,DLBC
CARD11,DLBC
CASP8,CESC
CASP8,STAD
CASP8,BRCA
CASP8,HNSC
CBFB,BRCA
CCND1,UCEC
CD70,DLBC
CD79B,DLBC
CDH1,STAD
CDH1,BRCA
CDK12,OV
CDK4,SKCM
CDKN1A,LIHC
CDKN1A,BLCA
CDKN1B,BRCA
CDKN2A,LIHC
CDKN2A,LUAD
CDKN2A,STAD
CDKN2A,BLCA
CDKN2A,ESCA
CDKN2A,LUSC
CDKN2A,SKCM
CDKN2A,HNSC
CDKN2A,PAAD
CEBPA,LAML
CHD3,UCEC
CHD4,BRCA
CHD4,UCS
CHD4,UCEC
CIC,LGG
CNBD1,STAD
COL5A1,SKCM
CREB3L3,LIHC
CREBBP,BLCA
CSDE1,PCPG
CTCF,BRCA
CTCF,UCEC
CTNNB1,BLCA
CTNNB1,SKCM
CTNNB1,PRAD
CTNNB1,STAD
CTNNB1,LUAD
CTNNB1,UCEC
CTNNB1,ACC
CTNNB1,LIHC
CTNND1,UCEC
CUL1,BLCA
CUL3,HNSC
CUL3,LUSC
CUL3,KIRP
CYLD,HNSC
CYSLTR2,UVM
DACH1,SKCM
DDX3X,SKCM
DHX9,LIHC
DIAPH2,BLCA
DICER1,UCEC
DMD,STAD
DNMT3A,THCA
DNMT3A,LAML
EEF1A1,LIHC
EEF2,PAAD
EGFR,GBM
EGFR,LUAD
EGFR,LGG
EIF1AX,THCA
EIF1AX,UVM
ELF3,BLCA
EP300,UCEC
EP300,LUSC
EP300,BLCA
EP300,HNSC
EP300,CESC
EPAS1,PCPG
EPHA2,CHOL
EPHA2,HNSC
ERBB2,ESCA
ERBB2,STAD
ERBB2,UCEC
ERBB2,CESC
ERBB2,BLCA
ERBB2,BRCA
ERBB3,CESC
ERBB3,BLCA
ERBB3,UCEC
ERBB4,STAD
ERCC2,BLCA
EZH2,LAML
FAM46D,STAD
FAT1,CESC
FAT1,UCEC
FAT1,BLCA
FAT1,LUSC
FAT1,HNSC
FBXW7,BRCA
FBXW7,ESCA
FBXW7,STAD
FBXW7,LUSC
FBXW7,UCEC
FBXW7,BLCA
FBXW7,CESC
FBXW7,UCS
FBXW7,HNSC
FGFR2,LUSC
FGFR2,UCEC
FGFR3,HNSC
FGFR3,BLCA
FLNA,HNSC
FLT3,LAML
FOXA1,BLCA
FOXA1,PRAD
FOXA1,BRCA
FOXA2,UCEC
FOXQ1,BLCA
FUBP1,LGG
GABRA6,GBM
GATA3,BRCA
GNA11,SKCM
GNA11,UVM
GNA13,BLCA
GNAQ,UVM
GNAS,LIHC
GNAS,PAAD
GPS2,BRCA
GTF2I,THYM
HIST1H1E,DLBC
HIST1H1E,LIHC
HLA-A,LUSC
HLA-A,HNSC
HLA-B,DLBC
HLA-B,HNSC
HLA-B,CESC
HRAS,SKCM
HRAS,LUSC
HRAS,PRAD
HRAS,BLCA
HRAS,HNSC
HRAS,THYM
HRAS,THCA
HRAS,PCPG
HUWE1,HNSC
IDH1,LIHC
IDH1,PRAD
IDH1,LAML
IDH1,CHOL
IDH1,GBM
IDH1,SKCM
IDH1,LGG
IDH2,LAML
IDH2,LGG
IL6ST,LIHC
INPPL1,UCEC
KANSL1,BLCA
KANSL1,UCEC
KDM5C,KIRC
KDM6A,HNSC
KDM6A,PAAD
KDM6A,PRAD
KDM6A,LUSC
KDM6A,BLCA
KDM6A,KIRP
KEAP1,LIHC
KEAP1,HNSC
KEAP1,LUAD
KEAP1,LUSC
KEL,GBM
KIF1A,KIRC
KIT,LAML
KIT,SKCM
KIT,TGCT
KLF5,BLCA
KLF5,LUSC
KLF5,CESC
KMT2B,UCEC
KMT2C,UCEC
KMT2C,BLCA
KMT2C,BRCA
KMT2C,CESC
KMT2D,ESCA
KMT2D,BLCA
KMT2D,PRAD
KMT2D,CESC
KMT2D,HNSC
KMT2D,LUSC
KMT2D,DLBC
KRAS,SKCM
KRAS,THCA
KRAS,BRCA
KRAS,KIRP
KRAS,LIHC
KRAS,OV
KRAS,STAD
KRAS,BLCA
KRAS,CESC
KRAS,LAML
KRAS,TGCT
KRAS,UCEC
KRAS,UCS
KRAS,LUAD
KRAS,PAAD
LATS1,CESC
LATS2,MESO
LZTR1,GBM
LZTR1,LIHC
MAP2K1,SKCM
MAP2K4,BRCA
MAP3K1,CESC
MAP3K1,UCEC
