family,tumor_type,endpoint,n,positive,negative,tier,balanced_accuracy,adjusted_balanced_accuracy,q_value,repeated_sensitivity_mean,repeated_specificity_mean,repeated_balanced_accuracy_mean,repeated_auc_mean,repeated_pr_auc_mean,repeated_pr_auc_sd,repeated_pr_auc_minimum,repeated_pr_auc_maximum,ppv_tcga_prevalence_mean,ppv_tcga_prevalence_sd,npv_tcga_prevalence_mean,npv_tcga_prevalence_sd,observed_tcga_prevalence,minimum_outer_training_positive,minimum_outer_training_negative,minimum_outer_test_positive,minimum_outer_test_negative,maximum_outer_test_positive,maximum_outer_test_negative,selected_components_median,selected_components_q1,selected_components_q3,selected_components_minimum,selected_components_maximum,selected_components_unique,minimum_inner_training_positive,minimum_inner_training_negative,minimum_inner_validation_positive,minimum_inner_validation_negative,repeat_score_spearman_mean,repeat_score_spearman_minimum,repeat_class_agreement_mean,patients_same_class_all_repeats,median_patient_score_z_sd,minimum_class_n,eligible_at_50_per_class,model_evidence_tier,default_inference,limited_evidence_reason,pr_auc_definition,predictive_value_scope
aneuploidy,OV,Genome doubling,96,66,30,B,0.677272727272727,0.354545454545455,0.004,0.733333333333333,0.56,0.646666666666667,0.680606060606061,0.819169494405021,0.0204820431048292,0.785911762363198,0.839987569234146,0.786848819048861,0.0373444230522915,0.486344928180667,0.0459514776435753,0.6875,52,24,13,6,14,6,3,2,10,2,17,10,41,19,10,4,0.653792729245795,0.536190992946283,0.81875,0.645833333333333,0.426112152628199,30,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=66, negative=30); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,PCPG,Genome doubling,157,24,133,B,0.604793233082707,0.209586466165414,0.014,0.366666666666667,0.888721804511278,0.627694235588973,0.693984962406015,0.318256839383983,0.0231934050049821,0.300727201476333,0.357799719915377,0.371897233201581,0.0319022010766152,0.886101851946314,0.00728730838946419,0.152866242038217,19,106,4,26,5,27,9,7,12,2,17,12,15,84,3,21,0.470695985462574,0.39370747771941,0.856050955414013,0.707006369426752,0.516784531061748,24,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=24, negative=133); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,BRCA,FOXA1,981,28,953,B,0.602420926397841,0.204841852795683,0.005,0.171428571428571,0.989926547743966,0.580677559586269,0.686726128016789,0.15098818647864,0.0169992267996435,0.120938411390679,0.162140430663384,0.328921568627451,0.047348982906052,0.976000675301323,0.00129409382514113,0.0285423037716616,22,762,5,190,6,191,11,9,12,4,20,12,17,609,4,152,0.519317472985943,0.472030188782851,0.985117227319062,0.965341488277268,0.561283984675213,28,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=28, negative=953); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,CESC,TP53,252,21,231,B,0.632034632034632,0.264069264069264,0.018,0.333333333333333,0.946320346320346,0.63982683982684,0.712719027004741,0.28776355802943,0.0247388865820774,0.257112664828762,0.317114299589226,0.366072874493927,0.0594173598510323,0.939852968298717,0.00459354822816361,0.0833333333333333,16,184,4,46,5,47,14,9,17,1,20,12,12,147,3,36,0.354877797299415,0.286832343128896,0.921428571428571,0.833333333333333,0.654155773655414,21,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=21, negative=231); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,KIRC,SETD2,353,47,306,B,0.630197469058546,0.260394938117091,0.005,0.242553191489362,0.897385620915033,0.569969406202197,0.647698512028925,0.221893520834229,0.0133515785213043,0.204656647254763,0.239161066271002,0.267703019174218,0.0546181757020627,0.885230158855124,0.00659324870950774,0.13314447592068,37,244,9,61,10,62,12,9,14,5,20,12,29,195,7,48,0.58270287803856,0.518811355015561,0.892351274787535,0.781869688385269,0.528180216160249,47,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=47, negative=306); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,EGFR,485,34,451,B,0.653188991782966,0.306377983565932,0.00185714285714286,0.364705882352941,0.958758314855876,0.661732098604409,0.852589017868788,0.323478133733515,0.0483782827939738,0.264591419525635,0.377628346219947,0.402706030528611,0.0732976160557473,0.952423273381369,0.00456590924391056,0.0701030927835052,27,360,6,90,7,91,3,2,6,2,11,5,21,288,5,72,0.693456642863078,0.586385778013394,0.956701030927835,0.91340206185567,0.423084283444417,34,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=34, negative=451); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,FUBP1,485,44,441,B,0.636466707895279,0.272933415790559,0.00185714285714286,0.318181818181818,0.922448979591837,0.620315398886828,0.750381364667079,0.236241200443017,0.015938350338653,0.213783554268381,0.257453868625409,0.29104561636379,0.0277976715354949,0.931346653139074,0.00395846138207521,0.0907216494845361,35,352,8,88,9,89,15,9,16,4,20,13,28,281,7,70,0.640301715478223,0.568453776544998,0.917938144329897,0.837113402061856,0.490380805510704,44,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=44, negative=441); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,PTEN,485,23,462,B,0.632693393562959,0.265386787125918,0.00185714285714286,0.217391304347826,0.968831168831169,0.593111236589498,0.723508375682289,0.178345330963981,0.0244650529601893,0.1380023782571,0.204565431443216,0.255461205461205,0.0232080866589112,0.961353868821393,0.00232747068304815,0.0474226804123711,18,369,4,92,5,93,6,5,11,3,18,12,14,295,3,73,0.427437532673396,0.291066028398112,0.965773195876289,0.925773195876289,0.622166251241497,23,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=23, negative=462); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LIHC,BAP1,350,20,330,B,0.609848484848485,0.21969696969697,0.007,0.21,0.972121212121212,0.591060606060606,0.721484848484849,0.193824614483676,0.0335627179572813,0.159840495787242,0.247621065016347,0.311917249417249,0.0248562934907,0.953070237083459,0.00221003587374702,0.0571428571428571,16,264,4,66,4,66,5,1,6,1,19,9,12,211,3,52,0.343972207353296,0.268059797572692,0.971428571428571,0.94,0.691211154008621,20,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=20, negative=330); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,OV,TP53,72,22,50,B,0.667272727272727,0.334545454545455,0.013,0.481818181818182,0.828,0.654909090909091,0.651636363636364,0.510350383348182,0.0528287914847418,0.445473714713607,0.584147629232888,0.55922096908939,0.0883540142163512,0.783779686297999,0.018758935510836,0.305555555555556,17,40,4,10,5,10,6,3,9,2,17,9,13,32,3,8,0.466647372821403,0.372339057174095,0.816666666666667,0.625,0.627818196451192,22,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=22, negative=50); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
