outer_fold,outer_test_positive,outer_test_negative,primary_component,primary_inner_ba,equal_component,equal_inner_ba,equal_threshold,optimized_component,optimized_inner_ba,optimized_threshold,outer_training_prior_positive,layer,foundation_model,family,tumor_type,endpoint
1,6,6,11,0.540909090909091,11,0.540909090909091,0.0953101798043249,10,0.575,77.6383246496634,0.523809523809524,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
2,6,5,12,0.533549783549784,12,0.533549783549784,0.0465200156348929,5,0.634199134199134,7.47337950953606,0.511627906976744,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
3,6,5,5,0.720779220779221,5,0.720779220779221,0.0465200156348929,5,0.747835497835498,5.98684839719262,0.511627906976744,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
4,5,5,3,0.475155279503106,3,0.475155279503106,0.0909717782057266,4,0.628364389233954,9.5513818922535,0.522727272727273,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
5,5,5,1,0.546583850931677,1,0.546583850931677,0.0909717782057266,1,0.629399585921325,-0.482266186419578,0.522727272727273,TITAN permutation/FDR screen,TITAN,aneuploidy,ACC,Genome doubling
1,46,30,5,0.698966287949339,5,0.680666790836282,0.433322062611131,6,0.708465263550009,-0.246699491114202,0.606666666666667,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
2,46,30,5,0.690491711678152,6,0.681924008195195,0.433322062611131,6,0.707766809461725,-0.470091529605872,0.606666666666667,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
3,46,30,3,0.676755447941889,5,0.665440491711678,0.433322062611131,6,0.706509592102812,-0.705440846413992,0.606666666666667,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
4,45,29,6,0.676218028194885,6,0.697846351655416,0.430362659729891,5,0.706869633099141,0.79808275785046,0.605960264900662,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
5,45,29,3,0.695756991321119,5,0.692588510814162,0.430362659729891,3,0.712150433944069,-0.214708077128146,0.605960264900662,TITAN permutation/FDR screen,TITAN,aneuploidy,BLCA,Genome doubling
1,88,112,6,0.705848214285714,8,0.7071875,-0.246860077931526,4,0.720758928571429,-0.712263217799984,0.43859649122807,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
2,88,112,6,0.706473214285714,4,0.7184375,-0.246860077931526,4,0.72,-0.291939315701782,0.43859649122807,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
3,88,112,2,0.710758928571429,5,0.712410714285714,-0.246860077931526,6,0.719375,-0.635792233932449,0.43859649122807,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
4,87,112,5,0.713369963369963,8,0.713532127594628,-0.244007008949119,8,0.726279507529508,-0.407464744926232,0.439299123904881,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
5,87,112,6,0.689388736263736,5,0.690476190476191,-0.244007008949119,4,0.704120243182743,-0.575486882123133,0.439299123904881,TITAN permutation/FDR screen,TITAN,aneuploidy,BRCA,Genome doubling
1,17,35,6,0.608918747355057,5,0.617065171392298,-0.714966227954585,5,0.689060516292848,-1.90261904402096,0.328502415458937,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
2,17,35,1,0.604528142192129,2,0.64319720694033,-0.714966227954585,2,0.64319720694033,-0.68817863137108,0.328502415458937,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
3,17,35,5,0.597492594159966,5,0.656950909860347,-0.714966227954585,2,0.669329242488362,-0.990373621974657,0.328502415458937,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
4,17,35,17,0.587494710114262,3,0.621138383410918,-0.714966227954585,3,0.628173931443081,-0.502379612390615,0.328502415458937,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
5,17,34,5,0.639285714285714,5,0.651470588235294,-0.722134717433198,5,0.674579831932773,-1.43261772375588,0.326923076923077,TITAN permutation/FDR screen,TITAN,aneuploidy,CESC,Genome doubling
1,33,49,10,0.695837238363012,10,0.683848797250859,-0.385056236476957,10,0.70204623555139,-0.104089054719256,0.404907975460123,TITAN permutation/FDR screen,TITAN,aneuploidy,COAD,Genome doubling
2,33,49,16,0.683848797250859,7,0.687636676038738,-0.385056236476957,7,0.692478912839738,-0.550246600168586,0.404907975460123,TITAN permutation/FDR screen,TITAN,aneuploidy,COAD,Genome doubling
3,33,49,3,0.714932833489535,4,0.725671665104655,-0.385056236476957,4,0.73355982505467,-0.145068335120754,0.404907975460123,TITAN permutation/FDR screen,TITAN,aneuploidy,COAD,Genome doubling
4,33,48,6,0.739685314685315,5,0.746678321678322,-0.390197635977376,5,0.762062937062937,-0.277552392094164,0.403669724770642,TITAN permutation/FDR screen,TITAN,aneuploidy,COAD,Genome doubling
