layer,foundation_model,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,saved_current_balanced_accuracy,recomputed_primary_balanced_accuracy,primary_sensitivity,primary_specificity,primary_auc,primary_pr_auc,equal_prior_balanced_accuracy,equal_prior_sensitivity,equal_prior_specificity,equal_prior_auc,equal_prior_pr_auc,optimized_balanced_accuracy,optimized_sensitivity,optimized_specificity,optimized_auc,optimized_pr_auc,current_crossing,current_candidate,recomputed_primary_crossing,equal_prior_crossing,optimized_crossing,median_primary_component,median_equal_component,median_optimized_component,median_optimized_threshold,primary_components_at_ceiling,equal_components_at_ceiling,optimized_components_at_ceiling,equal_prior_delta_ba,optimized_delta_ba,primary_reproduction_delta,near_threshold,baseline_crossing,union_positive,optimized_membership_change,equal_prior_membership_change
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,20260832,0.601351351351351,0.601351351351351,0.5,0.702702702702703,0.643844331344331,0.539765113367752,0.590711653211653,0.602272727272727,0.579150579150579,0.639018076518077,0.542344811919245,0.595483064233064,0.607954545454545,0.583011583011583,0.653080028080028,0.557323692391039,TRUE,TRUE,TRUE,FALSE,FALSE,4,4,4,-0.350551259285939,0,0,0,-0.0106396981396981,-0.00586828711828713,3.33066907387547e-16,TRUE,TRUE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,464,89,375,20260831,0.553782771535581,0.553782771535581,0.280898876404494,0.826666666666667,0.645513108614232,0.288928957005891,0.596239700374532,0.48314606741573,0.709333333333333,0.62714606741573,0.294366800200348,0.66459925093633,0.707865168539326,0.621333333333333,0.647101123595506,0.291185442856289,FALSE,FALSE,FALSE,FALSE,TRUE,15,5,1,-1.67197938443031,0,0,0,0.0424569288389514,0.110816479400749,-4.44089209850063e-16,TRUE,FALSE,TRUE,TRUE,FALSE
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,350,115,235,20260825,0.582238667900093,0.582238667900093,0.330434782608696,0.834042553191489,0.627382053654024,0.447980036480889,0.614801110083256,0.591304347826087,0.638297872340426,0.681332099907493,0.506799636536507,0.602127659574468,0.6,0.604255319148936,0.668566142460685,0.517112243136771,FALSE,FALSE,FALSE,TRUE,TRUE,5,3,4,-0.645396444512583,0,0,0,0.0325624421831637,0.0198889916743755,-5.55111512312578e-16,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,163,40,123,20260824,0.56900406504065,0.56900406504065,0.325,0.813008130081301,0.607317073170732,0.342607924841092,0.574288617886179,0.425,0.723577235772358,0.651422764227642,0.349489834762364,0.610162601626016,0.7,0.520325203252033,0.575609756097561,0.303214914885097,FALSE,FALSE,FALSE,FALSE,TRUE,14,3,2,-2.13113688964459,0,0,0,0.00528455284552853,0.0411585365853658,3.33066907387547e-16,TRUE,FALSE,TRUE,TRUE,FALSE
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,382,29,353,20260820,0.523151313861483,0.523151313861483,0.0689655172413793,0.977337110481587,0.573996287974993,0.142054259714273,0.639396307511967,0.482758620689655,0.796033994334278,0.639933574289343,0.131412478105625,0.618638272931523,0.551724137931035,0.685552407932011,0.605548500537267,0.130919944386588,FALSE,FALSE,FALSE,TRUE,TRUE,8,1,1,-2.80577333387651,0,0,0,0.116244993650483,0.09548695907004,0,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,98,35,63,20260834,0.565079365079365,0.565079365079365,0.4,0.73015873015873,0.608163265306122,0.476673248068708,0.598412698412698,0.514285714285714,0.682539682539683,0.665759637188209,0.571961439003414,0.646031746031746,0.8,0.492063492063492,0.648979591836735,0.550469501411944,FALSE,FALSE,FALSE,FALSE,TRUE,4,11,4,-2.92242272846902,0,1,0,0.0333333333333333,0.080952380952381,1.11022302462516e-16,TRUE,FALSE,TRUE,TRUE,FALSE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,384,24,360,20261041,0.493055555555556,0.493055555555556,0.0416666666666667,0.944444444444444,0.513078703703704,0.0775095588607088,0.558333333333333,0.291666666666667,0.825,0.624537037037037,0.120358064537408,0.673611111111111,0.75,0.597222222222222,0.638773148148148,0.105173431819123,FALSE,FALSE,FALSE,FALSE,TRUE,8,3,3,-4.04635975186576,0,0,0,0.0652777777777778,0.180555555555556,-4.44089209850063e-16,FALSE,FALSE,TRUE,TRUE,FALSE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB3,TCGA_MC3_Bailey2018,384,40,344,20261046,0.506976744186047,0.506976744186047,0.075,0.938953488372093,0.624491279069767,0.158937070436014,0.53343023255814,0.25,0.816860465116279,0.573691860465116,0.133209809687408,0.630232558139535,0.65,0.61046511627907,0.69265988372093,0.22228833343713,FALSE,FALSE,FALSE,FALSE,TRUE,9,9,16,-6.80358771430852,1,1,1,0.0264534883720929,0.123255813953488,-4.44089209850063e-16,FALSE,FALSE,TRUE,TRUE,FALSE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,BLCA,NFE2L2,TCGA_MC3_Bailey2018,384,24,360,20261056,0.583333333333333,0.583333333333333,0.208333333333333,0.958333333333333,0.726041666666667,0.190485003524054,0.620833333333333,0.416666666666667,0.825,0.656712962962963,0.126707278831002,0.626388888888889,0.625,0.627777777777778,0.646527777777778,0.118456568627854,FALSE,FALSE,FALSE,TRUE,TRUE,8,3,2,-3.46401813278966,0,0,0,0.0375,0.0430555555555555,3.33066907387547e-16,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,BLCA,PIK3CA,TCGA_MC3_Bailey2018,384,82,302,20261057,0.593361330964303,0.593361330964303,0.292682926829268,0.894039735099338,0.665118720723631,0.36684273604674,0.604223873364562,0.463414634146342,0.745033112582782,0.651187207236311,0.353373180731964,0.594613148118236,0.609756097560976,0.579470198675497,0.671620093684381,0.379164342583577,FALSE,FALSE,FALSE,TRUE,FALSE,7,5,6,-1.96172632547748,0,0,0,0.0108625424002585,0.00125181715393319,0,TRUE,FALSE,TRUE,FALSE,TRUE
