layer,foundation_model,subset,tasks,baseline_empirical_prior_crossings,equal_prior_crossings,optimized_crossings,baseline_retained_equal,baseline_lost_equal,equal_gained,baseline_retained_optimized,baseline_lost_optimized,optimized_gained,median_equal_delta_ba,q25_equal_delta_ba,q75_equal_delta_ba,median_optimized_delta_ba,q25_optimized_delta_ba,q75_optimized_delta_ba,max_absolute_primary_reproduction_delta
TITAN permutation/FDR screen,TITAN,all eligible,459,100,212,199,95,5,117,95,5,104,0.025,-0.000346939131896318,0.069820723222235,0.0269495649305125,0.00108836045190469,0.0616178874339595,5.55111512312578e-16
matched three-representation atlas,GigaSSL,all eligible,426,64,107,114,54,10,53,56,8,58,0.0127402220835283,-0.00881910544270395,0.0434777873858906,0.0114641627061985,-0.0100920068522024,0.0489363349340985,0.222043010752688
matched three-representation atlas,ProvGigaPath,all eligible,426,79,118,118,75,4,43,67,12,51,0.0118982525246538,-0.00519550550555392,0.0361100928641251,0.0137628654670315,-0.0144494959332318,0.0437853459229178,0.22741935483871
matched three-representation atlas,TITAN,all eligible,426,91,189,170,84,7,105,82,9,88,0.0305602893638389,0.00158740716447753,0.0614411202406664,0.0261809691993755,-9.27873314363337e-05,0.0558901752190238,0.276851851851851
TITAN permutation/FDR screen,TITAN,empirical-prior BA 0.55-0.65,141,45,100,94,41,4,59,41,4,53,0.0315692848020435,0.00108736407949017,0.0584045584045584,0.0236266407389402,0.00297498309668698,0.0545334390695215,5.55111512312578e-16
matched three-representation atlas,GigaSSL,empirical-prior BA 0.55-0.65,125,38,56,54,28,10,28,30,8,24,0.00860290924880591,-0.0115942028985507,0.0291371158392435,0.00600961538461542,-0.0148205294786422,0.033816425120773,0.155471501239077
matched three-representation atlas,ProvGigaPath,empirical-prior BA 0.55-0.65,130,43,65,60,39,4,26,33,10,27,0.0104730024013561,-0.00939935906278619,0.0317630667790604,0.00350485479021279,-0.018316668995123,0.0359720868673346,0.160585446299732
matched three-representation atlas,TITAN,empirical-prior BA 0.55-0.65,140,44,91,81,38,6,53,37,7,44,0.0311820652173913,0,0.0546474240520364,0.0236263272200772,-0.00181109190337378,0.0492110107273623,0.216581495427649
TITAN permutation/FDR screen,TITAN,union-positive under any rule,238,100,212,199,95,5,117,95,5,104,0.0529005981387077,0.0144143229265233,0.0909586459592578,0.0446146720728813,0.00910339470769198,0.0868801670905044,5.55111512312578e-16
matched three-representation atlas,GigaSSL,union-positive under any rule,141,64,107,114,54,10,53,56,8,58,0.0406870229007634,0.00408961593172119,0.073728813559322,0.0383569739952718,0.000508130081300795,0.0841799709724237,0.222043010752688
matched three-representation atlas,ProvGigaPath,union-positive under any rule,148,79,118,118,75,4,43,67,12,51,0.0245038586146079,0.00075985394592093,0.0572829988239471,0.0320027736835886,-0.00601615903420191,0.0728252790620388,0.22741935483871
matched three-representation atlas,TITAN,union-positive under any rule,213,91,189,170,84,7,105,82,9,88,0.0505698005698005,0.0165955429113324,0.0924910356464881,0.0434782608695652,0.0058713410483322,0.0918269230769231,0.276851851851851
