family,tumor_type,endpoint,repeat,training_fraction,outer_fold,training_patients,training_positive,training_negative,test_positive,test_negative,selected_components,seed
aneuploidy,OV,Genome doubling,1,0.5,1,38,26,12,14,6,3,20270820
aneuploidy,OV,Genome doubling,1,0.5,2,38,26,12,13,6,3,20270820
aneuploidy,OV,Genome doubling,1,0.5,3,38,26,12,13,6,1,20270820
aneuploidy,OV,Genome doubling,1,0.5,4,38,26,12,13,6,6,20270820
aneuploidy,OV,Genome doubling,1,0.5,5,38,26,12,13,6,2,20270820
aneuploidy,OV,Genome doubling,2,0.5,1,38,26,12,14,6,2,20280820
aneuploidy,OV,Genome doubling,2,0.5,2,38,26,12,13,6,6,20280820
aneuploidy,OV,Genome doubling,2,0.5,3,38,26,12,13,6,2,20280820
aneuploidy,OV,Genome doubling,2,0.5,4,38,26,12,13,6,3,20280820
aneuploidy,OV,Genome doubling,2,0.5,5,38,26,12,13,6,13,20280820
aneuploidy,OV,Genome doubling,3,0.5,1,38,26,12,14,6,2,20290820
aneuploidy,OV,Genome doubling,3,0.5,2,38,26,12,13,6,10,20290820
aneuploidy,OV,Genome doubling,3,0.5,3,38,26,12,13,6,4,20290820
aneuploidy,OV,Genome doubling,3,0.5,4,38,26,12,13,6,3,20290820
aneuploidy,OV,Genome doubling,3,0.5,5,38,26,12,13,6,4,20290820
aneuploidy,OV,Genome doubling,4,0.5,1,38,26,12,14,6,9,20300820
aneuploidy,OV,Genome doubling,4,0.5,2,38,26,12,13,6,2,20300820
aneuploidy,OV,Genome doubling,4,0.5,3,38,26,12,13,6,4,20300820
aneuploidy,OV,Genome doubling,4,0.5,4,38,26,12,13,6,5,20300820
aneuploidy,OV,Genome doubling,4,0.5,5,38,26,12,13,6,2,20300820
aneuploidy,OV,Genome doubling,5,0.5,1,38,26,12,14,6,2,20310820
aneuploidy,OV,Genome doubling,5,0.5,2,38,26,12,13,6,3,20310820
aneuploidy,OV,Genome doubling,5,0.5,3,38,26,12,13,6,1,20310820
aneuploidy,OV,Genome doubling,5,0.5,4,38,26,12,13,6,9,20310820
aneuploidy,OV,Genome doubling,5,0.5,5,38,26,12,13,6,3,20310820
aneuploidy,OV,Genome doubling,1,0.75,1,57,39,18,14,6,2,20270820
aneuploidy,OV,Genome doubling,1,0.75,2,57,39,18,13,6,2,20270820
