family,tumor_type,endpoint,repeat,training_fraction,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv_tcga_prevalence,npv_tcga_prevalence,observed_tcga_prevalence
aneuploidy,OV,Genome doubling,1,0.5,0.833333333333333,0.5,0.666666666666667,0.723232323232323,0.849693283342679,0.785714285714286,0.576923076923077,0.6875
aneuploidy,OV,Genome doubling,2,0.5,0.651515151515152,0.533333333333333,0.592424242424242,0.652020202020202,0.805374303713428,0.754385964912281,0.41025641025641,0.6875
aneuploidy,OV,Genome doubling,3,0.5,0.696969696969697,0.566666666666667,0.631818181818182,0.643939393939394,0.795159830552334,0.779661016949153,0.45945945945946,0.6875
aneuploidy,OV,Genome doubling,4,0.5,0.727272727272727,0.5,0.613636363636364,0.634848484848485,0.79292166326689,0.761904761904762,0.454545454545455,0.6875
aneuploidy,OV,Genome doubling,5,0.5,0.772727272727273,0.366666666666667,0.56969696969697,0.606565656565657,0.756845075215843,0.728571428571429,0.423076923076923,0.6875
aneuploidy,OV,Genome doubling,1,0.75,0.712121212121212,0.566666666666667,0.639393939393939,0.681818181818182,0.832036524737303,0.783333333333333,0.472222222222222,0.6875
aneuploidy,OV,Genome doubling,2,0.75,0.757575757575758,0.666666666666667,0.712121212121212,0.746464646464647,0.872021241635316,0.833333333333333,0.555555555555556,0.6875
aneuploidy,OV,Genome doubling,3,0.75,0.666666666666667,0.4,0.533333333333333,0.596969696969697,0.784319553429998,0.709677419354839,0.352941176470588,0.6875
aneuploidy,OV,Genome doubling,4,0.75,0.727272727272727,0.6,0.663636363636364,0.667171717171717,0.816324449941711,0.8,0.5,0.6875
aneuploidy,OV,Genome doubling,5,0.75,0.651515151515152,0.6,0.625757575757576,0.677777777777778,0.829288548088836,0.781818181818182,0.439024390243902,0.6875
aneuploidy,OV,Genome doubling,1,1,0.742424242424242,0.5,0.621212121212121,0.659090909090909,0.818284701885343,0.765625,0.46875,0.6875
aneuploidy,OV,Genome doubling,2,1,0.742424242424242,0.7,0.721212121212121,0.701010101010101,0.820880252786548,0.844827586206897,0.552631578947369,0.6875
aneuploidy,OV,Genome doubling,3,1,0.696969696969697,0.533333333333333,0.615151515151515,0.652020202020202,0.785911762363198,0.766666666666667,0.444444444444444,0.6875
aneuploidy,OV,Genome doubling,4,1,0.742424242424242,0.466666666666667,0.604545454545455,0.683333333333333,0.830783185755868,0.753846153846154,0.451612903225806,0.6875
aneuploidy,OV,Genome doubling,5,1,0.742424242424242,0.6,0.671212121212121,0.707575757575758,0.839987569234146,0.80327868852459,0.514285714285714,0.6875
aneuploidy,PCPG,Genome doubling,1,0.5,0.25,0.87218045112782,0.56109022556391,0.68703007518797,0.359009887123071,0.260869565217391,0.865671641791045,0.152866242038217
aneuploidy,PCPG,Genome doubling,2,0.5,0.208333333333333,0.87218045112782,0.540256892230576,0.668233082706767,0.266515143372073,0.227272727272727,0.859259259259259,0.152866242038217
aneuploidy,PCPG,Genome doubling,3,0.5,0.416666666666667,0.879699248120301,0.648182957393484,0.653822055137845,0.280359463819175,0.384615384615385,0.893129770992367,0.152866242038217
aneuploidy,PCPG,Genome doubling,4,0.5,0.25,0.804511278195489,0.527255639097744,0.586466165413534,0.183716530157629,0.1875,0.856,0.152866242038217
aneuploidy,PCPG,Genome doubling,5,0.5,0.208333333333333,0.932330827067669,0.570332080200501,0.583646616541353,0.280366009660038,0.357142857142857,0.867132867132867,0.152866242038217
aneuploidy,PCPG,Genome doubling,1,0.75,0.166666666666667,0.834586466165414,0.50062656641604,0.631265664160401,0.24228304225562,0.153846153846154,0.847328244274809,0.152866242038217
aneuploidy,PCPG,Genome doubling,2,0.75,0.291666666666667,0.887218045112782,0.589442355889724,0.590225563909774,0.221090695034051,0.318181818181818,0.874074074074074,0.152866242038217
aneuploidy,PCPG,Genome doubling,3,0.75,0.291666666666667,0.849624060150376,0.570645363408521,0.656328320802005,0.27290581419957,0.259259259259259,0.869230769230769,0.152866242038217
aneuploidy,PCPG,Genome doubling,4,0.75,0.25,0.894736842105263,0.572368421052632,0.618421052631579,0.287107120100201,0.3,0.868613138686131,0.152866242038217
aneuploidy,PCPG,Genome doubling,5,0.75,0.333333333333333,0.894736842105263,0.614035087719298,0.692042606516291,0.31166262292041,0.363636363636364,0.881481481481482,0.152866242038217
aneuploidy,PCPG,Genome doubling,1,1,0.375,0.887218045112782,0.631109022556391,0.68734335839599,0.307208415167053,0.375,0.887218045112782,0.152866242038217
aneuploidy,PCPG,Genome doubling,2,1,0.416666666666667,0.887218045112782,0.651942355889724,0.714912280701754,0.305752064554143,0.4,0.893939393939394,0.152866242038217
aneuploidy,PCPG,Genome doubling,3,1,0.375,0.887218045112782,0.631109022556391,0.710213032581454,0.319796795807008,0.375,0.887218045112782,0.152866242038217
aneuploidy,PCPG,Genome doubling,4,1,0.291666666666667,0.887218045112782,0.589442355889724,0.69016290726817,0.357799719915377,0.318181818181818,0.874074074074074,0.152866242038217
aneuploidy,PCPG,Genome doubling,5,1,0.375,0.894736842105263,0.634868421052632,0.667293233082707,0.300727201476333,0.391304347826087,0.888059701492537,0.152866242038217
driver_mutation,BRCA,FOXA1,1,0.5,0.0357142857142857,0.988457502623295,0.51208589416879,0.541672912606806,0.0789950977456797,0.0833333333333333,0.972136222910217,0.0285423037716616
driver_mutation,BRCA,FOXA1,2,0.5,0.0357142857142857,0.983210912906611,0.509462599310448,0.618310598111228,0.0721800892656796,0.0588235294117647,0.971991701244813,0.0285423037716616
driver_mutation,BRCA,FOXA1,3,0.5,0.0357142857142857,0.983210912906611,0.509462599310448,0.601146754609504,0.063192424573779,0.0588235294117647,0.971991701244813,0.0285423037716616
driver_mutation,BRCA,FOXA1,4,0.5,0.107142857142857,0.990556138509968,0.548849497826413,0.652713236396342,0.116227425149383,0.25,0.974200206398349,0.0285423037716616
driver_mutation,BRCA,FOXA1,5,0.5,0.0714285714285714,0.990556138509968,0.53099235496927,0.589266976465298,0.0694365100558461,0.181818181818182,0.97319587628866,0.0285423037716616
driver_mutation,BRCA,FOXA1,1,0.75,0.142857142857143,0.988457502623295,0.565657322740219,0.619622245540399,0.143309042903526,0.266666666666667,0.975155279503106,0.0285423037716616
driver_mutation,BRCA,FOXA1,2,0.75,0.178571428571429,0.993704092339979,0.586137760455704,0.711362614300705,0.167661834100115,0.454545454545455,0.976288659793814,0.0285423037716616
