family,tumor_type,endpoint,training_fraction,balanced_accuracy_mean,balanced_accuracy_sd,auc_mean,auc_sd,pr_auc_mean,pr_auc_sd,ppv_tcga_prevalence_mean,npv_tcga_prevalence_mean,training_patients_mean,training_positive_minimum,training_negative_minimum,selected_components_median,selected_components_minimum,selected_components_maximum
aneuploidy,OV,Genome doubling,0.5,0.638484848484849,0.0564238843851545,0.671818181818182,0.0719368168733877,0.807241532534495,0.0534014165418972,0.77861229918132,0.490478844169247,38,26,12,5,1,10
aneuploidy,OV,Genome doubling,0.75,0.655151515151515,0.06068744535631,0.712828282828283,0.054786457849337,0.8389875946927,0.0492139148393766,0.788633550005394,0.510668792606648,57,39,18,5,2,10
aneuploidy,OV,Genome doubling,1,0.643333333333333,0.0446468645715439,0.717070707070707,0.039496434909678,0.841402439694256,0.038682358068049,0.780036302126018,0.500892747951571,76.8,52,24,3,2,10
aneuploidy,PCPG,Genome doubling,0.5,0.588627819548872,0.037807033898548,0.66390977443609,0.0460629666339458,0.325946783734112,0.042186529697088,0.346486846486847,0.873546180155953,62.2,9,53,5,1,10
aneuploidy,PCPG,Genome doubling,0.75,0.564786967418546,0.039269209737552,0.667230576441103,0.075927208680146,0.296005126573595,0.0835570927866676,0.286417748917749,0.866403883744309,93.6,14,79,7,1,10
aneuploidy,PCPG,Genome doubling,1,0.634868421052632,0.0432856902239755,0.721052631578947,0.0211025950410215,0.329676184274191,0.0388801392932965,0.388888006844663,0.888369920819307,125.6,19,106,7,1,10
driver_mutation,CESC,TP53,0.5,0.590476190476191,0.0167241937420622,0.679035250463822,0.0435359801397721,0.263105607393547,0.0701687071277163,0.414718614718615,0.931109116921703,100,8,92,2,1,10
driver_mutation,CESC,TP53,0.75,0.587878787878788,0.0209073431013736,0.707235621521336,0.0304416843673602,0.274689549579982,0.0087610988001856,0.364718614718615,0.930786019562741,150,12,138,4,1,10
driver_mutation,CESC,TP53,1,0.612121212121212,0.0226705125069717,0.711688311688312,0.0386878413926544,0.284904499908434,0.0328469316729316,0.376822001527884,0.934910933156534,201.6,16,184,5,1,10
driver_mutation,COAD,BRAF,0.5,0.623480365788058,0.0554144469990705,0.719634211941904,0.0204937050417262,0.304160475373487,0.0364847128327506,0.384878186734356,0.912635651964512,152.2,17,135,7,2,10
driver_mutation,COAD,BRAF,0.75,0.620710059171598,0.0256698912440224,0.762372243141474,0.0314220178486885,0.335966480132177,0.0478429676330884,0.40492201426025,0.911763507980366,228.6,26,202,6,3,10
driver_mutation,COAD,BRAF,1,0.614887036040882,0.0246488584299206,0.777232383001614,0.0239692641492566,0.347066864626889,0.0321385547723057,0.369229997518905,0.910658743506028,305.6,35,270,8,3,10
driver_mutation,LGG,EGFR,0.5,0.637817920959958,0.0214823022966878,0.807343158993087,0.0228251597755688,0.289867338508851,0.0244432058259013,0.339417283914438,0.949163730243917,193.2,13,180,2,1,10
driver_mutation,LGG,EGFR,0.75,0.640478674840224,0.041311744433212,0.865266727533586,0.0193525224734749,0.31714573998224,0.0513663110575316,0.360485723524792,0.949473142889061,290.2,20,270,3,1,8
driver_mutation,LGG,EGFR,1,0.694750228250946,0.0203554259214596,0.875753228120517,0.0196728871497354,0.368655228838818,0.0425598940304127,0.447337344028521,0.957121569260372,388,27,360,2,2,4
driver_mutation,LGG,FUBP1,0.5,0.575968872397444,0.0250874816445503,0.750041228612657,0.0527792091955883,0.248777598628662,0.0661143954217751,0.291283215989098,0.922696473416871,193.2,17,176,5,2,10
driver_mutation,LGG,FUBP1,0.75,0.605524634096063,0.028233083934833,0.781364667078953,0.0264808748537426,0.258623472094025,0.0209172715311876,0.30882023319555,0.928204779989966,290.2,26,264,7,2,10
