family,tumor_type,endpoint,n,positive,negative,tier,balanced_accuracy,adjusted_balanced_accuracy,q_value,repeated_sensitivity_mean,repeated_specificity_mean,repeated_balanced_accuracy_mean,repeated_auc_mean,repeated_pr_auc_mean,repeated_pr_auc_sd,repeated_pr_auc_minimum,repeated_pr_auc_maximum,ppv_tcga_prevalence_mean,ppv_tcga_prevalence_sd,npv_tcga_prevalence_mean,npv_tcga_prevalence_sd,observed_tcga_prevalence,minimum_outer_training_positive,minimum_outer_training_negative,minimum_outer_test_positive,minimum_outer_test_negative,maximum_outer_test_positive,maximum_outer_test_negative,selected_components_median,selected_components_q1,selected_components_q3,selected_components_minimum,selected_components_maximum,selected_components_unique,minimum_inner_training_positive,minimum_inner_training_negative,minimum_inner_validation_positive,minimum_inner_validation_negative,repeat_score_spearman_mean,repeat_score_spearman_minimum,repeat_class_agreement_mean,patients_same_class_all_repeats,median_patient_score_z_sd,minimum_class_n,eligible_at_50_per_class,model_evidence_tier,default_inference,limited_evidence_reason,pr_auc_definition,predictive_value_scope
aneuploidy,OV,Genome doubling,96,66,30,B,0.677272727272727,0.354545454545455,0.001,0.766666666666667,0.52,0.643333333333333,0.717070707070707,0.841402439694256,0.038682358068049,0.784733290821624,0.879587169096996,0.780036302126018,0.033411419332739,0.500892747951571,0.0443670620683708,0.6875,52,24,13,6,14,6,3,3,5,2,10,8,41,19,10,4,0.69802495930548,0.606809549647314,0.841666666666667,0.666666666666667,0.479460105984615,30,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=66, negative=30); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
aneuploidy,PCPG,Genome doubling,157,24,133,B,0.62734962406015,0.254699248120301,0.004,0.375,0.894736842105263,0.634868421052632,0.721052631578947,0.329676184274191,0.0388801392932965,0.282430067265504,0.390607334136045,0.388888006844663,0.064325920225422,0.888369920819307,0.0138675065828361,0.152866242038217,19,106,4,26,5,27,7,6,9,1,10,9,15,84,3,21,0.621095702652584,0.50551045342628,0.872611464968153,0.738853503184713,0.512771953630225,24,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=24, negative=133); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,CESC,TP53,252,21,231,B,0.603896103896104,0.207792207792208,0.024,0.266666666666667,0.957575757575758,0.612121212121212,0.711688311688312,0.284904499908434,0.0328469316729316,0.246426059445772,0.333101916170805,0.376822001527884,0.104578539970313,0.934910933156534,0.00365066127183999,0.0833333333333333,16,184,4,46,5,47,5,2,8,1,10,9,12,147,3,36,0.442079301840258,0.382263905042357,0.944444444444444,0.880952380952381,0.564167862982865,21,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=21, negative=231); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,COAD,BRAF,382,44,338,B,0.650753093060786,0.301506186121571,0.00325,0.295454545454545,0.934319526627219,0.614887036040882,0.777232383001614,0.347066864626889,0.0321385547723057,0.323033991820574,0.402082357519105,0.369229997518905,0.0388564604151168,0.910658743506028,0.00581017601170865,0.115183246073298,35,270,8,67,9,68,8,4,9,3,10,7,28,216,7,54,0.691169742286445,0.648300923821511,0.923560209424084,0.840314136125654,0.442400723711839,44,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=44, negative=338); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,EGFR,485,34,451,B,0.635157167079692,0.270314334159384,0.00185714285714286,0.429411764705882,0.960088691796009,0.694750228250946,0.875753228120517,0.368655228838818,0.0425598940304127,0.297030101892945,0.401688667620413,0.447337344028521,0.0309410978499824,0.957121569260372,0.00289302983902382,0.0701030927835052,27,360,6,90,7,91,2,2,3,2,4,3,21,288,5,72,0.85058721127762,0.799806457788339,0.974020618556701,0.950515463917526,0.259573397403769,34,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=34, negative=451); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,FUBP1,485,44,441,B,0.612554112554113,0.225108225108225,0.00185714285714286,0.272727272727273,0.941950113378685,0.607338693052979,0.809925788497217,0.296598440176382,0.0263971247338879,0.254163649899116,0.326909652383933,0.319312928423402,0.0200213437243034,0.928484696331945,0.00237809002913554,0.0907216494845361,35,352,8,88,9,89,9,7,9,3,10,7,28,281,7,70,0.789649646522499,0.749085039712969,0.937731958762887,0.874226804123711,0.37504966907276,44,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=44, negative=441); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LGG,PTEN,485,23,462,B,0.618530020703934,0.237060041407867,0.00185714285714286,0.304347826086957,0.967099567099567,0.635723696593262,0.761057782796913,0.195658505003295,0.0245736485612444,0.162216587938317,0.218417982515796,0.317727892738123,0.0519160555384895,0.965433070738026,0.00254755525566915,0.0474226804123711,18,369,4,92,5,93,6,5,8,2,10,8,14,295,3,73,0.554608997398751,0.456281759593225,0.969484536082474,0.934020618556701,0.525639473899879,23,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=23, negative=462); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,LIHC,BAP1,350,20,330,B,0.633333333333333,0.266666666666667,0.00233333333333333,0.23,0.972121212121212,0.601060606060606,0.790121212121212,0.254425814485136,0.0626772919486415,0.169303018511852,0.321598033167007,0.342783295136236,0.096220408266363,0.954187741737425,0.0034984633780461,0.0571428571428571,16,264,4,66,4,66,3,1,5,1,10,9,12,211,3,52,0.414920480983518,0.346482641840808,0.969714285714286,0.94,0.602646177581254,20,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=20, negative=330); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,OV,TP53,72,22,50,B,0.657272727272727,0.314545454545454,0.011,0.490909090909091,0.86,0.675454545454545,0.7,0.592140375898337,0.0845648411714804,0.457252039966028,0.662615773523902,0.614122807017544,0.102106426524692,0.79288210042927,0.0252419603178162,0.305555555555556,17,40,4,10,5,10,4,2,8,1,10,10,13,32,3,8,0.573982249662358,0.416618432053508,0.861111111111111,0.708333333333333,0.459262881087647,22,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=22, negative=50); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
driver_mutation,SKCM,BRAF,98,52,46,B,0.626254180602007,0.252508361204013,0.02,0.696153846153846,0.556521739130435,0.62633779264214,0.652173913043478,0.646021625321091,0.0503198947470366,0.574751080842543,0.715541777652094,0.639711150918047,0.014380724122642,0.618311184939092,0.0171003094357837,0.530612244897959,41,36,10,9,11,10,2,1,3,1,6,5,32,28,8,7,0.67401131024106,0.571498702573813,0.777551020408163,0.551020408163265,0.469181992712317,46,FALSE,exploratory_limited_evidence,FALSE,"Fewer than 50 TCGA participants in at least one development class (positive=52, negative=46); available only by explicit opt-in.","Average precision: non-interpolated area under the precision-recall curve for positive class 1, calculated within each repeated nested-CV run",Held-out PPV and NPV at the observed endpoint prevalence in the analysed TCGA cohort; not transportable prevalence-adjusted estimates
