family,tumor_type,endpoint,n,positive,mean_pool_balanced_accuracy,median_pool_balanced_accuracy,delta_median_minus_mean,seed
aneuploidy,UCEC,Genome doubling,477,97,0.714202387411829,0.729774823657081,0.0155724362452518,20260821
aneuploidy,BRCA,Genome doubling,998,438,0.71249184605349,0.711598988910633,-0.000892857142857362,20260828
aneuploidy,BLCA,Genome doubling,376,228,0.708748221906117,0.702169274537696,-0.00657894736842135,20260822
aneuploidy,STAD,Genome doubling,360,154,0.684623628798386,0.684623628798386,0,20260830
aneuploidy,OV,Genome doubling,96,66,0.677272727272727,0.677272727272727,2.22044604925031e-16,20260818
aneuploidy,COAD,Genome doubling,408,165,0.665282454171343,0.664197530864198,-0.00108492330714549,20260829
aneuploidy,LUAD,Genome doubling,449,264,0.653675266175266,0.653675266175266,2.22044604925031e-16,20260817
aneuploidy,SARC,Genome doubling,238,112,0.628968253968254,0.632440476190476,0.00347222222222221,20260827
aneuploidy,LUSC,Genome doubling,459,249,0.612191623637407,0.614572576018359,0.00238095238095215,20260819
aneuploidy,CESC,Genome doubling,259,85,0.605172413793103,0.608181203515889,0.00300878972278607,20260826
aneuploidy,PCPG,Genome doubling,157,24,0.604793233082707,0.604793233082707,-2.22044604925031e-16,20260837
aneuploidy,HNSC,Genome doubling,435,176,0.601351351351351,0.59657994032994,-0.00477141102141065,20260832
driver_mutation,THYM,GTF2I,120,59,0.90025006946374,0.891775493192553,-0.00847457627118653,20261223
driver_mutation,READ,APC,135,65,0.862087912087912,0.862087912087912,1.11022302462516e-16,20261195
driver_mutation,LGG,TP53,485,232,0.854683453727682,0.850730884557721,-0.0039525691699609,20261146
driver_mutation,THCA,BRAF,490,289,0.844264834994577,0.844264834994577,2.22044604925031e-16,20261221
driver_mutation,READ,TP53,135,66,0.838603425559947,0.838603425559947,2.22044604925031e-16,20261197
driver_mutation,LGG,CIC,485,105,0.785964912280702,0.784649122807018,-0.00131578947368438,20261135
driver_mutation,LGG,IDH1,485,375,0.781636363636364,0.778969696969697,-0.00266666666666704,20261138
driver_mutation,COAD,APC,382,196,0.776936581084047,0.776936581084047,-4.44089209850063e-16,20261095
driver_mutation,LGG,ATRX,485,181,0.769709581273626,0.763657676650189,-0.00605190462343697,20261134
driver_mutation,COAD,TP53,382,161,0.767446108878334,0.767446108878334,0,20261105
driver_mutation,UCEC,TP53,487,155,0.750728721336961,0.750728721336961,-3.33066907387547e-16,20261269
driver_mutation,UCEC,PTEN,487,261,0.735801715661343,0.735801715661343,4.44089209850063e-16,20261259
driver_mutation,BRCA,TP53,981,259,0.722149434753313,0.722149434753313,-1.11022302462516e-16,20261086
driver_mutation,THCA,NRAS,490,39,0.719199499687305,0.733128659957928,0.0139291602706233,20261222
driver_mutation,BRCA,CDH1,981,96,0.711334745762712,0.714848163841808,0.00351341807909589,20261070
driver_mutation,LUAD,TP53,463,234,0.690898742208786,0.682165117754637,-0.0087336244541486,20261168
driver_mutation,BLCA,FGFR3,384,54,0.686026936026936,0.710606060606061,0.0245791245791247,20261050
driver_mutation,STAD,TP53,371,179,0.683019087523277,0.683019087523277,4.44089209850063e-16,20261219
driver_mutation,COAD,KRAS,382,126,0.676277281746032,0.676339285714286,6.20039682537321e-05,20261100
driver_mutation,OV,TP53,72,22,0.667272727272727,0.667272727272727,2.22044604925031e-16,20261186
driver_mutation,HNSC,TP53,431,320,0.658769707207207,0.658769707207207,2.22044604925031e-16,20261127
driver_mutation,LGG,EGFR,485,34,0.653188991782966,0.669003521586018,0.015814529803052,20261136
driver_mutation,HNSC,NSD1,431,51,0.649432404540764,0.648116615067079,-0.0013157894736846,20261124
driver_mutation,LIHC,CTNNB1,350,93,0.643173925777164,0.643173925777164,1.11022302462516e-16,20261152
driver_mutation,BRCA,PIK3CA,981,266,0.639152952310847,0.639634050160366,0.000481097849518886,20261080
driver_mutation,UCEC,ARID1A,487,176,0.638318474130371,0.638692999123063,0.000374524992692415,20261226
driver_mutation,LGG,FUBP1,485,44,0.636466707895279,0.614847454133169,-0.0216192537621106,20261137
driver_mutation,SKCM,BRAF,98,52,0.635869565217391,0.626254180602007,-0.00961538461538436,20261201
driver_mutation,UVM,GNA11,80,36,0.63510101010101,0.63510101010101,1.11022302462516e-16,20261273
driver_mutation,LGG,PTEN,485,23,0.632693393562959,0.615283267457181,-0.0174101261057784,20261144
driver_mutation,CESC,TP53,252,21,0.632034632034632,0.62987012987013,-0.00216450216450204,20261092
