family,tumor_type,endpoint,repeat,sensitivity,specificity,balanced_accuracy,auc
aneuploidy,UCEC,Genome doubling,1,0.505154639175258,0.910526315789474,0.707840477482366,0.837574606619642
aneuploidy,UCEC,Genome doubling,2,0.608247422680412,0.905263157894737,0.756755290287575,0.845469343461747
aneuploidy,UCEC,Genome doubling,3,0.556701030927835,0.902631578947368,0.729666304937602,0.836760716223549
aneuploidy,UCEC,Genome doubling,4,0.515463917525773,0.907894736842105,0.711679327183939,0.833450895279436
aneuploidy,UCEC,Genome doubling,5,0.54639175257732,0.897368421052632,0.721880086814976,0.825393380358112
aneuploidy,BRCA,Genome doubling,1,0.616438356164384,0.7625,0.689469178082192,0.766104044357469
aneuploidy,BRCA,Genome doubling,2,0.632420091324201,0.7625,0.697460045662101,0.764762720156556
aneuploidy,BRCA,Genome doubling,3,0.646118721461187,0.764285714285714,0.705202217873451,0.779823059360731
aneuploidy,BRCA,Genome doubling,4,0.63013698630137,0.766071428571429,0.698104207436399,0.766621819960861
aneuploidy,BRCA,Genome doubling,5,0.616438356164384,0.758928571428571,0.687683463796478,0.757823711676451
aneuploidy,BLCA,Genome doubling,1,0.785087719298246,0.540540540540541,0.662814129919393,0.730026078710289
aneuploidy,BLCA,Genome doubling,2,0.780701754385965,0.581081081081081,0.680891417733523,0.739449976292082
aneuploidy,BLCA,Genome doubling,3,0.780701754385965,0.594594594594595,0.68764817449028,0.734619487908962
aneuploidy,BLCA,Genome doubling,4,0.81578947368421,0.554054054054054,0.684921763869132,0.747836652441916
aneuploidy,BLCA,Genome doubling,5,0.780701754385965,0.594594594594595,0.68764817449028,0.723862019914652
aneuploidy,STAD,Genome doubling,1,0.597402597402597,0.771844660194175,0.684623628798386,0.758447862816795
aneuploidy,STAD,Genome doubling,2,0.642857142857143,0.776699029126214,0.709778085991678,0.79734585802547
aneuploidy,STAD,Genome doubling,3,0.603896103896104,0.776699029126214,0.690297566511159,0.75182826881856
aneuploidy,STAD,Genome doubling,4,0.61038961038961,0.757281553398058,0.683835581893834,0.74801412180053
aneuploidy,STAD,Genome doubling,5,0.616883116883117,0.742718446601942,0.679800781742529,0.755642415836591
aneuploidy,OV,Genome doubling,1,0.742424242424242,0.5,0.621212121212121,0.659090909090909
