family,tumor_type,endpoint,subfamily,source,n,positive,negative,balanced_accuracy,adjusted_balanced_accuracy,p_permutation,permutations,permutation_exceedances,ncomp,seed,fastPLS_version,backend,svd_method,rsvd_oversample,rsvd_power,permutation_attempted,permutation_stopped_early,q_value,q_value_global,tier,recomputed_primary_balanced_accuracy,primary_sensitivity,primary_specificity,primary_auc,primary_pr_auc,equal_prior_balanced_accuracy,equal_prior_sensitivity,equal_prior_specificity,equal_prior_auc,equal_prior_pr_auc,optimized_balanced_accuracy,optimized_sensitivity,optimized_specificity,optimized_auc,optimized_pr_auc,recomputed_primary_crossing,equal_prior_crossing,optimized_crossing,median_primary_component,median_equal_component,median_optimized_component,median_optimized_threshold,primary_components_at_ceiling,equal_components_at_ceiling,optimized_components_at_ceiling,equal_prior_delta_ba,optimized_delta_ba,optimized_membership_change,equal_prior_membership_change,fastPLS_remote_sha,primary_binary_decision_rule,decision_rule_sensitivity_scope,decision_rule_sensitivity_status
aneuploidy,UCEC,Genome doubling,aneuploidy,Taylor2018_TableS2,477,97,380,0.714202387411829,0.428404774823657,0.001,999,0,2,20260821,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,A,0.714202387411829,0.525773195876289,0.902631578947368,0.801627780792187,0.51619810793647,0.785716223548562,0.731958762886598,0.839473684210526,0.839853499728703,0.565572750827386,0.787696690179056,0.793814432989691,0.781578947368421,0.851329354313619,0.583974108258984,TRUE,TRUE,TRUE,2,2,3,-1.83333035017333,0,0,0,0.0715138361367335,0.0734943027672272,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
aneuploidy,BRCA,Genome doubling,aneuploidy,Taylor2018_TableS2,998,438,560,0.71249184605349,0.42498369210698,0.001,999,0,6,20260828,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,A,0.71249184605349,0.639269406392694,0.785714285714286,0.784059034572733,0.712769611612332,0.709825505544684,0.680365296803653,0.739285714285714,0.775990704500979,0.703700349575854,0.705328604044358,0.737442922374429,0.673214285714286,0.770519406392694,0.695010053564207,TRUE,TRUE,TRUE,6,5,4,-0.575486882123133,0,0,0,-0.00266634050880632,-0.00716324200913243,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
aneuploidy,BLCA,Genome doubling,aneuploidy,Taylor2018_TableS2,376,228,148,0.708748221906117,0.417496443812234,0.001,999,0,3,20260822,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,A,0.708748221906117,0.802631578947369,0.614864864864865,0.75373399715505,0.787226646693928,0.691915599810337,0.714912280701754,0.668918918918919,0.752607871028924,0.795677579049926,0.712956377430062,0.824561403508772,0.601351351351351,0.752370791844476,0.796721620712341,TRUE,TRUE,TRUE,5,5,6,-0.246699491114202,0,0,0,-0.0168326220957801,0.00420815552394482,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
aneuploidy,STAD,Genome doubling,aneuploidy,Taylor2018_TableS2,360,154,206,0.684623628798386,0.369247257596772,0.001,999,0,5,20260830,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,B,0.684623628798386,0.597402597402597,0.771844660194175,0.750788046904552,0.678550300421648,0.676585550371958,0.62987012987013,0.723300970873786,0.763081578615559,0.696913421581738,0.690392132139705,0.662337662337662,0.718446601941748,0.769764216366158,0.703499575528059,TRUE,TRUE,TRUE,5,5,5,-0.337067666330232,0,0,0,-0.00803807842642779,0.00576850334131895,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
aneuploidy,OV,Genome doubling,aneuploidy,Taylor2018_TableS2,96,66,30,0.677272727272727,0.354545454545455,0.004,999,3,2,20260818,0.3,cpu,rsvd,32,5,999,FALSE,0.004,0.0088,B,0.677272727272727,0.787878787878788,0.566666666666667,0.714141414141414,0.841271091077952,0.745454545454545,0.757575757575758,0.733333333333333,0.78030303030303,0.858849933140347,0.66969696969697,0.606060606060606,0.733333333333333,0.709090909090909,0.820544174424226,TRUE,TRUE,TRUE,4,2,2,2.21651088419371,0,0,0,0.0681818181818181,-0.00757575757575757,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
aneuploidy,COAD,Genome doubling,aneuploidy,Taylor2018_TableS2,408,165,243,0.665282454171343,0.330564908342686,0.001,999,0,6,20260829,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,B,0.665282454171343,0.593939393939394,0.736625514403292,0.726599326599327,0.65841237201552,0.690160867938646,0.684848484848485,0.695473251028807,0.746701583738621,0.671228174173202,0.687991021324355,0.696969696969697,0.679012345679012,0.747823918194289,0.67519345178933,TRUE,TRUE,TRUE,6,6,5,-0.277552392094164,0,0,0,0.0248784137673026,0.0227085671530116,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
aneuploidy,LUAD,Genome doubling,aneuploidy,Taylor2018_TableS2,449,264,185,0.653675266175266,0.307350532350532,0.001,999,0,2,20260817,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,B,0.653675266175266,0.799242424242424,0.508108108108108,0.700532350532351,0.746064394934817,0.638206388206388,0.681818181818182,0.594594594594595,0.689230139230139,0.746076345107898,0.645485257985258,0.647727272727273,0.643243243243243,0.71529484029484,0.76191036622555,TRUE,TRUE,TRUE,2,2,2,0.589216064750081,0,0,0,-0.015468877968878,-0.00819000819000826,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
aneuploidy,SARC,Genome doubling,aneuploidy,Taylor2018_TableS2,238,112,126,0.628968253968254,0.257936507936508,0.001,999,0,5,20260827,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,B,0.628968253968254,0.607142857142857,0.650793650793651,0.726119614512472,0.705747311163209,0.618551587301587,0.633928571428571,0.603174603174603,0.708475056689342,0.688383238805213,0.644345238095238,0.741071428571429,0.547619047619048,0.722363945578231,0.708764578989289,TRUE,TRUE,TRUE,5,5,5,-0.461167354226489,0,0,0,-0.0104166666666667,0.0153769841269842,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
aneuploidy,LUSC,Genome doubling,aneuploidy,Taylor2018_TableS2,459,249,210,0.612191623637407,0.224383247274814,0.001,999,0,4,20260819,0.3,cpu,rsvd,32,5,999,FALSE,0.001,0.00244444444444444,B,0.612191623637407,0.714859437751004,0.50952380952381,0.6687129470262,0.688518440817505,0.603872633390706,0.650602409638554,0.557142857142857,0.684719831707784,0.700331988947469,0.600745840504877,0.658634538152611,0.542857142857143,0.680531650411169,0.703789339289247,TRUE,TRUE,TRUE,4,3,4,0.00895591441882304,0,0,0,-0.00831899024670113,-0.0114457831325301,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
aneuploidy,CESC,Genome doubling,aneuploidy,Taylor2018_TableS2,259,85,174,0.605172413793103,0.210344827586207,0.005,999,4,5,20260826,0.3,cpu,rsvd,32,5,999,FALSE,0.005,0.01,B,0.605172413793103,0.4,0.810344827586207,0.618931710615281,0.408429063877831,0.641954022988506,0.6,0.683908045977011,0.671264367816092,0.457193169460412,0.60814739688979,0.658823529411765,0.557471264367816,0.667004732927654,0.451691961888206,TRUE,TRUE,TRUE,5,5,3,-0.990373621974657,0,0,0,0.0367816091954023,0.00297498309668698,FALSE,FALSE,b518f75285c387632c2443a0c0989d75c9dcda48,empirical outer-training-fold LDA priors,complete eligible binary atlas; equal-prior and inner-OOF optimized-threshold rules; alternative crossings are not permutation/FDR-qualified,effect-threshold membership retained under both alternative rules
