family,tumor_type,endpoint,repeat,outer_fold,selected_components,outer_training_positive,outer_training_negative,outer_test_positive,outer_test_negative,inner_folds,minimum_inner_training_positive,minimum_inner_training_negative,minimum_inner_validation_positive,minimum_inner_validation_negative,seed
aneuploidy,BLCA,Genome doubling,1,1,4,182,118,46,30,5,145,94,36,23,20270818
aneuploidy,BLCA,Genome doubling,1,2,6,182,118,46,30,5,145,94,36,23,20270818
aneuploidy,BLCA,Genome doubling,1,3,11,182,118,46,30,5,145,94,36,23,20270818
aneuploidy,BLCA,Genome doubling,1,4,4,183,119,45,29,5,146,95,36,23,20270818
aneuploidy,BLCA,Genome doubling,1,5,6,183,119,45,29,5,146,95,36,23,20270818
aneuploidy,BLCA,Genome doubling,2,1,4,182,118,46,30,5,145,94,36,23,20280818
aneuploidy,BLCA,Genome doubling,2,2,3,182,118,46,30,5,145,94,36,23,20280818
aneuploidy,BLCA,Genome doubling,2,3,4,182,118,46,30,5,145,94,36,23,20280818
aneuploidy,BLCA,Genome doubling,2,4,4,183,119,45,29,5,146,95,36,23,20280818
aneuploidy,BLCA,Genome doubling,2,5,6,183,119,45,29,5,146,95,36,23,20280818
aneuploidy,BLCA,Genome doubling,3,1,3,182,118,46,30,5,145,94,36,23,20290818
aneuploidy,BLCA,Genome doubling,3,2,6,182,118,46,30,5,145,94,36,23,20290818
aneuploidy,BLCA,Genome doubling,3,3,3,182,118,46,30,5,145,94,36,23,20290818
aneuploidy,BLCA,Genome doubling,3,4,10,183,119,45,29,5,146,95,36,23,20290818
aneuploidy,BLCA,Genome doubling,3,5,4,183,119,45,29,5,146,95,36,23,20290818
aneuploidy,BLCA,Genome doubling,4,1,5,182,118,46,30,5,145,94,36,23,20300818
aneuploidy,BLCA,Genome doubling,4,2,3,182,118,46,30,5,145,94,36,23,20300818
aneuploidy,BLCA,Genome doubling,4,3,3,182,118,46,30,5,145,94,36,23,20300818
aneuploidy,BLCA,Genome doubling,4,4,4,183,119,45,29,5,146,95,36,23,20300818
aneuploidy,BLCA,Genome doubling,4,5,5,183,119,45,29,5,146,95,36,23,20300818
aneuploidy,BLCA,Genome doubling,5,1,7,182,118,46,30,5,145,94,36,23,20310818
aneuploidy,BLCA,Genome doubling,5,2,5,182,118,46,30,5,145,94,36,23,20310818
aneuploidy,BLCA,Genome doubling,5,3,6,182,118,46,30,5,145,94,36,23,20310818
aneuploidy,BLCA,Genome doubling,5,4,5,183,119,45,29,5,146,95,36,23,20310818
aneuploidy,BLCA,Genome doubling,5,5,5,183,119,45,29,5,146,95,36,23,20310818
aneuploidy,BRCA,Genome doubling,1,1,7,350,448,88,112,5,280,358,70,89,20270817
aneuploidy,BRCA,Genome doubling,1,2,6,350,448,88,112,5,280,358,70,89,20270817
aneuploidy,BRCA,Genome doubling,1,3,2,350,448,88,112,5,280,358,70,89,20270817
aneuploidy,BRCA,Genome doubling,1,4,4,351,448,87,112,5,280,358,70,89,20270817
aneuploidy,BRCA,Genome doubling,1,5,5,351,448,87,112,5,280,358,70,89,20270817
