family,tumor_type,endpoint,n,positive,n_sites,random_balanced_accuracy,site_grouped_balanced_accuracy,delta,feasible,maximum_outer_folds_per_site,minimum_sites_per_outer_fold,outer_site_overlap,seed,backend,svd_method,rsvd_oversample,rsvd_power,error,single_class_outer_test_folds,any_single_class_outer_test_fold,outer_training_positive_min,outer_training_negative_min,inner_validation_n_min,inner_training_n_min,inner_validation_positive_min,inner_validation_negative_min,inner_training_positive_min,inner_training_negative_min,single_class_inner_validation_folds,any_single_class_inner_validation_fold,any_single_class_inner_training_fold,grouped_fold_adequacy_flag,grouped_fold_adequacy_reasons,adequacy_flag_definition,metric_construction
aneuploidy,UCEC,Genome doubling,477,97,29,0.714202387411829,0.701153011394466,-0.0130493760173634,TRUE,1,5,FALSE,20260816,cpu,rsvd,32,5,,0,FALSE,66,230,8,137,2,6,33,101,0,FALSE,FALSE,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,BRCA,Genome doubling,998,438,39,0.71249184605349,0.706547619047619,-0.00594422700587105,TRUE,1,7,FALSE,20260817,cpu,rsvd,32,5,,0,FALSE,333,395,17,465,10,7,205,247,0,FALSE,FALSE,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,BLCA,Genome doubling,376,228,33,0.708748221906117,0.653330962541489,-0.0554172593646281,TRUE,1,6,FALSE,20260818,cpu,rsvd,32,5,,0,FALSE,162,98,10,140,8,2,82,58,0,FALSE,FALSE,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,STAD,Genome doubling,360,154,22,0.684623628798386,0.661202874795108,-0.0234207540032783,TRUE,1,4,FALSE,20260819,cpu,rsvd,32,5,,0,FALSE,93,104,7,103,3,4,45,58,0,FALSE,FALSE,sparse grouped folds,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,OV,Genome doubling,96,66,11,0.677272727272727,0.725757575757576,0.0484848484848488,TRUE,1,1,FALSE,20260820,cpu,rsvd,32,5,,0,FALSE,14,8,1,13,1,0,8,3,7,TRUE,FALSE,sparse grouped folds,outer_test_n_below_10;outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,COAD,Genome doubling,408,165,24,0.665282454171343,0.694837261503928,0.0295548073325852,TRUE,1,4,FALSE,20260821,cpu,rsvd,32,5,,0,FALSE,104,136,12,103,6,5,44,59,0,FALSE,FALSE,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,LUAD,Genome doubling,449,264,33,0.653675266175266,0.678255528255528,0.0245802620802623,TRUE,1,5,FALSE,20260822,cpu,rsvd,32,5,,0,FALSE,193,138,25,220,13,9,130,88,0,FALSE,FALSE,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,SARC,Genome doubling,238,112,33,0.628968253968254,0.638392857142857,0.00942460317460325,TRUE,1,6,FALSE,20260823,cpu,rsvd,32,5,,0,FALSE,47,48,8,68,4,3,33,33,0,FALSE,FALSE,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,LUSC,Genome doubling,459,249,35,0.612191623637407,0.620596672403901,0.00840504876649439,TRUE,1,7,FALSE,20260824,cpu,rsvd,32,5,,0,FALSE,181,150,17,207,8,9,110,97,0,FALSE,FALSE,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,CESC,Genome doubling,259,85,29,0.605172413793103,0.593542934415145,-0.0116294793779577,TRUE,1,5,FALSE,20260825,cpu,rsvd,32,5,,0,FALSE,29,86,5,64,1,4,13,51,0,FALSE,FALSE,sparse grouped folds,inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,PCPG,Genome doubling,157,24,17,0.604793233082707,0.570332080200501,-0.0344611528822059,TRUE,1,3,FALSE,20260826,cpu,rsvd,32,5,,0,FALSE,11,83,2,38,0,2,5,33,3,TRUE,FALSE,sparse grouped folds,outer_test_n_below_10;outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,HNSC,Genome doubling,435,176,26,0.601351351351351,0.611113548613549,0.00976219726219762,TRUE,1,4,FALSE,20260827,cpu,rsvd,32,5,,0,FALSE,107,172,19,146,4,9,50,96,0,FALSE,FALSE,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
