family,tumor_type,endpoint,n,positive,multi_slide_patients,mean_pool_balanced_accuracy,first_slide_balanced_accuracy,delta_first_minus_mean,seed,backend,svd_method,rsvd_oversample,rsvd_power
aneuploidy,UCEC,Genome doubling,477,97,40,0.714202387411829,0.729774823657081,0.0155724362452518,20260821,cpu,rsvd,32,5
aneuploidy,BRCA,Genome doubling,998,438,64,0.71249184605349,0.703563274624919,-0.00892857142857151,20260828,cpu,rsvd,32,5
aneuploidy,BLCA,Genome doubling,376,228,25,0.708748221906117,0.68764817449028,-0.0211000474158372,20260822,cpu,rsvd,32,5
aneuploidy,STAD,Genome doubling,360,154,25,0.684623628798386,0.665174631194049,-0.0194489976043373,20260830,cpu,rsvd,32,5
aneuploidy,OV,Genome doubling,96,66,1,0.677272727272727,0.677272727272727,2.22044604925031e-16,20260818,cpu,rsvd,32,5
aneuploidy,COAD,Genome doubling,408,165,5,0.665282454171343,0.670145903479237,0.00486344930789373,20260829,cpu,rsvd,32,5
aneuploidy,LUAD,Genome doubling,449,264,20,0.653675266175266,0.663144963144963,0.00946969696969724,20260817,cpu,rsvd,32,5
aneuploidy,SARC,Genome doubling,238,112,91,0.628968253968254,0.645833333333333,0.0168650793650793,20260827,cpu,rsvd,32,5
aneuploidy,LUSC,Genome doubling,459,249,10,0.612191623637407,0.596643717728055,-0.015547905909352,20260819,cpu,rsvd,32,5
aneuploidy,CESC,Genome doubling,259,85,5,0.605172413793103,0.588336713995943,-0.0168356997971598,20260826,cpu,rsvd,32,5
aneuploidy,PCPG,Genome doubling,157,24,18,0.604793233082707,0.62734962406015,0.0225563909774433,20260837,cpu,rsvd,32,5
aneuploidy,HNSC,Genome doubling,435,176,18,0.601351351351351,0.618506493506493,0.0171551421551425,20260832,cpu,rsvd,32,5
driver_mutation,THYM,GTF2I,120,59,7,0.90025006946374,0.892053348152265,-0.00819672131147542,20261223,cpu,rsvd,32,5
driver_mutation,READ,APC,135,65,1,0.862087912087912,0.862087912087912,1.11022302462516e-16,20261195,cpu,rsvd,32,5
driver_mutation,LGG,TP53,485,232,108,0.854683453727682,0.854683453727682,-3.33066907387547e-16,20261146,cpu,rsvd,32,5
driver_mutation,THCA,BRAF,490,289,12,0.844264834994577,0.844264834994577,2.22044604925031e-16,20261221,cpu,rsvd,32,5
driver_mutation,READ,TP53,135,66,1,0.838603425559947,0.838603425559947,2.22044604925031e-16,20261197,cpu,rsvd,32,5
driver_mutation,LGG,CIC,485,105,108,0.785964912280702,0.768546365914787,-0.017418546365915,20261135,cpu,rsvd,32,5
driver_mutation,LGG,IDH1,485,375,108,0.781636363636364,0.768,-0.013636363636364,20261138,cpu,rsvd,32,5
driver_mutation,COAD,APC,382,196,5,0.776936581084047,0.779761904761905,0.00282532367785782,20261095,cpu,rsvd,32,5
driver_mutation,LGG,ATRX,485,181,108,0.769709581273626,0.77023662401861,0.000527042744984052,20261134,cpu,rsvd,32,5
driver_mutation,COAD,TP53,382,161,5,0.767446108878334,0.77649588263399,0.00904977375565608,20261105,cpu,rsvd,32,5
driver_mutation,UCEC,TP53,487,155,39,0.750728721336961,0.749222697240575,-0.00150602409638578,20261269,cpu,rsvd,32,5
driver_mutation,UCEC,PTEN,487,261,39,0.735801715661343,0.734182687417353,-0.00161902824398974,20261259,cpu,rsvd,32,5
driver_mutation,BRCA,TP53,981,259,63,0.722149434753313,0.747981261831677,0.0258318270783644,20261086,cpu,rsvd,32,5
driver_mutation,THCA,NRAS,490,39,12,0.719199499687305,0.73534595485815,0.016146455170845,20261222,cpu,rsvd,32,5
driver_mutation,BRCA,CDH1,981,96,63,0.711334745762712,0.709074858757062,-0.00225988700564994,20261070,cpu,rsvd,32,5
driver_mutation,LUAD,TP53,463,234,20,0.690898742208786,0.688715336095249,-0.00218340611353729,20261168,cpu,rsvd,32,5
driver_mutation,BLCA,FGFR3,384,54,26,0.686026936026936,0.715151515151515,0.0291245791245791,20261050,cpu,rsvd,32,5
driver_mutation,STAD,TP53,371,179,25,0.683019087523277,0.676675977653631,-0.0063431098696457,20261219,cpu,rsvd,32,5
driver_mutation,COAD,KRAS,382,126,5,0.676277281746032,0.698009672619048,0.0217323908730157,20261100,cpu,rsvd,32,5
driver_mutation,OV,TP53,72,22,1,0.667272727272727,0.657272727272727,-0.00999999999999979,20261186,cpu,rsvd,32,5
driver_mutation,HNSC,TP53,431,320,17,0.658769707207207,0.654082207207207,-0.00468749999999973,20261127,cpu,rsvd,32,5
driver_mutation,LGG,EGFR,485,34,108,0.653188991782966,0.624885874527195,-0.0283031172557715,20261136,cpu,rsvd,32,5
driver_mutation,HNSC,NSD1,431,51,17,0.649432404540764,0.66186790505676,0.0124355005159955,20261124,cpu,rsvd,32,5
driver_mutation,LIHC,CTNNB1,350,93,8,0.643173925777164,0.662733776829421,0.0195598510522573,20261152,cpu,rsvd,32,5
driver_mutation,BRCA,PIK3CA,981,266,63,0.639152952310847,0.638453651611546,-0.000699300699300687,20261080,cpu,rsvd,32,5
driver_mutation,UCEC,ARID1A,487,176,39,0.638318474130371,0.646731584332067,0.00841311020169566,20261226,cpu,rsvd,32,5
driver_mutation,LGG,FUBP1,485,44,108,0.636466707895279,0.593279736136879,-0.0431869717584,20261137,cpu,rsvd,32,5
driver_mutation,SKCM,BRAF,98,52,4,0.635869565217391,0.616638795986622,-0.0192307692307689,20261201,cpu,rsvd,32,5
driver_mutation,UVM,GNA11,80,36,0,0.63510101010101,0.63510101010101,1.11022302462516e-16,20261273,cpu,rsvd,32,5
driver_mutation,LGG,PTEN,485,23,108,0.632693393562959,0.616365518539432,-0.0163278750235274,20261144,cpu,rsvd,32,5
driver_mutation,CESC,TP53,252,21,3,0.632034632034632,0.61038961038961,-0.0216450216450216,20261092,cpu,rsvd,32,5
driver_mutation,KIRC,SETD2,353,47,4,0.630197469058546,0.626095118898623,-0.00410235015992277,20261132,cpu,rsvd,32,5
driver_mutation,BLCA,TP53,384,185,26,0.629526008420481,0.629906288197746,0.000380279777264514,20261064,cpu,rsvd,32,5
driver_mutation,LIHC,TP53,350,107,8,0.623129879620015,0.630244990577285,0.00711511095727047,20261153,cpu,rsvd,32,5
driver_mutation,STAD,PIK3CA,371,58,25,0.617467224854027,0.63534207337226,0.0178748485182325,20261213,cpu,rsvd,32,5
driver_mutation,PAAD,TP53,175,106,7,0.613617719442166,0.623051681706317,0.00943396226415061,20261190,cpu,rsvd,32,5
driver_mutation,UCEC,CTNNB1,487,97,39,0.609925984668253,0.617671160454666,0.00774517578641265,20261236,cpu,rsvd,32,5
driver_mutation,LIHC,BAP1,350,20,8,0.609848484848485,0.611363636363636,0.00151515151515136,20261151,cpu,rsvd,32,5
driver_mutation,UCEC,ATM,487,74,39,0.604868791309469,0.610414894313199,0.00554610300373037,20261229,cpu,rsvd,32,5
driver_mutation,STAD,ARID1A,371,91,25,0.60260989010989,0.604258241758242,0.00164835164835186,20261203,cpu,rsvd,32,5
driver_mutation,BRCA,FOXA1,981,28,63,0.602420926397841,0.584563783540698,-0.0178571428571425,20261073,cpu,rsvd,32,5
driver_mutation,KIRC,VHL,353,161,4,0.600219979296066,0.602824145962733,0.00260416666666696,20261133,cpu,rsvd,32,5
fusion,UCEC,Any called fusion,153,80,12,0.783561643835617,0.785359589041096,0.00179794520547882,20261007,cpu,rsvd,32,5
fusion,LGG,Any called fusion,487,236,107,0.713358430684044,0.720347423863867,0.00698899317982249,20261026,cpu,rsvd,32,5
fusion,THCA,Fusion pair: CCDC6--RET,502,21,12,0.657311157311157,0.66042966042966,0.00311850311850348,20261030,cpu,rsvd,32,5
fusion,THCA,Any called fusion,502,138,12,0.631350533524447,0.636725593247332,0.00537505972288532,20261022,cpu,rsvd,32,5
fusion,SARC,Any called fusion,252,216,98,0.62962962962963,0.689814814814815,0.0601851851851849,20261015,cpu,rsvd,32,5
fusion,PRAD,Fusion pair: TMPRSS2--ERG,400,159,13,0.618922727628592,0.617787520551163,-0.00113520707742942,20261029,cpu,rsvd,32,5
microsatellite_instability,COAD,MSI-H (MANTIS >0.4),391,74,5,0.731967772188592,0.740301816011595,0.00833404382300329,20261032,cpu,rsvd,32,5
microsatellite_instability,STAD,MSI-H (MANTIS >0.4),371,63,25,0.719877344877345,0.727813852813853,0.0079365079365078,20261033,cpu,rsvd,32,5
microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),487,155,39,0.648561989895064,0.643616401088224,-0.00494558880684004,20261031,cpu,rsvd,32,5
microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),374,57,5,0.783358237865958,0.794592949250097,0.0112347113841389,20261035,cpu,rsvd,32,5
microsatellite_instability_sensitivity,STAD,MSI-H strict (MANTIS >0.6),364,56,25,0.730519480519481,0.741071428571429,0.0105519480519476,20261036,cpu,rsvd,32,5
microsatellite_instability_sensitivity,UCEC,MSI-H strict (MANTIS >0.6),438,106,34,0.687542623323483,0.66566265060241,-0.0218799727210733,20261034,cpu,rsvd,32,5
oncogenic_pathway,LGG,HIPPO,481,379,108,0.826555952196182,0.81732112370014,-0.0092348284960424,20260872,cpu,rsvd,32,5
oncogenic_pathway,LGG,TP53,481,248,108,0.813616225944898,0.83468607226914,0.0210698463242422,20260969,cpu,rsvd,32,5
oncogenic_pathway,UCEC,TP53,468,218,39,0.759449541284404,0.767743119266055,0.00829357798165109,20260959,cpu,rsvd,32,5
oncogenic_pathway,BRCA,TP53,942,437,62,0.7418628361692,0.735922242109795,-0.0059405940594055,20260965,cpu,rsvd,32,5
oncogenic_pathway,THCA,RTK RAS,478,403,11,0.739834574028123,0.751927212572374,0.0120926385442509,20260949,cpu,rsvd,32,5
oncogenic_pathway,GBM,TP53,71,38,28,0.734051036682616,0.675438596491228,-0.0586124401913879,20260955,cpu,rsvd,32,5
oncogenic_pathway,TGCT,RTK RAS,143,54,63,0.711714523512276,0.659488139825219,-0.0522263836870576,20260938,cpu,rsvd,32,5
oncogenic_pathway,PCPG,Cell Cycle,155,23,17,0.711627140974967,0.693675889328063,-0.0179512516469038,20260857,cpu,rsvd,32,5
oncogenic_pathway,LGG,RTK RAS,481,135,108,0.701273817169771,0.684831941768358,-0.0164418754014131,20260952,cpu,rsvd,32,5
oncogenic_pathway,PCPG,RTK RAS,158,52,18,0.698476052249637,0.669992743105951,-0.0284833091436864,20260954,cpu,rsvd,32,5
oncogenic_pathway,THCA,WNT,478,62,11,0.69661135235732,0.689748759305211,-0.00686259305210901,20261000,cpu,rsvd,32,5
