outcome_type,family,tumor_type,endpoint,repeat_id,seed,pls_sensitivity,pls_specificity,pls_balanced_accuracy,pls_auc,ridge_sensitivity,ridge_specificity,ridge_balanced_accuracy,ridge_auc,median_pls_ncomp,median_pls_threshold,median_ridge_lambda,median_ridge_threshold,median_inner_pls_balanced_accuracy,median_inner_ridge_balanced_accuracy,outer_folds_identical,inner_folds_identical,threshold_selection
binary,driver_mutation,COAD,APC,1,20270834,0.862244897959184,0.693548387096774,0.777896642527979,0.849407504937459,0.897959183673469,0.666666666666667,0.782312925170068,0.85261685319289,2,0.0195536686301145,17.2252672552118,0.462838427144902,0.809130936604967,0.809921771470098,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,COAD,APC,2,20280834,0.892857142857143,0.704301075268817,0.79857910906298,0.86243691024797,0.918367346938776,0.682795698924731,0.800581522931753,0.852589422865921,2,-0.155000108795536,10.8880384388864,0.495805827249991,0.812828623947335,0.813619458812465,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,COAD,APC,3,20290834,0.887755102040816,0.693548387096774,0.790651744568795,0.845786701777485,0.913265306122449,0.666666666666667,0.789965986394558,0.852534562211982,2,-0.106379963867338,6.35947025042708,0.470794272324093,0.819198050698927,0.81077672808105,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,COAD,APC,4,20300834,0.862244897959184,0.725806451612903,0.794025674786044,0.856374807987711,0.872448979591837,0.704301075268817,0.788375027430327,0.842577353522054,2,0.0415042207326692,13.626093964816,0.529395219125968,0.804749283973838,0.811289702047621,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,COAD,APC,5,20310834,0.88265306122449,0.682795698924731,0.78272438007461,0.845951283739302,0.892857142857143,0.67741935483871,0.785138248847926,0.84444261575598,2,-0.20310587074898,17.2670099051153,0.50823536241112,0.806908049416492,0.806908049416492,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,COAD,TP53,1,20270836,0.826086956521739,0.710407239819005,0.768247098170372,0.838059638571148,0.813664596273292,0.710407239819005,0.762035918046148,0.861864478232765,2,-0.433757030346537,4.26582569641563,0.425631479108925,0.803113914071738,0.792602811719879,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,COAD,TP53,2,20280836,0.850931677018634,0.737556561085973,0.794244119052303,0.861695848908125,0.826086956521739,0.746606334841629,0.786346645681684,0.860374919198449,2,-0.386737326420271,3.00249141667019,0.453013151072371,0.792865589278676,0.791157535146499,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,COAD,TP53,3,20290836,0.832298136645963,0.742081447963801,0.787189792304882,0.865546218487395,0.832298136645963,0.733031674208145,0.782664905427054,0.864843596301397,2,-0.321702446216954,9.43946109983677,0.45199723297395,0.796413086322428,0.799005681818182,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,COAD,TP53,4,20300836,0.801242236024845,0.751131221719457,0.776186728872151,0.850903572131194,0.788819875776398,0.787330316742081,0.78807509625924,0.859053989488772,2,-0.253057131163108,4.60950544534796,0.477360542948673,0.797858362895809,0.800683221652871,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,COAD,TP53,5,20310836,0.801242236024845,0.714932126696833,0.758087181360839,0.854472892836064,0.77639751552795,0.778280542986425,0.777339029257188,0.866698518872432,2,-0.290048058695977,4.60544281427387,0.486354207705498,0.806661411115491,0.798121140454605,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,IDH1,1,20270835,0.858666666666667,0.709090909090909,0.783878787878788,0.843151515151515,0.925333333333333,0.645454545454546,0.785393939393939,0.83689696969697,3,1.25593979100591,4.95562512914016,0.662199875659925,0.816666666666667,0.811212121212121,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,IDH1,2,20280835,0.88,0.681818181818182,0.780909090909091,0.851830303030303,0.882666666666667,0.709090909090909,0.795878787878788,0.856678787878788,4,1.023577997616,3.78926617465968,0.67118950330382,0.811969696969697,0.810606060606061,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,IDH1,3,20290835,0.845333333333333,0.690909090909091,0.768121212121212,0.849575757575758,0.906666666666667,0.681818181818182,0.794242424242424,0.852727272727273,7,1.49110188462023,3.25401915980281,0.664775462906638,0.818106060606061,0.811590909090909,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,IDH1,4,20300835,0.848,0.690909090909091,0.769454545454545,0.830230303030303,0.888,0.654545454545455,0.771272727272727,0.837309090909091,4,1.41975718424001,3.11218646090597,0.667175521792436,0.812727272727273,0.807954545454546,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,IDH1,5,20310835,0.874666666666667,0.690909090909091,0.782787878787879,0.85769696969697,0.872,0.681818181818182,0.776909090909091,0.838545454545455,4,1.33619623023993,2.75270938701664,0.726804677017861,0.81469696969697,0.808939393939394,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,TP53,1,20270832,0.875,0.841897233201581,0.858448616600791,0.908596837944664,0.857758620689655,0.857707509881423,0.857733065285539,0.905189450729181,6,-0.308653901521549,3.31050053505873,0.452253877040567,0.864918383730265,0.863125501739363,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,TP53,2,20280832,0.870689655172414,0.849802371541502,0.860246013356958,0.908562764072509,0.831896551724138,0.873517786561265,0.852707169142701,0.910607196401799,3,-0.246082672898844,3.17348584758723,0.46489263919247,0.865167646591451,0.865145838908215,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,TP53,3,20290832,0.84051724137931,0.885375494071146,0.862946367725228,0.903145018399891,0.84051724137931,0.861660079051383,0.851088660215347,0.903162055335968,3,0.099109894513655,4.12473259234378,0.470336756528209,0.865145838908215,0.865346534653465,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,TP53,4,20300832,0.844827586206897,0.881422924901186,0.863125255554041,0.903025759847349,0.844827586206897,0.865612648221344,0.85522011721412,0.908716096497206,5,-0.170382396823229,3.48595746764041,0.476855729357014,0.860241538217067,0.858325348663899,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LGG,TP53,5,20310832,0.823275862068966,0.845849802371541,0.834562832220253,0.902259097723865,0.849137931034483,0.869565217391304,0.859351574212894,0.906211666893826,3,-0.216639884403329,2.89538771762191,0.488878188111411,0.866028900187316,0.864463473374365,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,APC,1,20270830,0.938461538461539,0.771428571428571,0.854945054945055,0.903956043956044,0.984615384615385,0.757142857142857,0.870879120879121,0.872087912087912,3,-1.67677730256036,9.95689145176305,0.424461447680633,0.875,0.875,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,APC,2,20280830,0.923076923076923,0.757142857142857,0.84010989010989,0.880659340659341,0.984615384615385,0.742857142857143,0.863736263736264,0.90989010989011,1,-0.649188985514532,5.70190793623769,0.383938222218948,0.883241758241758,0.883928571428571,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,APC,3,20290830,0.923076923076923,0.771428571428571,0.847252747252747,0.865934065934066,0.953846153846154,0.742857142857143,0.848351648351649,0.910549450549451,3,-2.13741673995223,6.40150203182967,0.339912960438443,0.882554945054945,0.875,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,APC,4,20300830,0.938461538461539,0.757142857142857,0.847802197802198,0.866373626373626,0.984615384615385,0.742857142857143,0.863736263736264,0.872307692307692,1,-0.384711043901487,31.5049524279558,0.465986274340195,0.883928571428571,0.89217032967033,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,APC,5,20310830,0.953846153846154,0.728571428571429,0.841208791208791,0.88989010989011,0.984615384615385,0.742857142857143,0.863736263736264,0.905714285714286,1,-1.40214091709942,4.06050383898392,0.383984326446692,0.873626373626374,0.883241758241758,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,TP53,1,20270831,0.924242424242424,0.797101449275362,0.860671936758893,0.909749670619236,0.924242424242424,0.782608695652174,0.853425559947299,0.919191919191919,3,-1.41968777412336,42.4036146502012,0.500203064140989,0.88986013986014,0.898627787307033,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,TP53,2,20280831,0.909090909090909,0.855072463768116,0.882081686429513,0.914580588493632,0.939393939393939,0.753623188405797,0.846508563899868,0.923583662714097,3,0.38168718152888,22.5669412689552,0.494911878609598,0.889879931389365,0.889879931389365,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,TP53,3,20290831,0.863636363636364,0.840579710144928,0.852108036890646,0.924462011418533,0.893939393939394,0.811594202898551,0.852766798418972,0.907334211682038,2,-0.0859815105692321,95.3784940869312,0.522171256661016,0.888811188811189,0.887762237762238,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,TP53,4,20300831,0.954545454545455,0.753623188405797,0.854084321475626,0.922705314009662,0.939393939393939,0.826086956521739,0.882740447957839,0.911725955204216,1,-0.0282265872296377,78.0832636264132,0.510325990760844,0.890222984562607,0.889536878216124,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,READ,TP53,5,20310831,0.909090909090909,0.768115942028986,0.838603425559947,0.825647782169521,0.939393939393939,0.797101449275362,0.868247694334651,0.926657883179622,2,-0.210009052063831,52.6747593593476,0.511048611342635,0.891846361185984,0.891846361185984,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,THCA,BRAF,1,20270833,0.865051903114187,0.796019900497513,0.83053590180585,0.8878961593417,0.878892733564014,0.781094527363184,0.829993630463599,0.888877412246725,4,0.949512868499581,3.37418782552885,0.619529416297409,0.860810666095524,0.834573784536303,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,THCA,BRAF,2,20280833,0.865051903114187,0.830845771144279,0.847948837129233,0.890357899085885,0.8719723183391,0.771144278606965,0.821558298473033,0.893284442837715,4,1.00169050025808,3.17532013267318,0.611966889733849,0.850931677018633,0.842555994729908,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,THCA,BRAF,3,20290833,0.875432525951557,0.810945273631841,0.843188899791699,0.895246948647765,0.878892733564014,0.771144278606965,0.82501850608549,0.895281378574257,4,0.629264246924345,3.38576680957907,0.621793710127994,0.861095426312818,0.848014304536044,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,THCA,BRAF,4,20300833,0.875432525951557,0.810945273631841,0.843188899791699,0.889617655666305,0.892733564013841,0.786069651741294,0.839401607877567,0.891631806366094,4,0.494947986543217,3.19396987824404,0.621085084955264,0.859834956709957,0.843967626576322,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
