outcome_type,family,tumor_type,endpoint,size_stratum,imbalance_stratum,screen_tier,repeat_id,seed,pls_sensitivity,pls_specificity,pls_balanced_accuracy,pls_auc,ridge_sensitivity,ridge_specificity,ridge_balanced_accuracy,ridge_auc,median_pls_ncomp,median_pls_threshold,median_ridge_lambda,median_ridge_threshold,median_inner_pls_balanced_accuracy,median_inner_ridge_balanced_accuracy,outer_folds_identical,inner_folds_identical,threshold_selection
binary,aneuploidy,LGG,Genome doubling,large,low,C,1,20270828,0.662420382165605,0.450617283950617,0.556518833058111,0.590410474168436,0.54140127388535,0.574074074074074,0.557737673979712,0.594676417394039,9,-2.07155094738082,7.34882304483058,0.333648036594975,0.604639804639805,0.597490347490347,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,LGG,Genome doubling,large,low,C,2,20280828,0.547770700636943,0.549382716049383,0.548576708343163,0.572501376110718,0.598726114649682,0.561728395061729,0.580227254855705,0.575076669025714,9,-0.947229707557307,3.02825005589957,0.321699165491287,0.614221364221364,0.602316602316602,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,LGG,Genome doubling,large,low,C,3,20290828,0.605095541401274,0.533950617283951,0.569523079342612,0.591078870802862,0.802547770700637,0.311728395061728,0.557138082881183,0.607238342376347,8,-0.822510838033887,14.9942544727155,0.315935972905732,0.593093093093093,0.606821106821107,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,LGG,Genome doubling,large,low,C,4,20300828,0.605095541401274,0.524691358024691,0.564893449712983,0.59105921207832,0.598726114649682,0.549382716049383,0.574054415349532,0.593693481166942,7,-1.16184311800959,27.9778735540146,0.326852520310935,0.610896610896611,0.614826254826255,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,LGG,Genome doubling,large,low,C,5,20310828,0.503184713375796,0.577160493827161,0.540172603601478,0.602697177007156,0.503184713375796,0.66358024691358,0.583382480144688,0.62943304238421,9,-1.00304000887691,4.04019854527134,0.337036297447094,0.624046332046332,0.610100386100386,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,KIRC,Genome doubling,large,moderate,C,1,20270829,0.662921348314607,0.592,0.627460674157303,0.662112359550562,0.719101123595506,0.589333333333333,0.654217228464419,0.700494382022472,2,-1.76844219212404,2.83192150287935,0.179467397430195,0.670868544600939,0.690657276995305,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,KIRC,Genome doubling,large,moderate,C,2,20280829,0.741573033707865,0.586666666666667,0.664119850187266,0.698906367041198,0.719101123595506,0.653333333333333,0.68621722846442,0.706696629213483,2,-1.68846082524834,9.31479923315674,0.191005155179369,0.665277777777778,0.681737089201878,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,KIRC,Genome doubling,large,moderate,C,3,20290829,0.640449438202247,0.576,0.608224719101124,0.653992509363296,0.696629213483146,0.624,0.660314606741573,0.691625468164794,2,-1.76311007011398,3.78769518661188,0.187652621038003,0.678611111111111,0.696361502347418,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,KIRC,Genome doubling,large,moderate,C,4,20300829,0.719101123595506,0.538666666666667,0.628883895131086,0.629752808988764,0.775280898876405,0.602666666666667,0.688973782771536,0.688239700374532,3,-1.78542749211346,1.5596606483722,0.177836461451693,0.679319248826291,0.700281690140845,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,KIRC,Genome doubling,large,moderate,C,5,20310829,0.674157303370787,0.629333333333333,0.65174531835206,0.646082397003745,0.662921348314607,0.664,0.663460674157303,0.673917602996255,1,-1.75551965208118,2.79738459062224,0.184412233085534,0.670281690140845,0.703615023474178,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PRAD,Genome doubling,medium,high,C,1,20270830,0.586206896551724,0.654390934844193,0.620298915697958,0.623620201230829,0.689655172413793,0.586402266288952,0.638028719351373,0.71036436455993,1,-2.77251506470311,19.9904244655275,0.0781904897579023,0.711763798951588,0.717314487632509,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PRAD,Genome doubling,medium,high,C,2,20280830,0.620689655172414,0.648725212464589,0.634707433818502,0.627918335449839,0.724137931034483,0.603399433427762,0.663768682231122,0.741721207384976,1,-3.10028368346845,4.48167252211497,0.0789684516785181,0.717930928152945,0.735275979031761,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PRAD,Genome doubling,medium,high,C,3,20290830,0.551724137931035,0.71671388101983,0.634219009475432,0.645208557194491,0.655172413793103,0.68271954674221,0.668945980267657,0.747875354107649,2,-3.09083350636166,10.8035036989695,0.0805501626884866,0.741460541813899,0.759128386336867,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PRAD,Genome doubling,medium,high,C,4,20300830,0.655172413793103,0.645892351274788,0.650532382533946,0.677249194099834,0.586206896551724,0.756373937677054,0.671290417114389,0.693660252026961,1,-2.77824919528989,5.12933361921734,0.0882604788978775,0.727721245760099,0.737897008942337,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PRAD,Genome doubling,medium,high,C,5,20310830,0.655172413793103,0.691218130311615,0.673195272052359,0.685454723063398,0.517241379310345,0.745042492917847,0.631141936114096,0.701865780990525,1,-2.81081826495822,7.51316488641981,0.0856771338301826,0.712087750294464,0.722688457008245,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,COAD,Genome doubling,medium,low,B,1,20270831,0.721212121212121,0.65843621399177,0.689824167601945,0.772116223968076,0.787878787878788,0.567901234567901,0.677890011223345,0.749445067963587,4,-0.410307275334735,3.27021541501783,0.365800142580425,0.721688534832865,0.719463869463869,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,COAD,Genome doubling,medium,low,B,2,20280831,0.63030303030303,0.720164609053498,0.675233819678264,0.742187305150268,0.709090909090909,0.683127572016461,0.696109240553685,0.742736001995261,7,-0.278833085563602,1.79593153620832,0.432634504354754,0.726726023117776,0.711847860043736,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,COAD,Genome doubling,medium,low,B,3,20290831,0.654545454545455,0.695473251028807,0.675009352787131,0.739044768674398,0.690909090909091,0.65843621399177,0.67467265245043,0.747798977428607,6,-0.182267379958877,1.73940541525129,0.393880344575013,0.715501165501166,0.717471102780381,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,COAD,Genome doubling,medium,low,B,4,20300831,0.672727272727273,0.646090534979424,0.659408903853348,0.742486594338446,0.715151515151515,0.633744855967078,0.674448185559297,0.745778775408405,4,-0.702300429453376,2.79747989156427,0.403851688670816,0.713214620431115,0.713228438228438,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,COAD,Genome doubling,medium,low,B,5,20310831,0.672727272727273,0.68724279835391,0.679985035540591,0.738720538720539,0.733333333333333,0.674897119341564,0.704115226337449,0.745180197032049,5,-0.34862146416321,2.45339125028144,0.389294505678525,0.708449883449883,0.701748251748252,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,GBM,Genome doubling,medium,moderate,C,1,20270832,0.652173913043478,0.585443037974684,0.618808475509081,0.652173913043478,0.673913043478261,0.575949367088608,0.624931205283434,0.663181067694001,1,-2.49338499824373,18.1119544168647,0.126036441656736,0.656019656019656,0.662909945518641,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,GBM,Genome doubling,medium,moderate,C,2,20280832,0.586956521739131,0.639240506329114,0.613098514034122,0.659190974133187,0.673913043478261,0.582278481012658,0.62809576224546,0.669235002751789,2,-2.56386433157333,62.2769831322958,0.124608467893222,0.666666666666667,0.654761904761905,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,GBM,Genome doubling,medium,moderate,C,3,20290832,0.5,0.639240506329114,0.569620253164557,0.617088607594937,0.739130434782609,0.544303797468355,0.641717116125482,0.638827738029719,1,-2.5220025274281,7.8643442308861,0.121721223704816,0.671776519602607,0.669907061211409,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,GBM,Genome doubling,medium,moderate,C,4,20300832,0.608695652173913,0.591772151898734,0.600233902036324,0.595143093010457,0.652173913043478,0.575949367088608,0.614061640066043,0.678591084204733,1,-2.55256429844739,25.3158287332491,0.122444355885498,0.681444290139942,0.67781219955133,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,GBM,Genome doubling,medium,moderate,C,5,20310832,0.5,0.59493670886076,0.54746835443038,0.611722619702807,0.543478260869565,0.607594936708861,0.575536598789213,0.660979636763897,2,-2.47861507935089,11.5240867828177,0.126554085609209,0.667930776626429,0.666666666666667,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,ESCA,Genome doubling,small,low,C,1,20270833,0.493670886075949,0.526315789473684,0.509993337774817,0.431712191872085,0.430379746835443,0.596491228070175,0.513435487452809,0.542083055740617,4,0.25269951994449,22.889084538948,0.581586182189112,0.612146307798482,0.614389233954451,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,ESCA,Genome doubling,small,low,C,2,20280833,0.367088607594937,0.701754385964912,0.534421496779924,0.523428825227626,0.341772151898734,0.754385964912281,0.548079058405507,0.556073728625361,3,1.16594198037191,8.29880408694918,0.606294759759737,0.607660455486542,0.614389233954451,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,ESCA,Genome doubling,small,low,C,3,20290833,0.253164556962025,0.631578947368421,0.442371752165223,0.474350433044637,0.59493670886076,0.43859649122807,0.516766600044415,0.545414168332223,3,1.42001006092677,7.14982000042673,0.544755153931702,0.613181504485852,0.602139406487233,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,ESCA,Genome doubling,small,low,C,4,20300833,0.493670886075949,0.596491228070175,0.545081057073062,0.552742616033755,0.405063291139241,0.631578947368421,0.518321119253831,0.549189429269376,1,0.38349756577478,26.1539732315199,0.577805780202973,0.604209799861974,0.6067977915804,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,ESCA,Genome doubling,small,low,C,5,20310833,0.493670886075949,0.456140350877193,0.474905618476571,0.476127026426827,0.506329113924051,0.596491228070175,0.551410170997113,0.544525871641128,2,0.0108214085452837,63.0335481929668,0.584298915878689,0.598412698412698,0.601587301587302,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PAAD,Genome doubling,small,moderate,C,1,20270834,0.675,0.51219512195122,0.59359756097561,0.622967479674797,0.625,0.650406504065041,0.63770325203252,0.68130081300813,2,-1.78346680875816,11.8089328790557,0.242517157325004,0.654655612244898,0.645727040816326,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PAAD,Genome doubling,small,moderate,C,2,20280834,0.55,0.560975609756098,0.555487804878049,0.643089430894309,0.5,0.617886178861789,0.558943089430894,0.638008130081301,2,-1.72452956071428,3.93136308466075,0.233707779932931,0.686710858585859,0.650829081632653,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PAAD,Genome doubling,small,moderate,C,3,20290834,0.675,0.479674796747968,0.577337398373984,0.608333333333333,0.75,0.536585365853659,0.643292682926829,0.629065040650406,3,-2.11191407451039,16.506855672767,0.238316914440616,0.676658163265306,0.667410714285714,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PAAD,Genome doubling,small,moderate,C,4,20300834,0.75,0.447154471544715,0.598577235772358,0.651016260162602,0.7,0.536585365853659,0.618292682926829,0.666056910569106,2,-2.12222569039502,61.9247545644586,0.238507213203242,0.674400252525253,0.678030303030303,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,aneuploidy,PAAD,Genome doubling,small,moderate,C,5,20310834,0.625,0.504065040650406,0.564532520325203,0.597154471544716,0.675,0.544715447154472,0.609857723577236,0.642479674796748,2,-1.88199645068391,11.2930003965354,0.254627090477356,0.678030303030303,0.669005102040816,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LUAD,ARID1A,large,high,C,1,20270835,0.76,0.287671232876712,0.523835616438356,0.573333333333333,0.52,0.559360730593607,0.539680365296804,0.554977168949772,2,-4.12846596938137,6.46623948901671,0.0544048968978116,0.571428571428571,0.576495726495726,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LUAD,ARID1A,large,high,C,2,20280835,0.6,0.486301369863014,0.543150684931507,0.489406392694064,0.44,0.511415525114155,0.475707762557078,0.535707762557078,2,-3.72085633468779,3.32779922806681,0.0481748713815665,0.597863247863248,0.565242165242165,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,LUAD,ARID1A,large,high,C,3,20290835,0.44,0.668949771689498,0.554474885844749,0.613424657534247,0.6,0.493150684931507,0.546575342465753,0.585753424657534,2,-3.1446096733749,6.92676476460827,0.0519067699495562,0.582977207977208,0.55954415954416,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
