family,subfamily,endpoint,tumor_type,source,n,positive,negative,prevalence
driver_mutation,Bailey_tissue_specific_driver,ARID1A,BLCA,TCGA_MC3_Bailey2018,384,98,286,0.255208333333333
driver_mutation,Bailey_tissue_specific_driver,ASXL2,BLCA,TCGA_MC3_Bailey2018,384,35,349,0.0911458333333333
driver_mutation,Bailey_tissue_specific_driver,ATM,BLCA,TCGA_MC3_Bailey2018,384,53,331,0.138020833333333
driver_mutation,Bailey_tissue_specific_driver,CDKN1A,BLCA,TCGA_MC3_Bailey2018,384,37,347,0.0963541666666667
driver_mutation,Bailey_tissue_specific_driver,CDKN2A,BLCA,TCGA_MC3_Bailey2018,384,24,360,0.0625
driver_mutation,Bailey_tissue_specific_driver,CREBBP,BLCA,TCGA_MC3_Bailey2018,384,48,336,0.125
driver_mutation,Bailey_tissue_specific_driver,ELF3,BLCA,TCGA_MC3_Bailey2018,384,46,338,0.119791666666667
driver_mutation,Bailey_tissue_specific_driver,EP300,BLCA,TCGA_MC3_Bailey2018,384,54,330,0.140625
driver_mutation,Bailey_tissue_specific_driver,ERBB2,BLCA,TCGA_MC3_Bailey2018,384,46,338,0.119791666666667
driver_mutation,Bailey_tissue_specific_driver,ERBB3,BLCA,TCGA_MC3_Bailey2018,384,40,344,0.104166666666667
driver_mutation,Bailey_tissue_specific_driver,ERCC2,BLCA,TCGA_MC3_Bailey2018,384,35,349,0.0911458333333333
driver_mutation,Bailey_tissue_specific_driver,FAT1,BLCA,TCGA_MC3_Bailey2018,384,46,338,0.119791666666667
driver_mutation,Bailey_tissue_specific_driver,FBXW7,BLCA,TCGA_MC3_Bailey2018,384,30,354,0.078125
driver_mutation,Bailey_tissue_specific_driver,FGFR3,BLCA,TCGA_MC3_Bailey2018,384,54,330,0.140625
driver_mutation,Bailey_tissue_specific_driver,KANSL1,BLCA,TCGA_MC3_Bailey2018,384,24,360,0.0625
driver_mutation,Bailey_tissue_specific_driver,KDM6A,BLCA,TCGA_MC3_Bailey2018,384,96,288,0.25
driver_mutation,Bailey_tissue_specific_driver,KLF5,BLCA,TCGA_MC3_Bailey2018,384,21,363,0.0546875
driver_mutation,Bailey_tissue_specific_driver,KMT2C,BLCA,TCGA_MC3_Bailey2018,384,71,313,0.184895833333333
driver_mutation,Bailey_tissue_specific_driver,KMT2D,BLCA,TCGA_MC3_Bailey2018,384,110,274,0.286458333333333
driver_mutation,Bailey_tissue_specific_driver,NFE2L2,BLCA,TCGA_MC3_Bailey2018,384,24,360,0.0625
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,BLCA,TCGA_MC3_Bailey2018,384,82,302,0.213541666666667
driver_mutation,Bailey_tissue_specific_driver,RB1,BLCA,TCGA_MC3_Bailey2018,384,73,311,0.190104166666667
driver_mutation,Bailey_tissue_specific_driver,RHOB,BLCA,TCGA_MC3_Bailey2018,384,24,360,0.0625
driver_mutation,Bailey_tissue_specific_driver,RXRA,BLCA,TCGA_MC3_Bailey2018,384,21,363,0.0546875
driver_mutation,Bailey_tissue_specific_driver,SF3B1,BLCA,TCGA_MC3_Bailey2018,384,22,362,0.0572916666666667
driver_mutation,Bailey_tissue_specific_driver,SPTAN1,BLCA,TCGA_MC3_Bailey2018,384,45,339,0.1171875
