tumor_type,family,subfamily,endpoint,source,n,positive,negative,prevalence,cohort_patients,missing_from_embedding_cohort
,fusion,fusion,Any called fusion,Gao2018_TableS1,6,4,2,0.666666666666667,9,3
ACC,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,54,28,26,0.518518518518519,56,2
ACC,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,53,17,36,0.320754716981132,56,3
ACC,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,53,3,50,0.0566037735849057,56,3
ACC,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,53,4,49,0.0754716981132076,56,3
ACC,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,53,7,46,0.132075471698113,56,3
ACC,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,53,0,53,0,56,3
ACC,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,53,10,43,0.188679245283019,56,3
ACC,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,53,15,38,0.283018867924528,56,3
ACC,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,53,14,39,0.264150943396226,56,3
ACC,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,53,1,52,0.0188679245283019,56,3
ACC,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,53,20,33,0.377358490566038,56,3
ACC,fusion,fusion,Any called fusion,Gao2018_TableS1,55,40,15,0.727272727272727,56,1
ACC,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,55,2,53,0.0363636363636364,56,1
ACC,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,53,0,53,0,56,3
BLCA,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,376,228,148,0.606382978723404,386,10
BLCA,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,373,303,70,0.812332439678284,386,13
BLCA,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,373,97,276,0.260053619302949,386,13
BLCA,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,373,67,306,0.179624664879357,386,13
BLCA,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,373,155,218,0.415549597855228,386,13
BLCA,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,373,32,341,0.0857908847184987,386,13
BLCA,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,373,170,203,0.455764075067024,386,13
BLCA,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,373,243,130,0.651474530831099,386,13
BLCA,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,373,232,141,0.621983914209115,386,13
BLCA,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,373,31,342,0.0831099195710456,386,13
BLCA,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,373,72,301,0.193029490616622,386,13
BLCA,fusion,fusion,Any called fusion,Gao2018_TableS1,381,288,93,0.755905511811024,386,5
BLCA,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,385,2,383,0.0051948051948052,386,1
BLCA,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,382,0,382,0,386,4
BRCA,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,998,438,560,0.438877755511022,1054,56
BRCA,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,758,365,393,0.481530343007916,1054,296
BRCA,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,942,82,860,0.0870488322717622,1054,112
BRCA,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,942,200,742,0.212314225053079,1054,112
BRCA,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,942,196,746,0.208067940552017,1054,112
BRCA,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,942,16,926,0.0169851380042463,1054,112
BRCA,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,942,528,414,0.560509554140127,1054,112
BRCA,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,942,372,570,0.394904458598726,1054,112
BRCA,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,942,437,505,0.463906581740977,1054,112
BRCA,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,942,59,883,0.0626326963906582,1054,112
BRCA,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,942,163,779,0.173036093418259,1054,112
BRCA,fusion,fusion,Any called fusion,Gao2018_TableS1,1051,832,219,0.79162702188392,1054,3
BRCA,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,991,16,975,0.0161453077699294,1054,63
BRCA,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,980,5,975,0.00510204081632653,1054,74
CESC,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,259,85,174,0.328185328185328,269,10
CESC,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,236,47,189,0.199152542372881,269,33
CESC,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,238,76,162,0.319327731092437,269,31
CESC,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,238,17,221,0.0714285714285714,269,31
CESC,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,238,82,156,0.34453781512605,269,31
CESC,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,238,20,218,0.0840336134453782,269,31
CESC,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,238,138,100,0.579831932773109,269,31
CESC,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,238,89,149,0.373949579831933,269,31
CESC,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,238,33,205,0.138655462184874,269,31
CESC,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,238,30,208,0.126050420168067,269,31
CESC,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,238,32,206,0.134453781512605,269,31
CESC,fusion,fusion,Any called fusion,Gao2018_TableS1,266,152,114,0.571428571428571,269,3
CESC,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,261,8,253,0.0306513409961686,269,8
CESC,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,256,3,253,0.01171875,269,13
CHOL,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,36,8,28,0.222222222222222,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,36,19,17,0.527777777777778,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,36,6,30,0.166666666666667,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,36,7,29,0.194444444444444,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,36,3,33,0.0833333333333333,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,36,2,34,0.0555555555555556,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,36,6,30,0.166666666666667,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,36,20,16,0.555555555555556,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,36,7,29,0.194444444444444,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,36,1,35,0.0277777777777778,39,3
CHOL,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,36,6,30,0.166666666666667,39,3
CHOL,fusion,fusion,Any called fusion,Gao2018_TableS1,36,27,9,0.75,39,3
CHOL,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,36,0,36,0,39,3
CHOL,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,36,0,36,0,39,3
COAD,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,408,165,243,0.404411764705882,433,25
COAD,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,253,147,106,0.58102766798419,433,180
COAD,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,323,63,260,0.195046439628483,433,110
COAD,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,323,79,244,0.244582043343653,433,110
COAD,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,323,107,216,0.331269349845201,433,110
COAD,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,323,5,318,0.0154798761609907,433,110
COAD,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,323,148,175,0.458204334365325,433,110
COAD,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,323,242,81,0.74922600619195,433,110
COAD,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,323,208,115,0.643962848297214,433,110
COAD,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,323,100,223,0.309597523219814,433,110
COAD,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,323,290,33,0.897832817337461,433,110
COAD,fusion,fusion,Any called fusion,Gao2018_TableS1,258,144,114,0.558139534883721,433,175
COAD,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,391,74,317,0.18925831202046,433,42
COAD,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,374,57,317,0.152406417112299,433,59
DLBC,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,43,9,34,0.209302325581395,44,1
DLBC,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,33,24,9,0.727272727272727,44,11
DLBC,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,33,11,22,0.333333333333333,44,11
DLBC,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,33,5,28,0.151515151515152,44,11
DLBC,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,33,22,11,0.666666666666667,44,11
DLBC,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,33,0,33,0,44,11
DLBC,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,33,3,30,0.0909090909090909,44,11
DLBC,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,33,9,24,0.272727272727273,44,11
DLBC,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,33,7,26,0.212121212121212,44,11
DLBC,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,33,3,30,0.0909090909090909,44,11
DLBC,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,33,22,11,0.666666666666667,44,11
DLBC,fusion,fusion,Any called fusion,Gao2018_TableS1,44,22,22,0.5,44,0
DLBC,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,44,11,33,0.25,44,0
DLBC,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,33,0,33,0,44,11
