truth,predicted,Freq
ACC,ACC,44
BLCA,ACC,1
BRCA,ACC,0
CESC,ACC,0
CHOL,ACC,2
COAD,ACC,0
DLBC,ACC,0
ESCA,ACC,0
GBM,ACC,0
HNSC,ACC,0
KICH,ACC,0
KIRC,ACC,1
KIRP,ACC,0
LGG,ACC,0
LIHC,ACC,11
LUAD,ACC,0
LUSC,ACC,0
MESO,ACC,0
OV,ACC,0
PAAD,ACC,0
PCPG,ACC,3
PRAD,ACC,0
READ,ACC,0
SARC,ACC,0
SKCM,ACC,0
STAD,ACC,0
TGCT,ACC,0
THCA,ACC,0
THYM,ACC,0
UCEC,ACC,0
UCS,ACC,0
UVM,ACC,0
ACC,BLCA,0
BLCA,BLCA,330
BRCA,BLCA,0
CESC,BLCA,1
CHOL,BLCA,0
COAD,BLCA,0
DLBC,BLCA,0
ESCA,BLCA,2
GBM,BLCA,0
HNSC,BLCA,0
KICH,BLCA,0
KIRC,BLCA,3
KIRP,BLCA,2
LGG,BLCA,0
LIHC,BLCA,0
LUAD,BLCA,0
LUSC,BLCA,0
MESO,BLCA,0
OV,BLCA,0
PAAD,BLCA,0
PCPG,BLCA,0
PRAD,BLCA,0
READ,BLCA,0
SARC,BLCA,1
SKCM,BLCA,0
STAD,BLCA,0
TGCT,BLCA,0
THCA,BLCA,0
THYM,BLCA,1
UCEC,BLCA,0
UCS,BLCA,0
UVM,BLCA,0
ACC,BRCA,0
BLCA,BRCA,0
BRCA,BRCA,1019
CESC,BRCA,0
CHOL,BRCA,0
COAD,BRCA,0
DLBC,BRCA,1
ESCA,BRCA,0
GBM,BRCA,0
HNSC,BRCA,1
KICH,BRCA,0
KIRC,BRCA,0
KIRP,BRCA,0
LGG,BRCA,0
LIHC,BRCA,0
LUAD,BRCA,0
LUSC,BRCA,0
MESO,BRCA,0
OV,BRCA,1
PAAD,BRCA,0
PCPG,BRCA,0
PRAD,BRCA,0
READ,BRCA,0
SARC,BRCA,0
SKCM,BRCA,1
STAD,BRCA,0
TGCT,BRCA,0
THCA,BRCA,1
THYM,BRCA,4
UCEC,BRCA,0
UCS,BRCA,0
UVM,BRCA,0
ACC,CESC,0
BLCA,CESC,14
BRCA,CESC,5
CESC,CESC,165
CHOL,CESC,0
COAD,CESC,0
DLBC,CESC,0
ESCA,CESC,8
GBM,CESC,0
HNSC,CESC,8
KICH,CESC,0
KIRC,CESC,0
KIRP,CESC,0
LGG,CESC,0
LIHC,CESC,0
LUAD,CESC,0
LUSC,CESC,5
MESO,CESC,0
OV,CESC,1
PAAD,CESC,0
PCPG,CESC,0
PRAD,CESC,0
READ,CESC,0
SARC,CESC,0
SKCM,CESC,0
STAD,CESC,0
TGCT,CESC,0
THCA,CESC,0
THYM,CESC,1
UCEC,CESC,2
UCS,CESC,1
UVM,CESC,0
ACC,CHOL,0
BLCA,CHOL,0
BRCA,CHOL,0
CESC,CHOL,0
CHOL,CHOL,28
COAD,CHOL,0
DLBC,CHOL,0
ESCA,CHOL,0
GBM,CHOL,0
HNSC,CHOL,0
KICH,CHOL,0
KIRC,CHOL,0
KIRP,CHOL,0
LGG,CHOL,0
LIHC,CHOL,15
LUAD,CHOL,0
LUSC,CHOL,0
MESO,CHOL,0
OV,CHOL,0
PAAD,CHOL,1
PCPG,CHOL,0
PRAD,CHOL,0
READ,CHOL,0
SARC,CHOL,0
SKCM,CHOL,0
STAD,CHOL,2
TGCT,CHOL,0
THCA,CHOL,1
THYM,CHOL,0
UCEC,CHOL,0
UCS,CHOL,0
UVM,CHOL,0
ACC,COAD,0
BLCA,COAD,0
BRCA,COAD,0
CESC,COAD,1
CHOL,COAD,0
COAD,COAD,404
DLBC,COAD,0
ESCA,COAD,1
GBM,COAD,0
HNSC,COAD,0
KICH,COAD,0
KIRC,COAD,0
KIRP,COAD,0
LGG,COAD,0
LIHC,COAD,0
LUAD,COAD,0
LUSC,COAD,0
MESO,COAD,0
OV,COAD,0
PAAD,COAD,2
PCPG,COAD,0
PRAD,COAD,0
READ,COAD,135
SARC,COAD,0
SKCM,COAD,0
STAD,COAD,42
TGCT,COAD,0
THCA,COAD,0
THYM,COAD,0
UCEC,COAD,1
UCS,COAD,0
UVM,COAD,0
ACC,DLBC,0
BLCA,DLBC,0
BRCA,DLBC,2
CESC,DLBC,0
CHOL,DLBC,0
COAD,DLBC,0
DLBC,DLBC,27
ESCA,DLBC,0
GBM,DLBC,2
HNSC,DLBC,0
KICH,DLBC,0
KIRC,DLBC,0
KIRP,DLBC,0
LGG,DLBC,0
LIHC,DLBC,1
LUAD,DLBC,0
LUSC,DLBC,1
MESO,DLBC,1
OV,DLBC,0
PAAD,DLBC,0
PCPG,DLBC,1
PRAD,DLBC,0
READ,DLBC,1
SARC,DLBC,1
SKCM,DLBC,0
STAD,DLBC,0
TGCT,DLBC,0
THCA,DLBC,0
THYM,DLBC,3
UCEC,DLBC,1
UCS,DLBC,0
UVM,DLBC,0
ACC,ESCA,0
BLCA,ESCA,8
BRCA,ESCA,0
CESC,ESCA,6
CHOL,ESCA,0
COAD,ESCA,0
DLBC,ESCA,0
ESCA,ESCA,56
GBM,ESCA,0
HNSC,ESCA,2
KICH,ESCA,0
KIRC,ESCA,0
KIRP,ESCA,0
LGG,ESCA,0
LIHC,ESCA,0
LUAD,ESCA,0
LUSC,ESCA,1
MESO,ESCA,0
OV,ESCA,0
PAAD,ESCA,3
PCPG,ESCA,0
PRAD,ESCA,0
READ,ESCA,0
SARC,ESCA,0
SKCM,ESCA,0
STAD,ESCA,8
TGCT,ESCA,0
THCA,ESCA,0
THYM,ESCA,0
UCEC,ESCA,0
UCS,ESCA,0
UVM,ESCA,0
ACC,GBM,0
BLCA,GBM,0
BRCA,GBM,0
CESC,GBM,0
CHOL,GBM,0
COAD,GBM,0
DLBC,GBM,2
ESCA,GBM,0
GBM,GBM,351
HNSC,GBM,0
KICH,GBM,0
KIRC,GBM,0
KIRP,GBM,0
LGG,GBM,56
LIHC,GBM,0
LUAD,GBM,0
LUSC,GBM,0
MESO,GBM,0
OV,GBM,0
PAAD,GBM,0
PCPG,GBM,0
PRAD,GBM,0
READ,GBM,0
SARC,GBM,2
SKCM,GBM,1
STAD,GBM,0
TGCT,GBM,0
THCA,GBM,0
THYM,GBM,0
UCEC,GBM,0
UCS,GBM,0
UVM,GBM,0
ACC,HNSC,0
BLCA,HNSC,2
BRCA,HNSC,3
CESC,HNSC,44
CHOL,HNSC,0
COAD,HNSC,0
DLBC,HNSC,0
ESCA,HNSC,31
GBM,HNSC,0
HNSC,HNSC,431
KICH,HNSC,0
KIRC,HNSC,0
KIRP,HNSC,0
LGG,HNSC,0
LIHC,HNSC,0
LUAD,HNSC,0
LUSC,HNSC,7
MESO,HNSC,0
OV,HNSC,0
PAAD,HNSC,0
PCPG,HNSC,0
PRAD,HNSC,0
READ,HNSC,0
SARC,HNSC,0
SKCM,HNSC,0
STAD,HNSC,1
TGCT,HNSC,0
THCA,HNSC,0
THYM,HNSC,1
UCEC,HNSC,0
UCS,HNSC,0
UVM,HNSC,0
ACC,KICH,1
BLCA,KICH,0
BRCA,KICH,0
CESC,KICH,0
CHOL,KICH,0
COAD,KICH,0
DLBC,KICH,0
ESCA,KICH,0
GBM,KICH,0
HNSC,KICH,0
KICH,KICH,98
KIRC,KICH,21
KIRP,KICH,3
LGG,KICH,0
LIHC,KICH,0
LUAD,KICH,0
LUSC,KICH,0
MESO,KICH,0
OV,KICH,0
PAAD,KICH,0
PCPG,KICH,0
PRAD,KICH,0
READ,KICH,0
SARC,KICH,0
SKCM,KICH,0
STAD,KICH,0
TGCT,KICH,0
THCA,KICH,0
THYM,KICH,0
UCEC,KICH,0
UCS,KICH,0
UVM,KICH,0
ACC,KIRC,0
BLCA,KIRC,2
BRCA,KIRC,0
CESC,KIRC,0
CHOL,KIRC,0
COAD,KIRC,0
DLBC,KIRC,0
ESCA,KIRC,0
GBM,KIRC,0
HNSC,KIRC,0
KICH,KIRC,9
KIRC,KIRC,467
KIRP,KIRC,6
LGG,KIRC,0
LIHC,KIRC,0
LUAD,KIRC,0
LUSC,KIRC,0
MESO,KIRC,0
OV,KIRC,0
PAAD,KIRC,0
PCPG,KIRC,0
PRAD,KIRC,0
READ,KIRC,0
SARC,KIRC,2
SKCM,KIRC,0
STAD,KIRC,0
TGCT,KIRC,0
THCA,KIRC,0
THYM,KIRC,0
UCEC,KIRC,0
UCS,KIRC,0
UVM,KIRC,0
ACC,KIRP,0
BLCA,KIRP,3
BRCA,KIRP,0
CESC,KIRP,0
CHOL,KIRP,0
COAD,KIRP,0
DLBC,KIRP,0
ESCA,KIRP,0
GBM,KIRP,0
HNSC,KIRP,0
KICH,KIRP,1
KIRC,KIRP,15
KIRP,KIRP,257
LGG,KIRP,0
LIHC,KIRP,0
LUAD,KIRP,0
LUSC,KIRP,0
MESO,KIRP,0
OV,KIRP,0
PAAD,KIRP,0
PCPG,KIRP,0
PRAD,KIRP,0
READ,KIRP,0
SARC,KIRP,0
SKCM,KIRP,0
STAD,KIRP,0
TGCT,KIRP,0
THCA,KIRP,0
THYM,KIRP,0
UCEC,KIRP,0
UCS,KIRP,0
UVM,KIRP,0
ACC,LGG,0
BLCA,LGG,0
BRCA,LGG,0
CESC,LGG,0
CHOL,LGG,0
COAD,LGG,0
DLBC,LGG,0
ESCA,LGG,0
GBM,LGG,27
HNSC,LGG,0
KICH,LGG,0
KIRC,LGG,0
KIRP,LGG,0
LGG,LGG,434
LIHC,LGG,0
LUAD,LGG,0
LUSC,LGG,0
MESO,LGG,0
OV,LGG,0
PAAD,LGG,0
PCPG,LGG,0
PRAD,LGG,0
READ,LGG,0
SARC,LGG,0
SKCM,LGG,0
STAD,LGG,0
TGCT,LGG,0
THCA,LGG,0
THYM,LGG,0
UCEC,LGG,0
UCS,LGG,0
UVM,LGG,0
ACC,LIHC,6
BLCA,LIHC,0
BRCA,LIHC,0
CESC,LIHC,0
CHOL,LIHC,5
COAD,LIHC,0
DLBC,LIHC,0
ESCA,LIHC,0
GBM,LIHC,0
HNSC,LIHC,0
KICH,LIHC,0
KIRC,LIHC,0
KIRP,LIHC,0
LGG,LIHC,0
LIHC,LIHC,329
LUAD,LIHC,0
LUSC,LIHC,0
MESO,LIHC,0
OV,LIHC,0
PAAD,LIHC,0
PCPG,LIHC,0
PRAD,LIHC,0
READ,LIHC,0
SARC,LIHC,0
SKCM,LIHC,0
STAD,LIHC,0
TGCT,LIHC,0
THCA,LIHC,0
THYM,LIHC,0
UCEC,LIHC,0
UCS,LIHC,0
UVM,LIHC,0
ACC,LUAD,0
BLCA,LUAD,2
BRCA,LUAD,0
CESC,LUAD,0
CHOL,LUAD,0
COAD,LUAD,0
DLBC,LUAD,1
ESCA,LUAD,0
GBM,LUAD,0
HNSC,LUAD,0
KICH,LUAD,0
KIRC,LUAD,0
KIRP,LUAD,0
LGG,LUAD,0
LIHC,LUAD,1
LUAD,LUAD,444
LUSC,LUAD,30
MESO,LUAD,3
OV,LUAD,0
PAAD,LUAD,0
PCPG,LUAD,0
PRAD,LUAD,0
READ,LUAD,0
SARC,LUAD,0
SKCM,LUAD,2
STAD,LUAD,1
TGCT,LUAD,0
THCA,LUAD,0
THYM,LUAD,1
UCEC,LUAD,0
UCS,LUAD,0
UVM,LUAD,0
ACC,LUSC,0
