tumor_type,support,correctly_classified,recall
PRAD,402,401,0.997512437810945
UVM,80,79,0.9875
THCA,505,492,0.974257425742574
BRCA,1054,1019,0.966793168880455
PCPG,176,169,0.960227272727273
HNSC,450,431,0.957777777777778
LUAD,468,444,0.948717948717949
OV,106,100,0.943396226415094
KIRP,273,257,0.941391941391941
COAD,433,404,0.933025404157044
UCEC,505,465,0.920792079207921
GBM,384,351,0.9140625
SKCM,292,266,0.910958904109589
KIRC,513,467,0.910331384015594
KICH,108,98,0.907407407407407
LIHC,364,329,0.903846153846154
LUSC,477,428,0.89727463312369
TGCT,149,133,0.89261744966443
LGG,490,434,0.885714285714286
SARC,254,221,0.87007874015748
THYM,121,104,0.859504132231405
BLCA,386,330,0.854922279792746
STAD,374,294,0.786096256684492
ACC,56,44,0.785714285714286
PAAD,183,141,0.770491803278689
MESO,75,54,0.72
CHOL,39,28,0.717948717948718
UCS,53,37,0.69811320754717
DLBC,44,27,0.613636363636364
CESC,269,165,0.613382899628253
ESCA,156,56,0.358974358974359
READ,156,6,0.0384615384615385
