study,url,file,bytes,sha256
acc,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/acc_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/acc_clinical_sample.txt,21521,902079901f973f6b1ca598ea60dcfdf8e09dcf46761ff9137d1bfc7618439395
blca,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/blca_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/blca_clinical_sample.txt,94436,0addd03ac8ed17879a8809f7dd1cd663765da559bd35be9414a84f95307db5c3
brca,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/brca_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/brca_clinical_sample.txt,204137,e96e6e4895a6ddcdb31d508a9e8f5676ca78ce396d2f82cd111a286a17e75ca6
cesc,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/cesc_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/cesc_clinical_sample.txt,61778,1ad7360fee3539eced5cd758bb4a2c7d0790b1dea38a26295be5f0085bdef161
chol,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/chol_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/chol_clinical_sample.txt,9255,d9ef53317ee291ebc5ae757c7b9806cb945e6b6432cbd1c8c90db42e6aa3d1cf
coadread,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/coadread_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/coadread_clinical_sample.txt,105858,b9cbcc7cbc7471b44a3767aac48d4d0625001e3c07f8776c50f77364341f7817
dlbc,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/dlbc_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/dlbc_clinical_sample.txt,12633,bf4388fc2859f652535f11bc14621f4e6d46b53563a000177c17214f923c133d
esca,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/esca_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/esca_clinical_sample.txt,38990,0f868028bf50767bf742615bfb5bf25b17ef2bfe5a24647e4681a81315a4ce58
gbm,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/gbm_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/gbm_clinical_sample.txt,106982,d63bd951527a84616328ce3a71838f4d3815055e6db8bb7f0d1673932c780168
hnsc,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/hnsc_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/hnsc_clinical_sample.txt,118661,cb7beef2111e56636674f50af28d5653f416ea2ca5ccaa2704448c3e13864fcb
kich,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/kich_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/kich_clinical_sample.txt,15886,710f1e87d0cbed4f23f58fd623ecba66dfbb4e6b8fe57ddf95ffa96dfc87e8a3
kirc,https://media.githubusercontent.com/media/cBioPortal/datahub/master/public/kirc_tcga_pan_can_atlas_2018/data_clinical_sample.txt,data/external/cbioportal/kirc_clinical_sample.txt,102856,dc8353955113fb2927fc848539a88cdf631f0561e781df9c05b34605904d748c
