family,tumor_type,endpoint,n,mean_pool_q2,median_pool_q2,delta_median_minus_mean,seed
aneuploidy,UCEC,Aneuploidy score,477,0.365782189774879,0.378728296762437,0.0129461069875582,20263783
aneuploidy,UCEC,Deleted arm count,477,0.305939537665035,0.3066574588365,0.000717921171464631,20263784
aneuploidy,COAD,Aneuploidy score,408,0.302055047119182,0.301835363841903,-0.000219683277279448,20261342
aneuploidy,BRCA,Aneuploidy score,998,0.236871433514368,0.229821904022899,-0.00704952949146942,20261126
aneuploidy,BRCA,Deleted arm count,998,0.218243854392943,0.218390424682335,0.000146570289391496,20261127
aneuploidy,COAD,Deleted arm count,408,0.216712777527587,0.216688126243207,-2.46512843802282e-05,20261343
aneuploidy,UVM,Deleted arm count,80,0.211681070218113,0.211681070218113,1.11022302462516e-16,20263985
aneuploidy,THYM,Aneuploidy score,103,0.211201479319608,0.0780672246366664,-0.133134254682942,20263675
aneuploidy,STAD,Aneuploidy score,360,0.204007788286404,0.204007788286404,-3.60822483003176e-16,20263357
fusion,UCEC,Fusion burden,153,0.394551637159546,0.399345279911912,0.00479364275236582,20263786
fusion,BRCA,Fusion burden,1051,0.246358885458657,0.246345175410621,-1.37100480361585e-05,20261129
fusion,LGG,Fusion burden,487,0.226155179957079,0.22610437580399,-5.08041530893344e-05,20262081
microsatellite_instability,COAD,MANTIS score,391,0.283696896620652,0.283741210180114,4.43135594615507e-05,20261346
microsatellite_instability,TGCT,MSIsensor score,148,0.228208848965114,0.226578523786849,-0.00163032517826539,20263469
microsatellite_instability,COAD,MSIsensor score,411,0.221758534646032,0.221603863979892,-0.000154670666139611,20261347
microsatellite_instability,STAD,MANTIS score,371,0.210769611191346,0.210769611191346,1.94289029309402e-16,20263361
rna_pathway_activity,TGCT,HALLMARK_GLYCOLYSIS,149,0.764436895741565,0.764897478545723,0.000460582804157506,20263431
rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,149,0.688551937635183,0.69357608489236,0.00502414725717659,20263447
rna_pathway_activity,TGCT,HALLMARK_HYPOXIA,149,0.647483250920616,0.650217459787894,0.0027342088672776,20263434
rna_pathway_activity,TGCT,HALLMARK_ESTROGEN_RESPONSE_LATE,149,0.647312419086885,0.636394430431667,-0.0109179886552183,20263428
rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,149,0.634345378974812,0.6340354272877,-0.000309951687111565,20263416
rna_pathway_activity,TGCT,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,149,0.627720971583124,0.632757518798139,0.00503654721501445,20263426
rna_pathway_activity,TGCT,HALLMARK_ESTROGEN_RESPONSE_EARLY,149,0.627436009816767,0.623583970568432,-0.00385203924833455,20263427
rna_pathway_activity,TGCT,HALLMARK_APICAL_JUNCTION,149,0.617558619633536,0.615340374444804,-0.00221824518873215,20263417
rna_pathway_activity,TGCT,HALLMARK_CHOLESTEROL_HOMEOSTASIS,149,0.615130329183451,0.571637554846624,-0.0434927743368271,20263421
rna_pathway_activity,TGCT,HALLMARK_MYOGENESIS,149,0.612088759180508,0.614081508729756,0.00199274954924811,20263446
rna_pathway_activity,THCA,HALLMARK_ALLOGRAFT_REJECTION,503,0.59861693355916,0.598576822311339,-4.01112478214394e-05,20263521
rna_pathway_activity,THCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,503,0.586141080903852,0.586021759009909,-0.000119321893943369,20263546
rna_pathway_activity,TGCT,HALLMARK_WNT_BETA_CATENIN_SIGNALING,149,0.581967531640069,0.582230658326318,0.000263126686248727,20263461
rna_pathway_activity,LUAD,HALLMARK_E2F_TARGETS,462,0.573743287687638,0.573623676216908,-0.000119611470729808,20262254
rna_pathway_activity,LUAD,HALLMARK_G2M_CHECKPOINT,462,0.565978642568748,0.565767423975642,-0.000211218593106133,20262259
rna_pathway_activity,TGCT,HALLMARK_PANCREAS_BETA_CELLS,149,0.561408585645471,0.555774388085253,-0.0056341975602181,20263450
rna_pathway_activity,LIHC,HALLMARK_BILE_ACID_METABOLISM,358,0.559395952332576,0.559395952332576,-2.22044604925031e-16,20262141
rna_pathway_activity,BRCA,HALLMARK_MTORC1_SIGNALING,1052,0.557526014853263,0.55739788166692,-0.000128133186343304,20261105
rna_pathway_activity,PAAD,HALLMARK_NOTCH_SIGNALING,176,0.556071388395804,0.554275325887186,-0.0017960625086183,20262700
rna_pathway_activity,SARC,HALLMARK_COMPLEMENT,252,0.553156043940458,0.553508224613562,0.00035218067310383,20263101
