family,tumor_type,endpoint,n,evidence_category,repeated_q2_mean,repeated_q2_sd,repeated_q2_min,repeated_q2_max,repeated_spearman_mean,repeated_spearman_sd,prediction_repeat_spearman_mean,prediction_repeat_spearman_min,prediction_repeat_spearman_sd,selected_components_median,selected_components_min,selected_components_max,selected_components_iqr,outer_fits,outer_fits_at_ceiling,outer_fit_ceiling_fraction,any_outer_fit_at_ceiling
rna_pathway_activity,UCS,HALLMARK_APICAL_SURFACE,53,limited continuous evidence (<100 patients),-0.00677948229707898,0.147609078394427,-0.180663915534367,0.160413861461521,0.270327366553781,0.0873988897221295,0.796669891952911,0.72093210772456,0.0419611863073421,2,1,4,1,25,0,0,FALSE
rna_pathway_activity,UCS,HALLMARK_ESTROGEN_RESPONSE_EARLY,53,limited continuous evidence (<100 patients),0.158485555446676,0.0982884494021032,0.0280219320365714,0.261202470935753,0.392114175133043,0.0551278401181872,0.834962102886631,0.788018061602967,0.0270709527108271,2,1,9,1,25,0,0,FALSE
rna_pathway_activity,UCS,HALLMARK_ESTROGEN_RESPONSE_LATE,53,limited continuous evidence (<100 patients),0.282015221276892,0.0890783208758687,0.181425579824851,0.382949075666675,0.467843896145783,0.0811759280902251,0.877487502015804,0.827850346718271,0.0360513654794374,2,1,4,1,25,0,0,FALSE
rna_pathway_activity,UCS,HALLMARK_KRAS_SIGNALING_UP,53,limited continuous evidence (<100 patients),0.0698459403590006,0.162519267044983,-0.0763052999867264,0.255279788090139,0.338961457829382,0.112433878624347,0.664828253507499,0.602080309627479,0.0450740371749139,3,1,5,2,25,0,0,FALSE
rna_pathway_activity,UCS,HALLMARK_MYOGENESIS,53,limited continuous evidence (<100 patients),0.192728226591657,0.1030802665261,0.084123545688376,0.309229691745082,0.466586034510563,0.0993017428260064,0.809119496855346,0.750766005482987,0.0408893826734141,2,1,9,1,25,0,0,FALSE
rna_pathway_activity,UCS,HALLMARK_P53_PATHWAY,53,limited continuous evidence (<100 patients),0.0467642458952664,0.108869941166672,-0.0671885007339794,0.213236021408077,0.305208837284309,0.0900719724909658,0.676310272536688,0.469843573617158,0.116704084516715,2,1,5,0,25,0,0,FALSE
thorsson,ACC,Number of Segments,54,limited continuous evidence (<100 patients),0.0616372604026978,0.200304623892895,-0.21327646955358,0.223284060942427,0.480965178898194,0.115251424764678,0.785492662473795,0.707871164474938,0.0582853505521894,3,1,10,3,25,0,0,FALSE
rna_pathway_activity,ACC,HALLMARK_ADIPOGENESIS,55,limited continuous evidence (<100 patients),0.325869656723095,0.0691929049478646,0.253315598867222,0.421155184899193,0.426724386724387,0.0356831382826949,0.848686868686869,0.806926406926407,0.041812691501739,1,1,3,1,25,0,0,FALSE
rna_pathway_activity,ACC,HALLMARK_ALLOGRAFT_REJECTION,55,limited continuous evidence (<100 patients),0.191769520184934,0.1612345494618,-0.0276768381556032,0.386841450251724,0.426089466089466,0.0797524098215952,0.8095670995671,0.726334776334776,0.0356712726213841,2,1,11,1,25,0,0,FALSE
rna_pathway_activity,ACC,HALLMARK_APOPTOSIS,55,limited continuous evidence (<100 patients),0.175305473807905,0.197907037968089,-0.167886177561423,0.323933789551813,0.273881673881674,0.0214598258134596,0.787518037518038,0.711183261183261,0.0500681415743594,2,1,18,1,25,0,0,FALSE
