family,tumor_type,endpoint,repeat,q2,rmse,spearman
aneuploidy,BRCA,Aneuploidy score,1,-0.226459328335766,8.66130235146048,0.0557653683089761
aneuploidy,BRCA,Aneuploidy score,2,-0.177937278553277,8.48824110636742,-0.00482973622283581
aneuploidy,BRCA,Aneuploidy score,3,-0.454780635910399,9.43312044770591,-0.0234867819876577
aneuploidy,BRCA,Aneuploidy score,4,-0.501683115395724,9.58397722061147,-0.0237695043004198
aneuploidy,BRCA,Aneuploidy score,5,-0.542855372736658,9.71447270959308,0.0265048267979664
aneuploidy,BRCA,Deleted arm count,1,-0.334258201609751,6.26575785073807,-0.0394922054567223
aneuploidy,BRCA,Deleted arm count,2,-0.284726723429333,6.14835655823906,-0.0497088830809328
aneuploidy,BRCA,Deleted arm count,3,-0.242295350852322,6.04597151015242,-0.0398394703457765
aneuploidy,BRCA,Deleted arm count,4,-0.264538025881346,6.09985642799999,-0.0479167791858476
aneuploidy,BRCA,Deleted arm count,5,-0.236440994912727,6.03170877139458,0.0349257669320742
aneuploidy,COAD,Aneuploidy score,1,-0.744378590638658,10.8107500975366,0.00258477592833033
aneuploidy,COAD,Aneuploidy score,2,-0.240603062242088,9.11699840419733,-0.016571349878926
aneuploidy,COAD,Aneuploidy score,3,-0.480250469003265,9.95870936374949,-0.0804178343546682
aneuploidy,COAD,Aneuploidy score,4,-0.722230420985972,10.7418994414274,0.0583355522297768
aneuploidy,COAD,Aneuploidy score,5,-0.287045143192177,9.28607836638366,0.0628617090443359
aneuploidy,STAD,Aneuploidy score,1,-0.401197250011731,9.86176116757434,-0.027424966061151
aneuploidy,STAD,Aneuploidy score,2,-0.640749512144836,10.6715126693118,0.0357782758341749
aneuploidy,STAD,Aneuploidy score,3,-0.240864776250885,9.28040802059144,0.00435166760542582
aneuploidy,STAD,Aneuploidy score,4,-0.323560780358726,9.584661669754,-0.115186749486228
aneuploidy,STAD,Aneuploidy score,5,-0.439519243847374,9.99570844015788,0.00385973996307334
aneuploidy,STAD,Deleted arm count,1,-0.403995949436535,7.62041566874641,-0.00887720592110136
aneuploidy,STAD,Deleted arm count,2,-0.425671008421881,7.67901282602759,-0.0634346345355591
aneuploidy,STAD,Deleted arm count,3,-0.282329628252814,7.28275285757837,0.0492560302620073
aneuploidy,STAD,Deleted arm count,4,-0.267396229702634,7.2402229430389,0.0360073276886142
aneuploidy,STAD,Deleted arm count,5,-0.598254404446269,8.13052685969586,-0.0241199245113294
aneuploidy,UCEC,Aneuploidy score,1,-0.0649233739773996,7.36074839764446,0.0297171325377852
aneuploidy,UCEC,Aneuploidy score,2,-0.118175903533519,7.54254409642264,0.106233679600981
aneuploidy,UCEC,Aneuploidy score,3,-0.150651807175768,7.6512916271405,0.0902534147559339
aneuploidy,UCEC,Aneuploidy score,4,-0.463158410430564,8.6279668415405,-0.0489366035052573
aneuploidy,UCEC,Aneuploidy score,5,-0.158303603688509,7.67668989100449,0.0218698085972917
aneuploidy,UCEC,Deleted arm count,1,-0.100971938323471,5.14819128646741,0.0536268219072903
aneuploidy,UCEC,Deleted arm count,2,-0.235559514876411,5.45378967082795,-0.0425048112457737
aneuploidy,UCEC,Deleted arm count,3,-0.123888391384769,5.20149449303338,0.0298047465253437
aneuploidy,UCEC,Deleted arm count,4,-0.127779281318578,5.21049047370836,-0.0117023599832782
aneuploidy,UCEC,Deleted arm count,5,-0.0948382100684562,5.13383047060992,0.0219054067703944
aneuploidy,UVM,Deleted arm count,1,-0.327141958281393,2.56788419506793,-0.0926890743293106
aneuploidy,UVM,Deleted arm count,2,-0.254267264859736,2.49638628681774,0.269463173894072
aneuploidy,UVM,Deleted arm count,3,-0.938155836243945,3.10320946352123,-0.155655069970741
aneuploidy,UVM,Deleted arm count,4,-0.511423926104866,2.74037433078861,-0.0637481819226904
aneuploidy,UVM,Deleted arm count,5,-0.388994440600295,2.62704189086344,-0.121825513306246
fusion,BRCA,Fusion burden,1,-0.129802789779189,1.01317160665427,0.0141304515653956
fusion,BRCA,Fusion burden,2,-0.184961360561227,1.03760912799022,-0.0717287380425022
fusion,BRCA,Fusion burden,3,-0.389783231943057,1.12371252838885,-0.00240308480682709
