family,subfamily,tumor_type,endpoint,source,n,q2,rmse,spearman,p_permutation,permutations,permutation_exceedances,ncomp,seed,fastPLS_version,backend,svd_method,rsvd_oversample,rsvd_power,permutation_attempted,permutation_stopped_early,q_value,q_value_global,tier
aneuploidy,aneuploidy,UCEC,Aneuploidy score,Taylor2018_TableS2,477,0.361115589408896,5.70130058930594,0.600792897170814,0.001,999,0,3,20262327,0.99.20,cpu,rsvd,10,2,999,FALSE,0.0015,0.01125,B
aneuploidy,aneuploidy,UCEC,Deleted arm count,Taylor2018_TableS2,477,0.313465731179695,4.06534736935219,0.618230808934352,0.001,999,0,2,20262328,0.99.20,cpu,rsvd,10,2,999,FALSE,0.0015,0.01125,B
aneuploidy,aneuploidy,COAD,Aneuploidy score,Taylor2018_TableS2,408,0.259551003972379,7.04341095802054,0.543504403489057,0.001,999,0,4,20261082,0.99.20,cpu,rsvd,10,2,999,FALSE,0.0015,0.01125,B
aneuploidy,aneuploidy,STAD,Aneuploidy score,Taylor2018_TableS2,360,0.225042356865452,7.33404930644997,0.534709033489326,0.001,999,0,3,20262109,0.99.20,cpu,rsvd,10,2,999,FALSE,0.003,0.01125,B
aneuploidy,aneuploidy,BRCA,Aneuploidy score,Taylor2018_TableS2,998,0.221057226912935,6.90254743986401,0.497574972848151,0.001,999,0,4,20260970,0.99.20,cpu,rsvd,10,2,999,FALSE,0.0015,0.01125,B
aneuploidy,aneuploidy,COAD,Deleted arm count,Taylor2018_TableS2,408,0.213155675626157,5.68178012106733,0.562507430806933,0.001,999,0,3,20261083,0.99.20,cpu,rsvd,10,2,999,FALSE,0.0015,0.01125,B
aneuploidy,aneuploidy,BRCA,Deleted arm count,Taylor2018_TableS2,998,0.207362662614877,4.82937499806674,0.504604312258321,0.001,999,0,3,20260971,0.99.20,cpu,rsvd,10,2,999,FALSE,0.0015,0.01125,B
aneuploidy,aneuploidy,UVM,Deleted arm count,Taylor2018_TableS2,80,0.205523190569114,1.98681466419448,0.529683821790281,0.002,999,1,3,20262425,0.99.20,cpu,rsvd,10,2,999,FALSE,0.006,0.02,B
aneuploidy,aneuploidy,LUAD,Aneuploidy score,Taylor2018_TableS2,449,0.200636064861025,6.93756590270878,0.431616001183221,0.001,999,0,2,20261565,0.99.20,cpu,rsvd,10,2,999,FALSE,0.003,0.01125,B
aneuploidy,aneuploidy,LGG,Aneuploidy score,Taylor2018_TableS2,481,0.182560955058642,3.77212754152124,0.43247537503234,1,0,,2,20261454,0.99.20,cpu,rsvd,10,2,,,1,1,C
