family,tumor_type,endpoint,n,repeat,outer_fold,selected_components,reached_ceiling,seed
aneuploidy,BRCA,Aneuploidy score,998,1,1,5,FALSE,20270819
aneuploidy,BRCA,Aneuploidy score,998,1,2,4,FALSE,20270819
aneuploidy,BRCA,Aneuploidy score,998,1,3,4,FALSE,20270819
aneuploidy,BRCA,Aneuploidy score,998,1,4,4,FALSE,20270819
aneuploidy,BRCA,Aneuploidy score,998,1,5,3,FALSE,20270819
aneuploidy,BRCA,Aneuploidy score,998,2,1,3,FALSE,20280819
aneuploidy,BRCA,Aneuploidy score,998,2,2,4,FALSE,20280819
aneuploidy,BRCA,Aneuploidy score,998,2,3,4,FALSE,20280819
aneuploidy,BRCA,Aneuploidy score,998,2,4,3,FALSE,20280819
aneuploidy,BRCA,Aneuploidy score,998,2,5,3,FALSE,20280819
aneuploidy,BRCA,Aneuploidy score,998,3,1,3,FALSE,20290819
aneuploidy,BRCA,Aneuploidy score,998,3,2,3,FALSE,20290819
aneuploidy,BRCA,Aneuploidy score,998,3,3,4,FALSE,20290819
aneuploidy,BRCA,Aneuploidy score,998,3,4,3,FALSE,20290819
aneuploidy,BRCA,Aneuploidy score,998,3,5,3,FALSE,20290819
aneuploidy,BRCA,Aneuploidy score,998,4,1,3,FALSE,20300819
aneuploidy,BRCA,Aneuploidy score,998,4,2,3,FALSE,20300819
aneuploidy,BRCA,Aneuploidy score,998,4,3,3,FALSE,20300819
aneuploidy,BRCA,Aneuploidy score,998,4,4,3,FALSE,20300819
aneuploidy,BRCA,Aneuploidy score,998,4,5,4,FALSE,20300819
aneuploidy,BRCA,Aneuploidy score,998,5,1,4,FALSE,20310819
aneuploidy,BRCA,Aneuploidy score,998,5,2,4,FALSE,20310819
aneuploidy,BRCA,Aneuploidy score,998,5,3,4,FALSE,20310819
aneuploidy,BRCA,Aneuploidy score,998,5,4,4,FALSE,20310819
aneuploidy,BRCA,Aneuploidy score,998,5,5,4,FALSE,20310819
aneuploidy,BRCA,Deleted arm count,998,1,1,3,FALSE,20270820
aneuploidy,BRCA,Deleted arm count,998,1,2,3,FALSE,20270820
aneuploidy,BRCA,Deleted arm count,998,1,3,3,FALSE,20270820
aneuploidy,BRCA,Deleted arm count,998,1,4,3,FALSE,20270820
aneuploidy,BRCA,Deleted arm count,998,1,5,3,FALSE,20270820
aneuploidy,BRCA,Deleted arm count,998,2,1,2,FALSE,20280820
aneuploidy,BRCA,Deleted arm count,998,2,2,3,FALSE,20280820
aneuploidy,BRCA,Deleted arm count,998,2,3,4,FALSE,20280820
aneuploidy,BRCA,Deleted arm count,998,2,4,3,FALSE,20280820
aneuploidy,BRCA,Deleted arm count,998,2,5,3,FALSE,20280820
aneuploidy,BRCA,Deleted arm count,998,3,1,3,FALSE,20290820
aneuploidy,BRCA,Deleted arm count,998,3,2,2,FALSE,20290820
aneuploidy,BRCA,Deleted arm count,998,3,3,3,FALSE,20290820
aneuploidy,BRCA,Deleted arm count,998,3,4,3,FALSE,20290820
aneuploidy,BRCA,Deleted arm count,998,3,5,3,FALSE,20290820
aneuploidy,BRCA,Deleted arm count,998,4,1,3,FALSE,20300820
aneuploidy,BRCA,Deleted arm count,998,4,2,3,FALSE,20300820
aneuploidy,BRCA,Deleted arm count,998,4,3,3,FALSE,20300820
aneuploidy,BRCA,Deleted arm count,998,4,4,3,FALSE,20300820
aneuploidy,BRCA,Deleted arm count,998,4,5,3,FALSE,20300820
aneuploidy,BRCA,Deleted arm count,998,5,1,3,FALSE,20310820
aneuploidy,BRCA,Deleted arm count,998,5,2,3,FALSE,20310820
aneuploidy,BRCA,Deleted arm count,998,5,3,3,FALSE,20310820
aneuploidy,BRCA,Deleted arm count,998,5,4,3,FALSE,20310820
aneuploidy,BRCA,Deleted arm count,998,5,5,5,FALSE,20310820
aneuploidy,COAD,Aneuploidy score,408,1,1,7,FALSE,20270818
aneuploidy,COAD,Aneuploidy score,408,1,2,4,FALSE,20270818
aneuploidy,COAD,Aneuploidy score,408,1,3,6,FALSE,20270818
aneuploidy,COAD,Aneuploidy score,408,1,4,8,FALSE,20270818
aneuploidy,COAD,Aneuploidy score,408,1,5,8,FALSE,20270818
aneuploidy,COAD,Aneuploidy score,408,2,1,8,FALSE,20280818
aneuploidy,COAD,Aneuploidy score,408,2,2,5,FALSE,20280818
aneuploidy,COAD,Aneuploidy score,408,2,3,8,FALSE,20280818
aneuploidy,COAD,Aneuploidy score,408,2,4,5,FALSE,20280818
aneuploidy,COAD,Aneuploidy score,408,2,5,4,FALSE,20280818
aneuploidy,COAD,Aneuploidy score,408,3,1,7,FALSE,20290818
aneuploidy,COAD,Aneuploidy score,408,3,2,5,FALSE,20290818
aneuploidy,COAD,Aneuploidy score,408,3,3,8,FALSE,20290818
aneuploidy,COAD,Aneuploidy score,408,3,4,5,FALSE,20290818
aneuploidy,COAD,Aneuploidy score,408,3,5,6,FALSE,20290818
aneuploidy,COAD,Aneuploidy score,408,4,1,5,FALSE,20300818
aneuploidy,COAD,Aneuploidy score,408,4,2,7,FALSE,20300818
aneuploidy,COAD,Aneuploidy score,408,4,3,7,FALSE,20300818
aneuploidy,COAD,Aneuploidy score,408,4,4,7,FALSE,20300818
aneuploidy,COAD,Aneuploidy score,408,4,5,4,FALSE,20300818
aneuploidy,COAD,Aneuploidy score,408,5,1,3,FALSE,20310818
aneuploidy,COAD,Aneuploidy score,408,5,2,7,FALSE,20310818
aneuploidy,COAD,Aneuploidy score,408,5,3,4,FALSE,20310818
aneuploidy,COAD,Aneuploidy score,408,5,4,6,FALSE,20310818
aneuploidy,COAD,Aneuploidy score,408,5,5,7,FALSE,20310818
aneuploidy,COAD,Deleted arm count,408,1,1,3,FALSE,20270821
aneuploidy,COAD,Deleted arm count,408,1,2,3,FALSE,20270821
aneuploidy,COAD,Deleted arm count,408,1,3,3,FALSE,20270821
aneuploidy,COAD,Deleted arm count,408,1,4,2,FALSE,20270821
aneuploidy,COAD,Deleted arm count,408,1,5,5,FALSE,20270821
aneuploidy,COAD,Deleted arm count,408,2,1,3,FALSE,20280821
aneuploidy,COAD,Deleted arm count,408,2,2,2,FALSE,20280821
aneuploidy,COAD,Deleted arm count,408,2,3,3,FALSE,20280821
aneuploidy,COAD,Deleted arm count,408,2,4,5,FALSE,20280821
aneuploidy,COAD,Deleted arm count,408,2,5,4,FALSE,20280821
aneuploidy,COAD,Deleted arm count,408,3,1,3,FALSE,20290821
aneuploidy,COAD,Deleted arm count,408,3,2,3,FALSE,20290821
aneuploidy,COAD,Deleted arm count,408,3,3,4,FALSE,20290821
aneuploidy,COAD,Deleted arm count,408,3,4,3,FALSE,20290821
aneuploidy,COAD,Deleted arm count,408,3,5,2,FALSE,20290821
aneuploidy,COAD,Deleted arm count,408,4,1,3,FALSE,20300821
aneuploidy,COAD,Deleted arm count,408,4,2,4,FALSE,20300821
aneuploidy,COAD,Deleted arm count,408,4,3,2,FALSE,20300821
aneuploidy,COAD,Deleted arm count,408,4,4,3,FALSE,20300821
aneuploidy,COAD,Deleted arm count,408,4,5,3,FALSE,20300821
aneuploidy,COAD,Deleted arm count,408,5,1,4,FALSE,20310821
aneuploidy,COAD,Deleted arm count,408,5,2,3,FALSE,20310821
aneuploidy,COAD,Deleted arm count,408,5,3,5,FALSE,20310821
aneuploidy,COAD,Deleted arm count,408,5,4,4,FALSE,20310821
aneuploidy,COAD,Deleted arm count,408,5,5,2,FALSE,20310821
aneuploidy,STAD,Aneuploidy score,360,1,1,3,FALSE,20270824
aneuploidy,STAD,Aneuploidy score,360,1,2,3,FALSE,20270824
aneuploidy,STAD,Aneuploidy score,360,1,3,3,FALSE,20270824
aneuploidy,STAD,Aneuploidy score,360,1,4,3,FALSE,20270824
aneuploidy,STAD,Aneuploidy score,360,1,5,3,FALSE,20270824
aneuploidy,STAD,Aneuploidy score,360,2,1,3,FALSE,20280824
aneuploidy,STAD,Aneuploidy score,360,2,2,2,FALSE,20280824
aneuploidy,STAD,Aneuploidy score,360,2,3,4,FALSE,20280824
aneuploidy,STAD,Aneuploidy score,360,2,4,3,FALSE,20280824
aneuploidy,STAD,Aneuploidy score,360,2,5,2,FALSE,20280824
aneuploidy,STAD,Aneuploidy score,360,3,1,3,FALSE,20290824
aneuploidy,STAD,Aneuploidy score,360,3,2,4,FALSE,20290824
aneuploidy,STAD,Aneuploidy score,360,3,3,3,FALSE,20290824
aneuploidy,STAD,Aneuploidy score,360,3,4,3,FALSE,20290824
aneuploidy,STAD,Aneuploidy score,360,3,5,3,FALSE,20290824
aneuploidy,STAD,Aneuploidy score,360,4,1,3,FALSE,20300824
aneuploidy,STAD,Aneuploidy score,360,4,2,4,FALSE,20300824
aneuploidy,STAD,Aneuploidy score,360,4,3,3,FALSE,20300824
aneuploidy,STAD,Aneuploidy score,360,4,4,3,FALSE,20300824
