family,tumor_type,endpoint,n,n_sites,random_q2,site_grouped_q2,delta,feasible,maximum_outer_folds_per_site,minimum_sites_per_outer_fold,outer_site_overlap,seed,backend,svd_method,rsvd_oversample,rsvd_power,error,single_class_outer_test_folds,any_single_class_outer_test_fold,outer_training_positive_min,outer_training_negative_min,inner_validation_n_min,inner_training_n_min,inner_validation_positive_min,inner_validation_negative_min,inner_training_positive_min,inner_training_negative_min,single_class_inner_validation_folds,any_single_class_inner_validation_fold,any_single_class_inner_training_fold,grouped_fold_adequacy_flag,grouped_fold_adequacy_reasons,adequacy_flag_definition,metric_construction
aneuploidy,UCEC,Aneuploidy score,477,29,0.365782189774879,0.335033572713146,-0.0307486170617325,TRUE,1,5,FALSE,20260816,cpu,rsvd,32,5,,,,,,10,154,,,,,,,,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,UCEC,Deleted arm count,477,29,0.305939537665035,0.329595438311966,0.0236559006469314,TRUE,1,5,FALSE,20260817,cpu,rsvd,32,5,,,,,,12,208,,,,,,,,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,COAD,Aneuploidy score,408,24,0.302055047119182,0.22229555791,-0.0797594892091825,TRUE,1,4,FALSE,20260818,cpu,rsvd,32,5,,,,,,6,131,,,,,,,,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,BRCA,Aneuploidy score,998,39,0.236871433514368,0.201363032666311,-0.0355084008480572,TRUE,1,7,FALSE,20260819,cpu,rsvd,32,5,,,,,,35,482,,,,,,,,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,BRCA,Deleted arm count,998,39,0.218243854392943,0.204999005534094,-0.013244848858849,TRUE,1,7,FALSE,20260820,cpu,rsvd,32,5,,,,,,14,489,,,,,,,,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,COAD,Deleted arm count,408,24,0.216712777527587,0.119434237316051,-0.0972785402115358,TRUE,1,4,FALSE,20260821,cpu,rsvd,32,5,,,,,,8,119,,,,,,,,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,UVM,Deleted arm count,80,6,0.211681070218113,0.0360545986278714,-0.175626471590242,TRUE,1,1,FALSE,20260822,cpu,rsvd,32,5,,,,,,1,21,,,,,,,,sparse grouped folds,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,THYM,Aneuploidy score,103,17,0.211201479319608,0.166747102109629,-0.0444543772099792,TRUE,1,3,FALSE,20260823,cpu,rsvd,32,5,,,,,,2,33,,,,,,,,sparse grouped folds,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
aneuploidy,STAD,Aneuploidy score,360,22,0.204007788286404,0.172554948638309,-0.0314528396480946,TRUE,1,4,FALSE,20260824,cpu,rsvd,32,5,,,,,,8,74,,,,,,,,no audit trigger,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
fusion,UCEC,Fusion burden,153,28,0.394551637159546,0.390358696654496,-0.00419294050505048,TRUE,1,5,FALSE,20260825,cpu,rsvd,32,5,,,,,,6,55,,,,,,,,sparse grouped folds,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics."
