family,tumor_type,endpoint,n,multi_slide_patients,mean_pool_q2,first_slide_q2,delta_first_minus_mean,seed,backend,svd_method,rsvd_oversample,rsvd_power
aneuploidy,UCEC,Aneuploidy score,477,40,0.365782189774879,0.362328601944467,-0.00345358783041194,20263783,cpu,rsvd,32,5
aneuploidy,UCEC,Deleted arm count,477,40,0.305939537665035,0.300524721487516,-0.00541481617751904,20263784,cpu,rsvd,32,5
aneuploidy,COAD,Aneuploidy score,408,5,0.302055047119182,0.301754720628653,-0.000300326490528635,20261342,cpu,rsvd,32,5
aneuploidy,BRCA,Aneuploidy score,998,64,0.236871433514368,0.227547014104906,-0.00932441940946183,20261126,cpu,rsvd,32,5
aneuploidy,BRCA,Deleted arm count,998,64,0.218243854392943,0.220953353982054,0.00270949958911107,20261127,cpu,rsvd,32,5
aneuploidy,COAD,Deleted arm count,408,5,0.216712777527587,0.21536561421718,-0.0013471633104073,20261343,cpu,rsvd,32,5
aneuploidy,UVM,Deleted arm count,80,0,0.211681070218113,0.211681070218113,1.11022302462516e-16,20263985,cpu,rsvd,32,5
aneuploidy,THYM,Aneuploidy score,103,4,0.211201479319608,0.203022770604804,-0.00817870871480367,20263675,cpu,rsvd,32,5
aneuploidy,STAD,Aneuploidy score,360,25,0.204007788286404,0.199876178109736,-0.00413161017666844,20263357,cpu,rsvd,32,5
fusion,UCEC,Fusion burden,153,12,0.394551637159546,0.350174111871504,-0.0443775252880421,20263786,cpu,rsvd,32,5
fusion,BRCA,Fusion burden,1051,66,0.246358885458657,0.24780795379448,0.00144906833582284,20261129,cpu,rsvd,32,5
fusion,LGG,Fusion burden,487,107,0.226155179957079,0.216752499246683,-0.00940268071039585,20262081,cpu,rsvd,32,5
microsatellite_instability,COAD,MANTIS score,391,5,0.283696896620652,0.284694457946933,0.000997561326280927,20261346,cpu,rsvd,32,5
microsatellite_instability,TGCT,MSIsensor score,148,63,0.228208848965114,0.218695640352125,-0.00951320861298927,20263469,cpu,rsvd,32,5
microsatellite_instability,COAD,MSIsensor score,411,6,0.221758534646032,0.224583395793382,0.00282486114734959,20261347,cpu,rsvd,32,5
microsatellite_instability,STAD,MANTIS score,371,25,0.210769611191346,0.205525182342126,-0.00524442884922052,20263361,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_GLYCOLYSIS,149,63,0.764436895741565,0.766217356102176,0.00178046036061141,20263431,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,149,63,0.688551937635183,0.680719907671564,-0.00783202996361943,20263447,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_HYPOXIA,149,63,0.647483250920616,0.650504904142056,0.00302165322143966,20263434,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_ESTROGEN_RESPONSE_LATE,149,63,0.647312419086885,0.617711554597048,-0.0296008644898366,20263428,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,149,63,0.634345378974812,0.6356885032176,0.00134312424278815,20263416,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,149,63,0.627720971583124,0.600645689169531,-0.0270752824135929,20263426,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_ESTROGEN_RESPONSE_EARLY,149,63,0.627436009816767,0.572145710145262,-0.0552902996715053,20263427,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_APICAL_JUNCTION,149,63,0.617558619633536,0.61134783103566,-0.00621078859787627,20263417,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_CHOLESTEROL_HOMEOSTASIS,149,63,0.615130329183451,0.591645267640035,-0.0234850615434163,20263421,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_MYOGENESIS,149,63,0.612088759180508,0.612272925289883,0.000184166109375106,20263446,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_ALLOGRAFT_REJECTION,503,12,0.59861693355916,0.596074076852772,-0.00254285670638776,20263521,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,503,12,0.586141080903852,0.58145760229536,-0.00468347860849205,20263546,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_WNT_BETA_CATENIN_SIGNALING,149,63,0.581967531640069,0.56011604667177,-0.0218514849682994,20263461,cpu,rsvd,32,5
rna_pathway_activity,LUAD,HALLMARK_E2F_TARGETS,462,20,0.573743287687638,0.570891385219676,-0.00285190246796252,20262254,cpu,rsvd,32,5
