tumor_type,family,subfamily,endpoint,source,n,mean,sd,cohort_patients,missing_from_embedding_cohort
,fusion,fusion,Fusion burden,Gao2018_TableS1,6,1.03709604467856,0.857008761323099,9,3
ACC,thorsson,immune_inflammatory_and_genomic_context,Leukocyte Fraction,Thorsson2018_PanImmune_MS,54,0.0977702641664295,0.0934899471556433,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,Stromal Fraction,Thorsson2018_PanImmune_MS,54,0.177222222222222,0.108825924121995,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,Intratumor Heterogeneity,Thorsson2018_PanImmune_MS,54,0.0918518518518519,0.0996612010589173,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,Proliferation,Thorsson2018_PanImmune_MS,54,-0.601462962962963,0.760082032885651,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,Wound Healing,Thorsson2018_PanImmune_MS,54,-0.0989722222222222,0.16483944208431,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,Macrophage Regulation,Thorsson2018_PanImmune_MS,54,-0.738524074074074,0.709010162775498,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,Lymphocyte Infiltration Signature Score,Thorsson2018_PanImmune_MS,54,-1.54864814814815,1.0394064221796,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,IFN-gamma Response,Thorsson2018_PanImmune_MS,54,-0.393609259259259,0.638744697653588,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,TGF-beta Response,Thorsson2018_PanImmune_MS,54,-0.720412962962963,0.332779693710076,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,SNV Neoantigens,Thorsson2018_PanImmune_MS,54,2.81027608668204,1.05857332351248,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,Indel Neoantigens,Thorsson2018_PanImmune_MS,38,2.50379452139326,1.88889247979131,56,18
ACC,thorsson,immune_inflammatory_and_genomic_context,Silent Mutation Rate,Thorsson2018_PanImmune_MS,55,0.341320144459342,0.42216100375071,56,1
ACC,thorsson,immune_inflammatory_and_genomic_context,Nonsilent Mutation Rate,Thorsson2018_PanImmune_MS,55,0.738175206011625,0.627650133228329,56,1
ACC,thorsson,immune_inflammatory_and_genomic_context,Number of Segments,Thorsson2018_PanImmune_MS,54,4.98574421166423,0.645804462044075,56,2
ACC,thorsson,immune_inflammatory_and_genomic_context,Fraction Altered,Thorsson2018_PanImmune_MS,54,0.8147839522146,0.223661137636558,56,2
