outer_fold,outer_test_positive,outer_test_negative,selected_component,inner_auroc,inner_balanced_accuracy_at_selected_threshold,selected_threshold,empirical_prior_threshold,equal_prior_threshold,inner_folds,component_at_ceiling,foundation_model,family,tumor_type,endpoint
1,6,5,1,0.466666666666667,0.566666666666667,1.14861142918426,0,0.0487901641694321,5,FALSE,TITAN,aneuploidy,ACC,Genome doubling
2,6,5,2,0.561904761904762,0.635714285714286,0.972655804421591,0,0.0487901641694321,5,FALSE,TITAN,aneuploidy,ACC,Genome doubling
3,5,5,1,0.540909090909091,0.604545454545455,1.0898896231747,0,0.0953101798043249,5,FALSE,TITAN,aneuploidy,ACC,Genome doubling
4,5,5,3,0.638636363636364,0.697727272727273,3.65485050672933,0,0.0953101798043249,5,FALSE,TITAN,aneuploidy,ACC,Genome doubling
5,5,5,2,0.593181818181818,0.611363636363636,3.07765940939328,0,0.0953101798043249,5,FALSE,TITAN,aneuploidy,ACC,Genome doubling
1,6,5,5,0.619047619047619,0.652380952380952,-7.00086609835045,0,0.0487901641694321,5,FALSE,GigaSSL,aneuploidy,ACC,Genome doubling
2,6,5,3,0.676190476190476,0.677380952380952,-2.0270577802005,0,0.0487901641694321,5,FALSE,GigaSSL,aneuploidy,ACC,Genome doubling
3,5,5,3,0.615909090909091,0.634090909090909,4.95572267508396,0,0.0953101798043249,5,FALSE,GigaSSL,aneuploidy,ACC,Genome doubling
4,5,5,4,0.7,0.7,6.91354681634135,0,0.0953101798043249,5,FALSE,GigaSSL,aneuploidy,ACC,Genome doubling
5,5,5,4,0.781818181818182,0.759090909090909,0.698519346166394,0,0.0953101798043249,5,FALSE,GigaSSL,aneuploidy,ACC,Genome doubling
1,6,5,2,0.704761904761905,0.678571428571429,-1.99335404920958,0,0.0487901641694321,5,FALSE,ProvGigaPath,aneuploidy,ACC,Genome doubling
2,6,5,16,0.761904761904762,0.75952380952381,349345.279291066,0,0.0487901641694321,5,FALSE,ProvGigaPath,aneuploidy,ACC,Genome doubling
3,5,5,4,0.752272727272727,0.718181818181818,13.1427050343057,0,0.0953101798043249,5,FALSE,ProvGigaPath,aneuploidy,ACC,Genome doubling
4,5,5,5,0.734090909090909,0.747727272727273,34.460225985278,0,0.0953101798043249,5,FALSE,ProvGigaPath,aneuploidy,ACC,Genome doubling
5,5,5,4,0.738636363636364,0.740909090909091,0.342690103918851,0,0.0953101798043249,5,FALSE,ProvGigaPath,aneuploidy,ACC,Genome doubling
1,46,30,4,0.729092940957348,0.700828832184764,0.625141764803471,0,0.433322062611131,5,FALSE,TITAN,aneuploidy,BLCA,Genome doubling
2,46,30,5,0.747392438070404,0.713633823803315,0.251911060026071,0,0.433322062611131,5,FALSE,TITAN,aneuploidy,BLCA,Genome doubling
3,46,30,3,0.736217172657851,0.691748929037065,-0.0156059129965469,0,0.433322062611131,5,FALSE,TITAN,aneuploidy,BLCA,Genome doubling
4,45,29,8,0.726408596225375,0.679363548698168,0.0999196074437736,0,0.430362659729891,5,FALSE,TITAN,aneuploidy,BLCA,Genome doubling
5,45,29,9,0.753134040501447,0.715066354410617,0.712527192962569,0,0.430362659729891,5,FALSE,TITAN,aneuploidy,BLCA,Genome doubling
1,46,30,3,0.713680387409201,0.68411249767182,0.482288238945169,0,0.433322062611131,5,FALSE,GigaSSL,aneuploidy,BLCA,Genome doubling
2,46,30,3,0.70632333767927,0.672331905382753,0.795152474371414,0,0.433322062611131,5,FALSE,GigaSSL,aneuploidy,BLCA,Genome doubling
3,46,30,8,0.737707208046191,0.703110448873161,0.240066505117058,0,0.433322062611131,5,FALSE,GigaSSL,aneuploidy,BLCA,Genome doubling
4,45,29,8,0.714607154337145,0.672659227625476,-0.74159371927857,0,0.430362659729891,5,FALSE,GigaSSL,aneuploidy,BLCA,Genome doubling
5,45,29,3,0.725306516049043,0.691968590714975,0.213495203753053,0,0.430362659729891,5,FALSE,GigaSSL,aneuploidy,BLCA,Genome doubling
1,46,30,3,0.74487800335258,0.704600484261501,0.58847518875117,0,0.433322062611131,5,FALSE,ProvGigaPath,aneuploidy,BLCA,Genome doubling
2,46,30,3,0.722387781709816,0.669072452970758,-0.0495918394397896,0,0.433322062611131,5,FALSE,ProvGigaPath,aneuploidy,BLCA,Genome doubling
3,46,30,3,0.693425218848948,0.645231886757311,-0.69715995409195,0,0.433322062611131,5,FALSE,ProvGigaPath,aneuploidy,BLCA,Genome doubling
4,45,29,3,0.740092758414841,0.693001790880287,0.64809941970358,0,0.430362659729891,5,FALSE,ProvGigaPath,aneuploidy,BLCA,Genome doubling
5,45,29,3,0.753317720530835,0.708958993433439,0.924614706923158,0,0.430362659729891,5,FALSE,ProvGigaPath,aneuploidy,BLCA,Genome doubling
1,17,35,6,0.647052507247933,0.622516911843659,-1.19542493958596,0,-0.729781313739726,5,FALSE,TITAN,aneuploidy,CESC,Genome doubling
2,17,35,5,0.683238483839794,0.664125416085042,-2.73757217725498,0,-0.729781313739726,5,FALSE,TITAN,aneuploidy,CESC,Genome doubling
3,17,35,3,0.625469773434983,0.618651347578654,-1.05521393545558,0,-0.729781313739726,5,FALSE,TITAN,aneuploidy,CESC,Genome doubling
4,17,35,4,0.696875335552454,0.658917642005798,-2.19558727788242,0,-0.729781313739726,5,FALSE,TITAN,aneuploidy,CESC,Genome doubling
5,16,34,5,0.678781512605042,0.657563025210084,-1.91319979362506,0,-0.722134717433198,5,FALSE,TITAN,aneuploidy,CESC,Genome doubling
1,17,35,3,0.643079566197788,0.632771394824439,-0.655037661842127,0,-0.729781313739726,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
2,17,35,3,0.668205733920327,0.647589391173628,-1.70701133216528,0,-0.729781313739726,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
3,17,35,3,0.676795876731451,0.656770106303017,-1.33633388492367,0,-0.729781313739726,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
4,17,35,3,0.668420487490605,0.640932030495007,-2.03883837293088,0,-0.729781313739726,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
5,16,34,2,0.689495798319328,0.654201680672269,-1.37920145206319,0,-0.722134717433198,5,FALSE,GigaSSL,aneuploidy,CESC,Genome doubling
1,17,35,6,0.637066466230001,0.631053366262214,-3.29974772620269,0,-0.729781313739726,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
2,17,35,2,0.59980672178675,0.612530870825728,-1.0912238203715,0,-0.729781313739726,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
3,17,35,6,0.621711585955117,0.609470632449265,-3.72214101656097,0,-0.729781313739726,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
4,17,35,3,0.637066466230001,0.619832492215183,-0.510969763814345,0,-0.729781313739726,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
5,16,34,3,0.655987394957983,0.652521008403361,-1.23488456032526,0,-0.722134717433198,5,FALSE,ProvGigaPath,aneuploidy,CESC,Genome doubling
1,33,49,10,0.767231904537604,0.708195949128592,-0.603455887132154,0,-0.379888266318515,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
2,33,49,11,0.752080389386089,0.709393154341341,-0.535291270156472,0,-0.379888266318515,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
3,33,48,7,0.763745704467354,0.716768197438301,0.491567442857652,0,-0.385056236476957,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
4,33,48,3,0.719111215245236,0.662644486098094,-0.171469093261791,0,-0.385056236476957,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
5,33,48,7,0.767728834739144,0.73250546704155,0.0093510186089103,0,-0.385056236476957,5,FALSE,TITAN,aneuploidy,COAD,Genome doubling
