foundation_model,family,tumor_type,endpoint,empirical_ba_tuned_auroc,empirical_ba_tuned_balanced_accuracy,empirical_ba_tuned_pr_auc,empirical_ba_tuned_median_component,auroc,pr_auc,balanced_accuracy,sensitivity,specificity,ppv,npv,prevalence,no_skill_pr_auc,empirical_prior_balanced_accuracy,empirical_prior_sensitivity,empirical_prior_specificity,empirical_prior_ppv,empirical_prior_npv,equal_prior_balanced_accuracy,equal_prior_sensitivity,equal_prior_specificity,equal_prior_ppv,equal_prior_npv,median_selected_component,minimum_selected_component,maximum_selected_component,components_at_ceiling,median_inner_auroc,median_selected_threshold,subfamily,source,n,positive,negative,seed,tuning_objective,operating_threshold,primary_binary_metric,binary_crossing_rule,rsvd_only,auroc_delta,balanced_accuracy_delta,empirical_ba_crossing,auroc_tuned_ba_crossing,auroc_tuned_auroc_crossing,median_component_changed
GigaSSL,aneuploidy,ACC,Genome doubling,0.659259259259259,0.596296296296296,0.671640626338824,4,0.668148148148148,0.706748235346104,0.596296296296296,0.592592592592593,0.6,0.615384615384615,0.576923076923077,0.519230769230769,0.519230769230769,0.633333333333333,0.666666666666667,0.6,0.642857142857143,0.625,0.633333333333333,0.666666666666667,0.6,0.642857142857143,0.625,4,3,5,0,0.676190476190476,0.698519346166394,aneuploidy,Taylor2018_TableS2,52,27,25,20260816,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,0.00888888888888917,3.33066907387547e-16,FALSE,FALSE,TRUE,FALSE
ProvGigaPath,aneuploidy,ACC,Genome doubling,0.700740740740741,0.654814814814815,0.738318517745615,4,0.714074074074074,0.771085911505323,0.620740740740741,0.481481481481482,0.76,0.68421052631579,0.575757575757576,0.519230769230769,0.519230769230769,0.653333333333333,0.666666666666667,0.64,0.666666666666667,0.64,0.653333333333333,0.666666666666667,0.64,0.666666666666667,0.64,4,2,16,0,0.738636363636364,13.1427050343057,aneuploidy,Taylor2018_TableS2,52,27,25,20260816,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,0.0133333333333331,-0.0340740740740743,TRUE,TRUE,TRUE,FALSE
TITAN,aneuploidy,ACC,Genome doubling,0.531851851851852,0.496296296296296,0.59874825491973,2,0.531851851851852,0.584476062491148,0.52962962962963,0.259259259259259,0.8,0.583333333333333,0.5,0.519230769230769,0.519230769230769,0.534814814814815,0.62962962962963,0.44,0.548387096774194,0.523809523809524,0.516296296296296,0.592592592592593,0.44,0.533333333333333,0.5,2,1,3,0,0.561904761904762,1.14861142918426,aneuploidy,Taylor2018_TableS2,52,27,25,20260816,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,-2.22044604925031e-16,0.0333333333333337,FALSE,FALSE,FALSE,FALSE
GigaSSL,aneuploidy,BLCA,Genome doubling,0.713460170697013,0.64307728781413,0.745834299999774,6,0.715623518255097,0.743198518775531,0.670637743006164,0.706140350877193,0.635135135135135,0.748837209302326,0.583850931677019,0.606382978723404,0.606382978723404,0.658250355618777,0.789473684210526,0.527027027027027,0.72,0.619047619047619,0.655464675201517,0.662280701754386,0.648648648648649,0.74384236453202,0.554913294797688,3,3,8,0,0.714607154337145,0.240066505117058,aneuploidy,Taylor2018_TableS2,376,228,148,20260817,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,0.00216334755808423,0.0275604551920341,TRUE,TRUE,TRUE,TRUE
ProvGigaPath,aneuploidy,BLCA,Genome doubling,0.757142010431484,0.683736367946894,0.787930587802133,3,0.746028923660503,0.780962596734015,0.662695590327169,0.710526315789474,0.614864864864865,0.73972602739726,0.579617834394905,0.606382978723404,0.606382978723404,0.671408250355619,0.81578947368421,0.527027027027027,0.7265625,0.65,0.687529634898056,0.706140350877193,0.668918918918919,0.766666666666667,0.596385542168675,3,3,3,0,0.740092758414841,0.58847518875117,aneuploidy,Taylor2018_TableS2,376,228,148,20260817,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,-0.0111130867709813,-0.0210407776197247,TRUE,TRUE,TRUE,FALSE
TITAN,aneuploidy,BLCA,Genome doubling,0.747332859174964,0.693871503082029,0.787729217391249,5,0.726084637268848,0.777415577531249,0.662339971550498,0.736842105263158,0.587837837837838,0.733624454148472,0.591836734693878,0.606382978723404,0.606382978723404,0.683084400189663,0.785087719298246,0.581081081081081,0.742738589211618,0.637037037037037,0.67923186344239,0.736842105263158,0.621621621621622,0.75,0.605263157894737,5,3,9,0,0.736217172657851,0.251911060026071,aneuploidy,Taylor2018_TableS2,376,228,148,20260817,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,-0.0212482219061162,-0.0315315315315312,TRUE,TRUE,TRUE,FALSE
GigaSSL,aneuploidy,CESC,Genome doubling,0.661261631089217,0.59072249589491,0.448239604538933,4,0.676929392446634,0.486643303685734,0.642651888341544,0.773809523809524,0.511494252873563,0.433333333333333,0.824074074074074,0.325581395348837,0.325581395348837,0.583949096880131,0.369047619047619,0.798850574712644,0.46969696969697,0.723958333333333,0.595443349753695,0.535714285714286,0.655172413793103,0.428571428571429,0.745098039215686,3,2,3,0,0.668420487490605,-1.37920145206319,aneuploidy,Taylor2018_TableS2,258,84,174,20260818,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,0.0156677613574169,0.0519293924466335,FALSE,TRUE,TRUE,TRUE
ProvGigaPath,aneuploidy,CESC,Genome doubling,0.601258894362343,0.599753694581281,0.416134376127927,4,0.600574712643678,0.429948077415475,0.56568144499179,0.642857142857143,0.488505747126437,0.377622377622378,0.739130434782609,0.325581395348837,0.325581395348837,0.581691297208539,0.404761904761905,0.758620689655172,0.447368421052632,0.725274725274725,0.574712643678161,0.5,0.649425287356322,0.407766990291262,0.729032258064516,3,2,6,0,0.637066466230001,-1.23488456032526,aneuploidy,Taylor2018_TableS2,258,84,174,20260818,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,-0.000684181718664911,-0.0340722495894912,FALSE,FALSE,TRUE,TRUE
TITAN,aneuploidy,CESC,Genome doubling,0.571975916803503,0.569170771756979,0.385420003127239,5,0.619594964422551,0.409355323338849,0.613300492610837,0.738095238095238,0.488505747126437,0.410596026490066,0.794392523364486,0.325581395348837,0.325581395348837,0.543103448275862,0.333333333333333,0.752873563218391,0.394366197183099,0.700534759358289,0.598316912972085,0.535714285714286,0.660919540229885,0.432692307692308,0.746753246753247,5,3,6,0,0.678781512605042,-1.91319979362506,aneuploidy,Taylor2018_TableS2,258,84,174,20260818,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,0.0476190476190476,0.0441297208538584,FALSE,TRUE,TRUE,FALSE
GigaSSL,aneuploidy,COAD,Genome doubling,0.751314800901578,0.664325068870523,0.664615507065985,5,0.763461056849487,0.675578194747776,0.671900826446281,0.690909090909091,0.652892561983471,0.575757575757576,0.755980861244019,0.405405405405405,0.405405405405405,0.655922865013774,0.551515151515152,0.760330578512397,0.610738255033557,0.713178294573643,0.694628099173554,0.690909090909091,0.698347107438017,0.609625668449198,0.768181818181818,4,4,4,0,0.75993091537133,-0.330423899423872,aneuploidy,Taylor2018_TableS2,407,165,242,20260819,pooled inner out-of-fold AUROC,pooled inner out-of-fold balanced-accuracy optimum,outer out-of-fold AUROC,AUROC >= 0.60 after inner-AUROC component tuning,TRUE,0.0121462559479086,0.00757575757575801,TRUE,TRUE,TRUE,TRUE
