foundation_model,family,tumor_type,endpoint,n,positive,negative,prevalence,no_skill_pr_auc,rule,balanced_accuracy,sensitivity,specificity,ppv,npv,auroc,pr_auc,ba_crossing_sensitivity,empirical_balanced_accuracy,empirical_sensitivity,empirical_specificity,empirical_ppv,empirical_npv,balanced_accuracy_delta_vs_empirical,sensitivity_delta_vs_empirical,specificity_delta_vs_empirical,ppv_delta_vs_empirical,npv_delta_vs_empirical
GigaSSL,aneuploidy,ACC,Genome doubling,52,27,25,0.519230769230769,0.519230769230769,empirical training priors,0.633333333333333,0.666666666666667,0.6,0.642857142857143,0.625,0.668148148148148,0.706748235346104,TRUE,0.633333333333333,0.666666666666667,0.6,0.642857142857143,0.625,0,0,0,0,0
ProvGigaPath,aneuploidy,ACC,Genome doubling,52,27,25,0.519230769230769,0.519230769230769,empirical training priors,0.653333333333333,0.666666666666667,0.64,0.666666666666667,0.64,0.714074074074074,0.771085911505323,TRUE,0.653333333333333,0.666666666666667,0.64,0.666666666666667,0.64,0,0,0,0,0
TITAN,aneuploidy,ACC,Genome doubling,52,27,25,0.519230769230769,0.519230769230769,empirical training priors,0.534814814814815,0.62962962962963,0.44,0.548387096774194,0.523809523809524,0.531851851851852,0.584476062491148,FALSE,0.534814814814815,0.62962962962963,0.44,0.548387096774194,0.523809523809524,0,0,0,0,0
GigaSSL,aneuploidy,BLCA,Genome doubling,376,228,148,0.606382978723404,0.606382978723404,empirical training priors,0.658250355618777,0.789473684210526,0.527027027027027,0.72,0.619047619047619,0.715623518255097,0.743198518775531,TRUE,0.658250355618777,0.789473684210526,0.527027027027027,0.72,0.619047619047619,0,0,0,0,0
ProvGigaPath,aneuploidy,BLCA,Genome doubling,376,228,148,0.606382978723404,0.606382978723404,empirical training priors,0.671408250355619,0.81578947368421,0.527027027027027,0.7265625,0.65,0.746028923660503,0.780962596734015,TRUE,0.671408250355619,0.81578947368421,0.527027027027027,0.7265625,0.65,0,0,0,0,0
TITAN,aneuploidy,BLCA,Genome doubling,376,228,148,0.606382978723404,0.606382978723404,empirical training priors,0.683084400189663,0.785087719298246,0.581081081081081,0.742738589211618,0.637037037037037,0.726084637268848,0.777415577531249,TRUE,0.683084400189663,0.785087719298246,0.581081081081081,0.742738589211618,0.637037037037037,0,0,0,0,0
GigaSSL,aneuploidy,CESC,Genome doubling,258,84,174,0.325581395348837,0.325581395348837,empirical training priors,0.583949096880131,0.369047619047619,0.798850574712644,0.46969696969697,0.723958333333333,0.676929392446634,0.486643303685734,FALSE,0.583949096880131,0.369047619047619,0.798850574712644,0.46969696969697,0.723958333333333,0,0,0,0,0
ProvGigaPath,aneuploidy,CESC,Genome doubling,258,84,174,0.325581395348837,0.325581395348837,empirical training priors,0.581691297208539,0.404761904761905,0.758620689655172,0.447368421052632,0.725274725274725,0.600574712643678,0.429948077415475,FALSE,0.581691297208539,0.404761904761905,0.758620689655172,0.447368421052632,0.725274725274725,0,0,0,0,0
TITAN,aneuploidy,CESC,Genome doubling,258,84,174,0.325581395348837,0.325581395348837,empirical training priors,0.543103448275862,0.333333333333333,0.752873563218391,0.394366197183099,0.700534759358289,0.619594964422551,0.409355323338849,FALSE,0.543103448275862,0.333333333333333,0.752873563218391,0.394366197183099,0.700534759358289,0,0,0,0,0
GigaSSL,aneuploidy,COAD,Genome doubling,407,165,242,0.405405405405405,0.405405405405405,empirical training priors,0.655922865013774,0.551515151515152,0.760330578512397,0.610738255033557,0.713178294573643,0.763461056849487,0.675578194747776,TRUE,0.655922865013774,0.551515151515152,0.760330578512397,0.610738255033557,0.713178294573643,0,0,0,0,0
