foundation_model,outcome_type,tumor_type,eligible_tasks,effect_threshold_crossings,crossing_percent,median_effect
GigaSSL,binary,ACC,1,1,100,0.668148148148148
GigaSSL,binary,BLCA,42,8,19.0476190476191,0.5447350036758
GigaSSL,binary,CESC,17,2,11.7647058823529,0.533231707317073
GigaSSL,binary,COAD,26,18,69.2307692307692,0.649722792392133
GigaSSL,binary,ESCA,10,3,30,0.570275718501862
GigaSSL,binary,GBM,7,2,28.5714285714286,0.597921501362123
GigaSSL,binary,HNSC,30,10,33.3333333333333,0.565180779086495
GigaSSL,binary,KIRC,12,5,41.6666666666667,0.581054700245629
GigaSSL,binary,LGG,24,15,62.5,0.683187482011546
GigaSSL,binary,LIHC,19,8,42.1052631578947,0.578449328449329
GigaSSL,binary,LUAD,27,9,33.3333333333333,0.564588144726713
GigaSSL,binary,LUSC,29,4,13.7931034482759,0.535080459770115
GigaSSL,binary,OV,2,2,100,0.66559560542671
GigaSSL,binary,PAAD,13,1,7.69230769230769,0.527163809130345
GigaSSL,binary,PCPG,4,2,50,0.56674232518054
GigaSSL,binary,PRAD,14,3,21.4285714285714,0.570191576933132
GigaSSL,binary,READ,10,7,70,0.648318111565546
GigaSSL,binary,SARC,12,6,50,0.598985847910171
GigaSSL,binary,SKCM,3,1,33.3333333333333,0.568253968253968
GigaSSL,binary,STAD,31,18,58.0645161290323,0.620507272508715
GigaSSL,binary,UCEC,62,25,40.3225806451613,0.575817980744886
GigaSSL,binary,KICH,2,0,0,0.491883116883117
GigaSSL,binary,TGCT,3,2,66.6666666666667,0.609654598418643
GigaSSL,binary,THCA,8,6,75,0.706636369401177
GigaSSL,binary,THYM,2,2,100,0.767022110642339
GigaSSL,binary,UCS,3,1,33.3333333333333,0.584821428571429
GigaSSL,binary,UVM,2,0,0,0.498490118577075
GigaSSL,binary,DLBC,1,1,100,0.603305785123967
GigaSSL,binary,KIRP,7,2,28.5714285714286,0.559033847131734
GigaSSL,binary,MESO,3,2,66.6666666666667,0.600490196078431
GigaSSL,continuous,ACC,100,1,1,-0.12421103462926
GigaSSL,continuous,BLCA,108,28,25.9259259259259,0.0883985305159505
GigaSSL,continuous,CESC,108,2,1.85185185185185,-0.00883701049962216
GigaSSL,continuous,COAD,108,15,13.8888888888889,0.0478876467116089
GigaSSL,continuous,ESCA,106,0,0,-0.0319026348701892
GigaSSL,continuous,GBM,104,0,0,-0.0776274252832933
GigaSSL,continuous,HNSC,107,3,2.80373831775701,0.0364263420335699
GigaSSL,continuous,KICH,101,7,6.93069306930693,-0.107499013657917
GigaSSL,continuous,KIRC,107,15,14.018691588785,0.0635839027051971
GigaSSL,continuous,KIRP,107,22,20.5607476635514,0.0581050367381306
GigaSSL,continuous,LGG,104,22,21.1538461538462,0.101434087140309
GigaSSL,continuous,LIHC,107,29,27.1028037383178,0.0932113910424775
GigaSSL,continuous,LUAD,108,23,21.2962962962963,0.0861126129055105
GigaSSL,continuous,LUSC,108,9,8.33333333333333,0.032266400500609
GigaSSL,continuous,MESO,103,4,3.88349514563107,-0.161961191015583
GigaSSL,continuous,OV,104,4,3.84615384615385,-0.0946841794228735
GigaSSL,continuous,PAAD,108,13,12.037037037037,-0.0346441963775622
GigaSSL,continuous,PCPG,103,3,2.9126213592233,-0.00958517095848666
GigaSSL,continuous,PRAD,107,4,3.73831775700935,0.0485386296939694
GigaSSL,continuous,READ,108,1,0.925925925925926,-0.0519168740364362
GigaSSL,continuous,SARC,107,17,15.8878504672897,0.052460292747522
GigaSSL,continuous,SKCM,108,8,7.40740740740741,-0.0673323838910372
GigaSSL,continuous,STAD,107,15,14.018691588785,0.0691870779750825
GigaSSL,continuous,TGCT,107,54,50.4672897196262,0.2163305052294
GigaSSL,continuous,THCA,107,30,28.0373831775701,0.0864729458252518
GigaSSL,continuous,THYM,104,27,25.9615384615385,0.0865713707911182
GigaSSL,continuous,UCEC,108,1,0.925925925925926,0.0222406873954743
GigaSSL,continuous,UCS,99,5,5.05050505050505,-0.239949784921885
ProvGigaPath,binary,ACC,1,1,100,0.714074074074074
ProvGigaPath,binary,BLCA,42,9,21.4285714285714,0.561912062963746
ProvGigaPath,binary,CESC,17,1,5.88235294117647,0.508418568056648
ProvGigaPath,binary,COAD,26,19,73.0769230769231,0.653299578230326
ProvGigaPath,binary,ESCA,10,1,10,0.553099323378838
ProvGigaPath,binary,GBM,7,3,42.8571428571429,0.5885
ProvGigaPath,binary,HNSC,30,10,33.3333333333333,0.564632834556934
