outcome_type,family,subfamily,tumor_type,endpoint,source,alternative_partitions,all_three_proportion,exactly_two_proportion,representation_specific_proportion,none_proportion,modal_consensus_class,modal_consensus_tied,modal_consensus_proportion,modal_support_pattern,modal_support_pattern_proportion,mean_supported_by_n,min_supported_by_n,max_supported_by_n,primary_consensus_class,primary_support_pattern,primary_supported_by_n,selection_reason,primary_union_positive,primary_near_threshold,primary_threshold_distance_min,primary_consensus_agreement_proportion
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,5,0,0.4,0.6,0,representation specific,FALSE,0.6,ProvGigaPath,0.6,1.4,1,2,exactly two,GigaSSL+ProvGigaPath,2,union-positive,TRUE,FALSE,0.068148148148148,0.4
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive,TRUE,FALSE,0.115623518255097,1
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,5,0,0.8,0.2,0,exactly two,FALSE,0.8,TITAN+GigaSSL,0.8,1.8,1,2,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.000574712643678033,0
binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive,TRUE,FALSE,0.145679939894816,1
binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,5,0,0.2,0.2,0.6,none,FALSE,0.6,None,0.6,0.6,0,2,none,None,0,near-threshold only,FALSE,TRUE,0.0182330827067669,0.6
binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,5,0,0.2,0.6,0.2,representation specific,FALSE,0.6,TITAN,0.4,1,0,2,exactly two,TITAN+ProvGigaPath,2,union-positive and near-threshold,TRUE,TRUE,0.019668737060041,0.2
binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.00867848367848401,1
binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.036039627884499,1
binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,5,0,0.2,0.6,0.2,representation specific,FALSE,0.6,ProvGigaPath,0.4,1,0,2,none,None,0,near-threshold only,FALSE,TRUE,0.026358417865849,0.2
binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive,TRUE,FALSE,0.073329568981743,1
binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,5,0.8,0.2,0,0,all three,FALSE,0.8,TITAN+GigaSSL+ProvGigaPath,0.8,2.8,2,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.039004914004914,0.8
binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,5,0.8,0.2,0,0,all three,FALSE,0.8,TITAN+GigaSSL+ProvGigaPath,0.8,2.8,2,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.019546850998464,0.8
binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,5,0.2,0.8,0,0,exactly two,FALSE,0.8,TITAN+ProvGigaPath,0.8,2.2,2,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.029177718832891,0.2
binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,5,0,0.6,0.4,0,exactly two,FALSE,0.6,TITAN+GigaSSL,0.6,1.6,1,2,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.0268292682926831,0
binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,5,0.8,0.2,0,0,all three,FALSE,0.8,TITAN+GigaSSL+ProvGigaPath,0.8,2.8,2,3,representation specific,TITAN,1,union-positive and near-threshold,TRUE,TRUE,0.0125939849624059,0
binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,5,0.2,0.8,0,0,exactly two,FALSE,0.8,TITAN+ProvGigaPath,0.6,2.2,2,3,exactly two,TITAN+GigaSSL,2,union-positive and near-threshold,TRUE,TRUE,0.009457671957672,0.8
binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,5,0,1,0,0,exactly two,FALSE,1,GigaSSL+ProvGigaPath,1,2,2,2,exactly two,GigaSSL+ProvGigaPath,2,union-positive and near-threshold,TRUE,TRUE,0.017063492063492,1
binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.0119614512471661,1
binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,5,0.2,0.6,0,0.2,exactly two,FALSE,0.6,TITAN+ProvGigaPath,0.6,1.8,0,3,exactly two,TITAN+ProvGigaPath,2,union-positive and near-threshold,TRUE,TRUE,0.031746031746032,0.6
binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive,TRUE,FALSE,0.142509119332986,1
binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive,TRUE,FALSE,0.114413948807225,1
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ARID1A,TCGA_MC3_Bailey2018,5,0,0,0,1,none,FALSE,1,None,1,0,0,0,none,None,0,near-threshold only,FALSE,TRUE,0.045483088340231,1
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ATM,TCGA_MC3_Bailey2018,5,0,0,0.2,0.8,none,FALSE,0.8,None,0.8,0.2,0,1,representation specific,TITAN,1,union-positive and near-threshold,TRUE,TRUE,0.010078093826597,0.2
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,5,0,0,1,0,representation specific,FALSE,1,TITAN,1,1,1,1,representation specific,TITAN,1,union-positive and near-threshold,TRUE,TRUE,0.015393518518519,1
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CREBBP,TCGA_MC3_Bailey2018,5,0,0,0.2,0.8,none,FALSE,0.8,None,0.8,0.2,0,1,none,None,0,near-threshold only,FALSE,TRUE,0.0383060515873019,0.8
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB2,TCGA_MC3_Bailey2018,5,0,0.2,0.8,0,representation specific,FALSE,0.8,ProvGigaPath,0.8,1.2,1,2,representation specific,ProvGigaPath,1,union-positive,TRUE,FALSE,0.0566760998199131,0.8
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB3,TCGA_MC3_Bailey2018,5,0,0.2,0.2,0.6,none,FALSE,0.6,None,0.6,0.6,0,2,none,None,0,near-threshold only,FALSE,TRUE,0.0374273255813949,0.6
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERCC2,TCGA_MC3_Bailey2018,5,0,0.2,0.4,0.4,representation specific,TRUE,0.4,None,0.4,0.8,0,2,representation specific,TITAN,1,union-positive and near-threshold,TRUE,TRUE,0.00949652067130602,0.4
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FAT1,TCGA_MC3_Bailey2018,5,0,0.2,0.6,0.2,representation specific,FALSE,0.6,TITAN,0.4,1,0,2,none,None,0,near-threshold only,FALSE,TRUE,0.037869822485207,0.2
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FBXW7,TCGA_MC3_Bailey2018,5,0,0,0.2,0.8,none,FALSE,0.8,None,0.8,0.2,0,1,none,None,0,near-threshold only,FALSE,TRUE,0.027401129943503,0.8
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive,TRUE,FALSE,0.164478114478114,1
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KANSL1,TCGA_MC3_Bailey2018,5,0,0,0,1,none,FALSE,1,None,1,0,0,0,none,None,0,near-threshold only,FALSE,TRUE,0.010648148148148,1
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,NFE2L2,TCGA_MC3_Bailey2018,5,0,0.4,0.4,0.2,exactly two,TRUE,0.4,TITAN,0.4,1.2,0,2,representation specific,TITAN,1,union-positive and near-threshold,TRUE,TRUE,0.0359953703703699,0.4
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,PIK3CA,TCGA_MC3_Bailey2018,5,0,0.2,0.4,0.4,representation specific,TRUE,0.4,None,0.4,0.8,0,2,representation specific,TITAN,1,union-positive and near-threshold,TRUE,TRUE,0.0124131804231949,0.4
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RB1,TCGA_MC3_Bailey2018,5,0.4,0.6,0,0,exactly two,FALSE,0.6,TITAN+GigaSSL,0.6,2.4,2,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.00745275954719604,0.4
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RHOB,TCGA_MC3_Bailey2018,5,0,0,0,1,none,FALSE,1,None,1,0,0,0,none,None,0,near-threshold only,FALSE,TRUE,0.030208333333333,1
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RXRA,TCGA_MC3_Bailey2018,5,0,0,0.2,0.8,none,FALSE,0.8,None,0.8,0.2,0,1,none,None,0,near-threshold only,FALSE,TRUE,0.038803620621802,0.8
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,SF3B1,TCGA_MC3_Bailey2018,5,0,0,0.4,0.6,none,FALSE,0.6,None,0.6,0.4,0,1,none,None,0,near-threshold only,FALSE,TRUE,0.00369161225514802,0.6
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,SPTAN1,TCGA_MC3_Bailey2018,5,0,0,0,1,none,FALSE,1,None,1,0,0,0,none,None,0,near-threshold only,FALSE,TRUE,0.010422812192724,1
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,STAG2,TCGA_MC3_Bailey2018,5,0,1,0,0,exactly two,FALSE,1,GigaSSL+ProvGigaPath,1,2,2,2,exactly two,GigaSSL+ProvGigaPath,2,union-positive and near-threshold,TRUE,TRUE,0.0367211993387681,1
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,TP53,TCGA_MC3_Bailey2018,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.022436506858617,1
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ZFP36L1,TCGA_MC3_Bailey2018,5,0,0,0,1,none,FALSE,1,None,1,0,0,0,none,None,0,near-threshold only,FALSE,TRUE,0.019275766016713,1
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,EP300,TCGA_MC3_Bailey2018,5,0,0.6,0.4,0,exactly two,FALSE,0.6,TITAN,0.4,1.6,1,2,exactly two,TITAN+GigaSSL,2,union-positive and near-threshold,TRUE,TRUE,0.024132730015083,0.6
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2C,TCGA_MC3_Bailey2018,5,0,0,0.2,0.8,none,FALSE,0.8,None,0.8,0.2,0,1,none,None,0,near-threshold only,FALSE,TRUE,0.016458072590738,0.8
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2D,TCGA_MC3_Bailey2018,5,0,0,0.4,0.6,none,FALSE,0.6,None,0.6,0.4,0,1,representation specific,TITAN,1,union-positive and near-threshold,TRUE,TRUE,0.043068939955523,0.4
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,PIK3CA,TCGA_MC3_Bailey2018,5,0,0.2,0.6,0.2,representation specific,FALSE,0.6,GigaSSL,0.4,1,0,2,none,None,0,near-threshold only,FALSE,TRUE,0.019573796369376,0.2
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,TP53,TCGA_MC3_Bailey2018,5,0,0.2,0.8,0,representation specific,FALSE,0.8,TITAN,0.8,1.2,1,2,representation specific,TITAN,1,union-positive and near-threshold,TRUE,TRUE,0.033333333333333,0.8
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ACVR2A,TCGA_MC3_Bailey2018,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive and near-threshold,TRUE,TRUE,0.00519720353515407,1
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,AMER1,TCGA_MC3_Bailey2018,5,0.4,0.6,0,0,exactly two,FALSE,0.6,GigaSSL+ProvGigaPath,0.6,2.4,2,3,exactly two,TITAN+ProvGigaPath,2,union-positive and near-threshold,TRUE,TRUE,0.000313356835095924,0.6
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,APC,TCGA_MC3_Bailey2018,5,1,0,0,0,all three,FALSE,1,TITAN+GigaSSL+ProvGigaPath,1,3,3,3,all three,TITAN+GigaSSL+ProvGigaPath,3,union-positive,TRUE,FALSE,0.194574281325433,1
binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ARID1A,TCGA_MC3_Bailey2018,5,0.2,0,0.8,0,representation specific,FALSE,0.8,TITAN,0.8,1.4,1,3,exactly two,TITAN+ProvGigaPath,2,union-positive and near-threshold,TRUE,TRUE,0.00387085868830306,0
