outcome_type,family,subfamily,tumor_type,endpoint,source,foundation_model,selection_reason,primary_union_positive,primary_near_threshold,alternative_partitions,crossing_count,crossing_proportion,mean_effect,sd_effect,median_effect,min_effect,max_effect,mean_q2,mean_balanced_accuracy,mean_auc,mean_pr_auc,mean_ppv,mean_npv,mean_prevalence,selected_components_median,component_ceiling_fraction,primary_q2,primary_balanced_accuracy,primary_auc,primary_effect,primary_crossing_statistic,primary_crossing,primary_repeat_crossing_agreement_proportion
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,GigaSSL,union-positive,TRUE,FALSE,5,2,0.4,0.561481481481482,0.0565200232798083,0.561481481481482,0.487407407407407,0.619259259259259,,0.541481481481482,0.561481481481482,0.599035786506663,0.555600459482039,0.530060606060606,0.519230769230769,4,0,,0.596296296296296,0.668148148148148,0.668148148148148,0.668148148148148,TRUE,0.4
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,ProvGigaPath,union-positive,TRUE,FALSE,5,5,1,0.671111111111111,0.0357249053386296,0.684444444444444,0.625185185185185,0.703703703703704,,0.626962962962963,0.671111111111111,0.682443434349388,0.682399158102483,0.587642780565636,0.519230769230769,5,0,,0.620740740740741,0.714074074074074,0.714074074074074,0.714074074074074,TRUE,1
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,TITAN,union-positive,TRUE,FALSE,5,0,0,0.480296296296296,0.0530589650510713,0.485925925925926,0.398518518518519,0.546666666666667,,0.481481481481482,0.480296296296296,0.524330034466109,0.494648829431438,0.465626267748479,0.519230769230769,2,0,,0.52962962962963,0.531851851851852,0.531851851851852,0.531851851851852,FALSE,1
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,GigaSSL,union-positive,TRUE,FALSE,5,5,1,0.701055002370792,0.0164048313884839,0.70338430535799,0.682224988146041,0.721698672356567,,0.647842579421527,0.701055002370792,0.748091499696891,0.730178558980728,0.562809356011178,0.606382978723404,5,0,,0.670637743006164,0.715623518255097,0.715623518255097,0.715623518255097,TRUE,1
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,ProvGigaPath,union-positive,TRUE,FALSE,5,5,1,0.730488383119962,0.00986974696950579,0.727922000948317,0.721876481744903,0.746829065908013,,0.666488857278331,0.730488383119962,0.771601182646659,0.735650432617266,0.60105676000091,0.606382978723404,3,0,,0.662695590327169,0.746028923660503,0.746028923660503,0.746028923660503,TRUE,1
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,TITAN,union-positive,TRUE,FALSE,5,5,1,0.716506638217165,0.00560923726507884,0.715742057847321,0.710704125177809,0.725254860123281,,0.662944523470839,0.716506638217165,0.76168083725608,0.7330900400754,0.597464847351481,0.606382978723404,5,0,,0.662339971550498,0.726084637268848,0.726084637268848,0.726084637268848,TRUE,1
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,GigaSSL,union-positive and near-threshold,TRUE,TRUE,5,4,0.8,0.64272030651341,0.0418916203111558,0.661877394636015,0.590996168582375,0.690613026819923,,0.600369458128079,0.64272030651341,0.453767855902511,0.419809181349634,0.764207687473817,0.325581395348837,4,0,,0.642651888341544,0.676929392446634,0.676929392446634,0.676929392446634,TRUE,0.8
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,ProvGigaPath,union-positive and near-threshold,TRUE,TRUE,5,0,0,0.569157088122605,0.0135570223423545,0.563970990695129,0.554802955665025,0.583949096880131,,0.570402298850575,0.569157088122605,0.380031048117777,0.392286033454743,0.73738790075526,0.325581395348837,4,0.04,,0.56568144499179,0.600574712643678,0.600574712643678,0.600574712643678,TRUE,0
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,TITAN,union-positive and near-threshold,TRUE,TRUE,5,5,1,0.652422003284072,0.0197740590120464,0.659961685823755,0.621784345922277,0.669129720853859,,0.601190476190476,0.652422003284072,0.442487567309363,0.41445651905405,0.76482731164366,0.325581395348837,4,0,,0.613300492610837,0.619594964422551,0.619594964422551,0.619594964422551,TRUE,1
binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,GigaSSL,union-positive,TRUE,FALSE,5,5,1,0.750298021537691,0.0204027938442057,0.755672426746807,0.716178312046081,0.767367893814175,,0.676666666666667,0.750298021537691,0.673666679768544,0.570983032559194,0.770575706403208,0.405405405405405,4,0,,0.671900826446281,0.763461056849487,0.763461056849487,0.763461056849487,TRUE,1
binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,ProvGigaPath,union-positive,TRUE,FALSE,5,5,1,0.763405960430754,0.0112196818762187,0.760781367392938,0.751540195341848,0.777911344853494,,0.681432506887052,0.763405960430754,0.698681543170128,0.591490083902843,0.761551235510795,0.405405405405405,4,0,,0.697520661157025,0.76481342349111,0.76481342349111,0.76481342349111,TRUE,1
binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,TITAN,union-positive,TRUE,FALSE,5,5,1,0.741612822439269,0.00704917216562417,0.739418983220636,0.734310042574505,0.752592036063111,,0.682203856749311,0.741612822439269,0.660536662424201,0.596875243056037,0.757822932801937,0.405405405405405,7,0,,0.68305785123967,0.745679939894816,0.745679939894816,0.745679939894816,TRUE,1
binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,GigaSSL,near-threshold only,FALSE,TRUE,5,1,0.2,0.533975563909774,0.0560794279863183,0.52984022556391,0.458881578947368,0.602913533834586,,0.504323308270677,0.533975563909774,0.60480720004158,0.570589962336935,0.434824328261548,0.575757575757576,2,0.04,,0.537124060150376,0.544172932330827,0.544172932330827,0.544172932330827,FALSE,0.8
binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,ProvGigaPath,near-threshold only,FALSE,TRUE,5,2,0.4,0.60046992481203,0.032221819506542,0.594454887218045,0.565084586466166,0.634868421052632,,0.54765037593985,0.60046992481203,0.679633226014663,0.630372999511447,0.468177262577606,0.575757575757576,10,0.12,,0.524906015037594,0.581766917293233,0.581766917293233,0.581766917293233,FALSE,0.6
binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,TITAN,near-threshold only,FALSE,TRUE,5,0,0,0.500046992481203,0.0250085446348151,0.484962406015038,0.477678571428571,0.52890037593985,,0.510902255639098,0.500046992481203,0.607070157978441,0.590418959571502,0.432779457984937,0.575757575757576,4,0,,0.516917293233083,0.512922932330827,0.512922932330827,0.512922932330827,FALSE,1
binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,GigaSSL,union-positive and near-threshold,TRUE,TRUE,5,0,0,0.560427881297447,0.0288275627062205,0.560938578329883,0.53167701863354,0.595307108350587,,0.552857142857143,0.560427881297447,0.160904423018471,0.15715259309347,0.892178417332266,0.127423822714681,2,0.16,,0.556245686680469,0.580331262939959,0.580331262939959,0.580331262939959,FALSE,1
binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,ProvGigaPath,union-positive and near-threshold,TRUE,TRUE,5,2,0.4,0.600538302277433,0.0148292623022563,0.598067632850242,0.581021394064872,0.622429261559696,,0.588405797101449,0.600538302277433,0.173112384080616,0.169641369791295,0.910594910386266,0.127423822714681,2,0,,0.612905452035887,0.625327812284334,0.625327812284334,0.625327812284334,TRUE,0.4
binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,TITAN,union-positive and near-threshold,TRUE,TRUE,5,3,0.6,0.613071083505866,0.0235002365964474,0.60503795721187,0.590890269151139,0.648585231193927,,0.60031746031746,0.613071083505866,0.20038059896906,0.179341400320496,0.912530839091059,0.127423822714681,1,0,,0.580917874396135,0.673706004140787,0.673706004140787,0.673706004140787,TRUE,0.6
binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,GigaSSL,union-positive and near-threshold,TRUE,TRUE,5,5,1,0.650943313443313,0.00812609165259367,0.647793085293085,0.641497016497017,0.661855036855037,,0.608770621270621,0.650943313443313,0.550881732409699,0.513500711144487,0.696636051818852,0.404597701149425,4,0,,0.616575991575992,0.648034398034398,0.648034398034398,0.648034398034398,TRUE,1
binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,ProvGigaPath,union-positive and near-threshold,TRUE,TRUE,5,5,1,0.636227623727624,0.0163427868702848,0.633424008424009,0.617343804843805,0.662491224991225,,0.592482011232011,0.636227623727624,0.524867031549088,0.496848016865138,0.683604822184273,0.404597701149425,6,0,,0.569114162864163,0.608678483678484,0.608678483678484,0.608678483678484,TRUE,1
