"outcome_type","family","subfamily","tumor_type","endpoint","source","foundation_model","n","positive","negative","primary_effect","primary_operating_metric","alternative_partitions","repeat_effect_median","repeat_effect_q25","repeat_effect_q75","crossing_proportion","grouped_effect","matched_random_effect","grouped_minus_matched_effect","primary_best_foundation_model","primary_winner_repeat_proportion","modal_repeat_winner","modal_repeat_winner_proportion","sample_size_stratum","representation"
"binary","aneuploidy","aneuploidy","ACC","Genome doubling","Taylor2018_TableS2","GigaSSL",52,27,25,0.668148148148148,0.668148148148148,5,0.561481481481482,0.525925925925926,0.613333333333333,0.4,0.397037037037037,0.419259259259259,-0.0222222222222223,"ProvGigaPath",1,"ProvGigaPath",1,"smaller-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","BLCA","Genome doubling","Taylor2018_TableS2","GigaSSL",376,228,148,0.715623518255097,0.715623518255097,5,0.70338430535799,0.687114746325273,0.710852299668089,1,0.69576813655761,0.705251303935515,-0.00948316737790422,"ProvGigaPath",0.8,"ProvGigaPath",0.8,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","CESC","Genome doubling","Taylor2018_TableS2","GigaSSL",258,84,174,0.676929392446634,0.676929392446634,5,0.661877394636015,0.607074438970991,0.663040503557745,0.8,0.602695675971538,0.642515051997811,-0.0398193760262726,"GigaSSL",0.4,"TITAN",0.6,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","COAD","Genome doubling","Taylor2018_TableS2","GigaSSL",407,165,242,0.763461056849487,0.763461056849487,5,0.755672426746807,0.748635111445029,0.763636363636364,1,0.679864763335838,0.763886801903331,-0.0840220385674931,"ProvGigaPath",0.6,"ProvGigaPath",0.6,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","ESCA","Genome doubling","Taylor2018_TableS2","GigaSSL",132,76,56,0.544172932330827,0.544172932330827,5,0.52984022556391,0.506578947368421,0.571663533834586,0.2,,,,"ProvGigaPath",1,"ProvGigaPath",1,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","GBM","Genome doubling","Taylor2018_TableS2","GigaSSL",361,46,315,0.580331262939959,0.580331262939959,5,0.560938578329883,0.532022084195997,0.582194616977226,0,0.520013802622498,0.585714285714286,-0.0657004830917875,"TITAN",0.8,"TITAN",0.8,"smaller-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","HNSC","Genome doubling","Taylor2018_TableS2","GigaSSL",435,176,259,0.648034398034398,0.648034398034398,5,0.647793085293085,0.647069147069147,0.656502281502282,1,0.601263601263601,0.605453667953668,-0.00419006669006672,"GigaSSL",0,"TITAN",1,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","KIRC","Genome doubling","Taylor2018_TableS2","GigaSSL",461,89,372,0.641234746888969,0.641234746888969,5,0.651534372357134,0.63374411018485,0.654645402923765,1,0.573154524586203,0.587743143651081,-0.0145886190648785,"TITAN",0.2,"GigaSSL",0.6,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","LGG","Genome doubling","Taylor2018_TableS2","GigaSSL",481,157,324,0.567154203035307,0.567154203035307,5,0.587972792325234,0.578733191790517,0.600849256900212,0.4,,,,"TITAN",0.2,"ProvGigaPath",0.6,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","LIHC","Genome doubling","Taylor2018_TableS2","GigaSSL",346,115,231,0.679126670431018,0.679126670431018,5,0.669941652550348,0.665650291737248,0.677131564088086,1,0.628834933182759,0.613099943534726,0.0157349896480331,"ProvGigaPath",1,"ProvGigaPath",1,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","LUAD","Genome doubling","Taylor2018_TableS2","GigaSSL",449,264,185,0.639004914004914,0.639004914004914,5,0.639291564291564,0.632657657657658,0.65485257985258,0.8,0.610462735462735,0.607493857493858,0.0029688779688779,"TITAN",1,"TITAN",1,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","LUSC","Genome doubling","Taylor2018_TableS2","GigaSSL",458,248,210,0.63097158218126,0.63097158218126,5,0.660061443932412,0.64702380952381,0.669028417818741,1,0.655337941628264,0.62955069124424,0.0257872503840245,"TITAN",1,"TITAN",1,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","OV","Genome doubling","Taylor2018_TableS2","GigaSSL",94,65,29,0.639257294429708,0.639257294429708,5,0.56551724137931,0.548541114058356,0.593103448275862,0.2,0.591511936339523,0.552254641909814,0.0392572944297083,"TITAN",0.8,"TITAN",0.8,"smaller-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","PAAD","Genome doubling","Taylor2018_TableS2","GigaSSL",163,40,123,0.670121951219512,0.670121951219512,5,0.643089430894309,0.609959349593496,0.649186991869919,0.8,0.608130081300813,0.60650406504065,0.00162601626016268,"GigaSSL",0.6,"GigaSSL",0.6,"smaller-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","PCPG","Genome doubling","Taylor2018_TableS2","GigaSSL",157,24,133,0.530388471177945,0.530388471177945,5,0.667293233082707,0.655075187969925,0.697055137844612,0.8,0.49780701754386,0.652255639097744,-0.154448621553885,"TITAN",0.6,"TITAN",0.6,"smaller-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","PRAD","Genome doubling","Taylor2018_TableS2","GigaSSL",352,28,324,0.62907848324515,0.62907848324515,5,0.589616402116402,0.586970899470899,0.610119047619048,0.4,0.534611992945326,0.629519400352734,-0.0949074074074074,"GigaSSL",0,"TITAN",0.8,"smaller-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","READ","Genome doubling","Taylor2018_TableS2","GigaSSL",142,72,70,0.70218253968254,0.70218253968254,5,0.687896825396825,0.667063492063492,0.693849206349206,1,0.551984126984127,0.70952380952381,-0.157539682539683,"GigaSSL",1,"GigaSSL",1,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","SARC","Genome doubling","Taylor2018_TableS2","GigaSSL",238,112,126,0.727820294784581,0.727820294784581,5,0.728316326530612,0.714781746031746,0.728458049886621,1,0.707482993197279,0.739512471655329,-0.0320294784580499,"GigaSSL",0.6,"GigaSSL",0.6,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","SKCM","Genome doubling","Taylor2018_TableS2","GigaSSL",98,35,63,0.568253968253968,0.568253968253968,5,0.594104308390023,0.541496598639456,0.598185941043084,0.2,0.53968253968254,0.559183673469388,-0.0195011337868481,"TITAN",0.6,"TITAN",0.6,"smaller-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","STAD","Genome doubling","Taylor2018_TableS2","GigaSSL",354,152,202,0.742509119332986,0.742509119332986,5,0.73951276706618,0.724498436685774,0.743388483585201,1,0.65431214174049,0.747003647733194,-0.0926915059927046,"ProvGigaPath",0.2,"TITAN",0.8,"larger-sample","Giga-SSL"
"binary","aneuploidy","aneuploidy","UCEC","Genome doubling","Taylor2018_TableS2","GigaSSL",476,97,379,0.761227320947692,0.761227320947692,5,0.742567255120638,0.726491309196747,0.765361912792754,1,0.713897124826592,0.736066153469521,-0.022169028642929,"TITAN",1,"TITAN",1,"larger-sample","Giga-SSL"
