outcome_type,family,subfamily,tumor_type,endpoint,source,mean_effect,sd_effect,mean_rank_within_outcome_repeat,median_rank_within_outcome_repeat,winner_proportion,foundation_model
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,0.480296296296296,0.0530589650510713,336.4,346,0,TITAN
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,0.716506638217165,0.00560923726507884,69,69,0.2,TITAN
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,0.652422003284072,0.0197740590120464,153.4,147,0.6,TITAN
binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,0.741612822439269,0.00704917216562417,54.6,54,0,TITAN
binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,0.500046992481203,0.0250085446348151,332.4,338,0,TITAN
binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,0.613071083505866,0.0235002365964474,208,226,0.8,TITAN
binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,0.67039312039312,0.017351882330752,125.2,127,1,TITAN
binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,0.639029841730095,0.0169137611224597,172.2,177,0.2,TITAN
binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,0.579515609027286,0.0155623820111159,254.8,246,0.2,TITAN
binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,0.647242612460004,0.0178527722771031,159.4,153,0,TITAN
binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,0.722850122850123,0.00794125985328939,65.8,64,1,TITAN
binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,0.686286482334869,0.0144553974764508,101.8,105,1,TITAN
binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,0.755755968169761,0.047557248062997,55,41,0.8,TITAN
binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,0.618048780487805,0.025270530448881,202.6,188,0.4,TITAN
binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,0.697117794486216,0.0282019276969605,93.2,98,0.6,TITAN
binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,0.633730158730159,0.0314460190904255,181,200,0.8,TITAN
binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,0.569761904761905,0.0243428204773635,266.4,271,0,TITAN
binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,0.715376984126984,0.0251924278026613,78.2,82,0.4,TITAN
binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,0.611791383219955,0.0717363702568828,203,178,0.6,TITAN
binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,0.779344710786868,0.00803383380986656,35.6,36,0.8,TITAN
binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,0.85020808965536,0.00978401456366594,16,15,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ARID1A,TCGA_MC3_Bailey2018,0.549215070643642,0.0227663148291695,289.8,299,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ATM,TCGA_MC3_Bailey2018,0.573117482756655,0.0348041475632285,263.8,275,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,0.656921296296296,0.023558486880487,146.2,158,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CREBBP,TCGA_MC3_Bailey2018,0.499776785714286,0.0317837506209233,333.2,331,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB2,TCGA_MC3_Bailey2018,0.493311036789298,0.0490056150015733,329.4,337,0,TITAN
