foundation_model,outcome_type,family,endpoint,source,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
GigaSSL,binary,aneuploidy,Genome doubling,Taylor2018_TableS2,21,16,76.1904761904762,ACC;BLCA;CESC;COAD;HNSC;KIRC;LIHC;LUAD;LUSC;OV;PAAD;PRAD;READ;SARC;STAD;UCEC
ProvGigaPath,binary,aneuploidy,Genome doubling,Taylor2018_TableS2,21,17,80.952380952381,ACC;BLCA;CESC;COAD;GBM;HNSC;KIRC;LIHC;LUAD;LUSC;OV;PAAD;READ;SARC;SKCM;STAD;UCEC
TITAN,binary,aneuploidy,Genome doubling,Taylor2018_TableS2,21,17,80.952380952381,BLCA;CESC;COAD;GBM;HNSC;KIRC;LIHC;LUAD;LUSC;OV;PAAD;PCPG;PRAD;SARC;SKCM;STAD;UCEC
GigaSSL,binary,driver_mutation,ACVR1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ACVR1,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ACVR1,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,ACVR2A,TCGA_MC3_Bailey2018,1,1,100,COAD
ProvGigaPath,binary,driver_mutation,ACVR2A,TCGA_MC3_Bailey2018,1,1,100,COAD
TITAN,binary,driver_mutation,ACVR2A,TCGA_MC3_Bailey2018,1,1,100,COAD
GigaSSL,binary,driver_mutation,AJUBA,TCGA_MC3_Bailey2018,1,1,100,HNSC
ProvGigaPath,binary,driver_mutation,AJUBA,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,AJUBA,TCGA_MC3_Bailey2018,1,1,100,HNSC
GigaSSL,binary,driver_mutation,ALB,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ALB,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ALB,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,AMER1,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,AMER1,TCGA_MC3_Bailey2018,1,1,100,COAD
TITAN,binary,driver_mutation,AMER1,TCGA_MC3_Bailey2018,1,1,100,COAD
GigaSSL,binary,driver_mutation,APC,TCGA_MC3_Bailey2018,3,2,66.6666666666667,COAD;READ
ProvGigaPath,binary,driver_mutation,APC,TCGA_MC3_Bailey2018,3,2,66.6666666666667,COAD;READ
TITAN,binary,driver_mutation,APC,TCGA_MC3_Bailey2018,3,3,100,COAD;READ;STAD
GigaSSL,binary,driver_mutation,APOB,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,APOB,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,APOB,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,ARHGAP35,TCGA_MC3_Bailey2018,2,1,50,UCEC
ProvGigaPath,binary,driver_mutation,ARHGAP35,TCGA_MC3_Bailey2018,2,1,50,LUSC
TITAN,binary,driver_mutation,ARHGAP35,TCGA_MC3_Bailey2018,2,1,50,LUSC
GigaSSL,binary,driver_mutation,ARID1A,TCGA_MC3_Bailey2018,7,3,42.8571428571429,LIHC;STAD;UCEC
ProvGigaPath,binary,driver_mutation,ARID1A,TCGA_MC3_Bailey2018,7,3,42.8571428571429,COAD;STAD;UCEC
TITAN,binary,driver_mutation,ARID1A,TCGA_MC3_Bailey2018,7,3,42.8571428571429,COAD;STAD;UCEC
GigaSSL,binary,driver_mutation,ARID2,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ARID2,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ARID2,TCGA_MC3_Bailey2018,1,1,100,STAD
GigaSSL,binary,driver_mutation,ARID5B,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ARID5B,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ARID5B,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,ASXL2,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ASXL2,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ASXL2,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,ATF7IP,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ATF7IP,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,ATF7IP,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,ATM,TCGA_MC3_Bailey2018,3,1,33.3333333333333,UCEC
ProvGigaPath,binary,driver_mutation,ATM,TCGA_MC3_Bailey2018,3,1,33.3333333333333,UCEC
TITAN,binary,driver_mutation,ATM,TCGA_MC3_Bailey2018,3,2,66.6666666666667,BLCA;UCEC
GigaSSL,binary,driver_mutation,ATR,TCGA_MC3_Bailey2018,1,1,100,UCEC
ProvGigaPath,binary,driver_mutation,ATR,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,ATR,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,ATRX,TCGA_MC3_Bailey2018,2,1,50,LGG
ProvGigaPath,binary,driver_mutation,ATRX,TCGA_MC3_Bailey2018,2,1,50,LGG
