foundation_model,family,tumor_type,endpoint,outcome_type,subfamily,source,n,positive,negative,q2,rmse,spearman,balanced_accuracy,auc,pr_auc,sensitivity,specificity,ppv,npv,prevalence,no_skill_pr_auc,operating_threshold_median,selected_components_median,selected_components_min,selected_components_max,selected_components_at_ceiling,selected_components_outer_fits,selected_components_ceiling_fraction,numerical_failure_or_fallback,seed,common_cohort,fastPLS_version,fastPLS_remote_sha,recomputed_primary_balanced_accuracy,primary_sensitivity,primary_specificity,primary_auc,primary_pr_auc,equal_prior_balanced_accuracy,equal_prior_sensitivity,equal_prior_specificity,equal_prior_auc,equal_prior_pr_auc,optimized_balanced_accuracy,optimized_sensitivity,optimized_specificity,optimized_auc,optimized_pr_auc,recomputed_primary_crossing,equal_prior_crossing,optimized_crossing,median_primary_component,median_equal_component,median_optimized_component,median_optimized_threshold,primary_components_at_ceiling,equal_components_at_ceiling,optimized_components_at_ceiling,equal_prior_delta_ba,optimized_delta_ba,optimized_membership_change,equal_prior_membership_change,fastPLS_version_current,fastPLS_remote_sha_current,primary_binary_decision_rule,decision_rule_sensitivity_scope,decision_rule_sensitivity_status,primary_binary_tuning_objective,primary_binary_metric,binary_crossing_rule,binary_operating_threshold_rule,effect_threshold_crossing,standard_evidence,evidence_maturity
GigaSSL,aneuploidy,ACC,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,52,27,25,,,,0.596296296296296,0.668148148148148,0.706748235346104,0.592592592592593,0.6,0.615384615384615,0.576923076923077,0.519230769230769,0.519230769230769,0.698519346166394,4,3,5,0,5,0,FALSE,20260816,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.596296296296296,0.592592592592593,0.6,0.659259259259259,0.671640626338824,0.596296296296296,0.592592592592593,0.6,0.659259259259259,0.671640626338824,0.594814814814815,0.62962962962963,0.56,0.617777777777778,0.616843233090119,FALSE,FALSE,FALSE,4,4,4,0.698519346166394,0,0,0,0,-0.00148148148148142,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,FALSE,limited_evidence
GigaSSL,aneuploidy,BLCA,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,376,228,148,,,,0.670637743006164,0.715623518255097,0.743198518775531,0.706140350877193,0.635135135135135,0.748837209302326,0.583850931677019,0.606382978723404,0.606382978723404,0.240066505117058,3,3,8,0,5,0,FALSE,20260817,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.64307728781413,0.745614035087719,0.540540540540541,0.713460170697013,0.745834299999774,0.647166903745851,0.692982456140351,0.601351351351351,0.695442152678995,0.732094971094336,0.626185395922238,0.745614035087719,0.506756756756757,0.696597913703177,0.738430547036123,TRUE,TRUE,TRUE,6,7,6,0.0494396560721384,0,0,0,0.00408961593172119,-0.0168918918918919,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,CESC,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,258,84,174,,,,0.642651888341544,0.676929392446634,0.486643303685734,0.773809523809524,0.511494252873563,0.433333333333333,0.824074074074074,0.325581395348837,0.325581395348837,-1.37920145206319,3,2,3,0,5,0,FALSE,20260818,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.59072249589491,0.428571428571429,0.752873563218391,0.661261631089217,0.448239604538933,0.589901477832512,0.547619047619048,0.632183908045977,0.646688560481664,0.454437187215016,0.624178981937603,0.702380952380952,0.545977011494253,0.65736179529283,0.461233720655149,FALSE,FALSE,TRUE,4,4,4,-0.867439556208065,0,0,0,-0.000821018062397316,0.033456486042693,TRUE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,COAD,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,407,165,242,,,,0.671900826446281,0.763461056849487,0.675578194747776,0.690909090909091,0.652892561983471,0.575757575757576,0.755980861244019,0.405405405405405,0.405405405405405,-0.330423899423872,4,4,4,0,5,0,FALSE,20260819,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.664325068870523,0.539393939393939,0.789256198347108,0.751314800901578,0.664615507065985,0.662396694214876,0.618181818181818,0.706611570247934,0.739944903581267,0.656357020664452,0.670798898071625,0.696969696969697,0.644628099173554,0.759178562484348,0.672405283161618,TRUE,TRUE,TRUE,5,2,4,-0.487543928283052,0,0,0,-0.00192837465564744,0.00647382920110184,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,ESCA,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,132,76,56,,,,0.537124060150376,0.544172932330827,0.619406810861516,0.592105263157895,0.482142857142857,0.608108108108108,0.46551724137931,0.575757575757576,0.575757575757576,0.278969344719954,2,1,3,0,5,0,FALSE,20260820,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.487312030075188,0.671052631578947,0.303571428571429,0.544172932330827,0.619406810861516,0.491071428571429,0.5,0.482142857142857,0.472509398496241,0.5805706910461,0.543703007518797,0.605263157894737,0.482142857142857,0.558505639097744,0.642319964748426,FALSE,FALSE,FALSE,2,2,1,0.278969344719954,0,0,0,0.00375939849624063,0.056390977443609,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,FALSE,TRUE,standard_evidence
GigaSSL,aneuploidy,GBM,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,361,46,315,,,,0.556245686680469,0.580331262939959,0.160002725597754,0.652173913043478,0.46031746031746,0.15,0.900621118012422,0.127423822714681,0.127423822714681,-2.92638640729094,2,2,6,0,5,0,FALSE,20260821,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.554485852311939,0.239130434782609,0.86984126984127,0.589371980676329,0.181689122411254,0.543995859213251,0.326086956521739,0.761904761904762,0.594616977225673,0.187956214794385,0.586645962732919,0.630434782608696,0.542857142857143,0.588750862663906,0.170685727490318,FALSE,FALSE,FALSE,19,2,3,-2.92638640729094,2,0,1,-0.0104899930986887,0.03216011042098,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,FALSE,FALSE,limited_evidence
GigaSSL,aneuploidy,HNSC,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,435,176,259,,,,0.616575991575992,0.648034398034398,0.552361469954749,0.522727272727273,0.71042471042471,0.550898203592814,0.686567164179104,0.404597701149425,0.404597701149425,-0.126510898182629,5,2,8,0,5,0,FALSE,20260822,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.62145709020709,0.517045454545455,0.725868725868726,0.65713846963847,0.562460222153112,0.620908652158652,0.573863636363636,0.667953667953668,0.65448402948403,0.550023110052778,0.623387592137592,0.517045454545455,0.72972972972973,0.65713846963847,0.562460222153112,TRUE,TRUE,TRUE,6,8,6,-0.0928700789318309,0,0,0,-0.00054843804843796,0.00193050193050204,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,KIRC,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,461,89,372,,,,0.624093874592244,0.641234746888969,0.281140337872475,0.707865168539326,0.540322580645161,0.269230769230769,0.885462555066079,0.193058568329718,0.193058568329718,-1.86189728818173,5,1,5,0,5,0,FALSE,20260823,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.545396882928597,0.235955056179775,0.854838709677419,0.63289839313761,0.275630269392947,0.63560166727075,0.617977528089888,0.653225806451613,0.652833152108252,0.274086097738,0.64205025975595,0.730337078651685,0.553763440860215,0.657726229310137,0.28676301106621,FALSE,TRUE,TRUE,12,1,1,-1.86189728818173,0,0,0,0.090204784342153,0.0966533768273529,TRUE,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
GigaSSL,aneuploidy,LGG,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,481,157,324,,,,0.546610835888968,0.567154203035307,0.401105458925254,0.420382165605096,0.67283950617284,0.383720930232558,0.705501618122977,0.326403326403326,0.326403326403326,-0.588768326008841,6,4,8,0,5,0,FALSE,20260824,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.565689628056932,0.356687898089172,0.774691358024691,0.552528111976095,0.384161343198675,0.541027758119053,0.45859872611465,0.623456790123457,0.549697255642054,0.375360825131281,0.535120311394197,0.375796178343949,0.694444444444445,0.558897538727687,0.390703254052784,FALSE,FALSE,FALSE,9,8,6,-0.321027620005799,0,0,0,-0.0246618699378784,-0.030569316662735,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,FALSE,TRUE,standard_evidence
GigaSSL,aneuploidy,LIHC,Genome doubling,binary,aneuploidy,Taylor2018_TableS2,346,115,231,,,,0.624562394127612,0.679126670431018,0.509866212706832,0.547826086956522,0.701298701298701,0.477272727272727,0.757009345794393,0.332369942196532,0.332369942196532,-0.899358911102297,3,3,7,0,5,0,FALSE,20260825,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,0.606964050442311,0.417391304347826,0.796536796536797,0.69922830792396,0.545143113381481,0.585469602860907,0.486956521739131,0.683982683982684,0.636024844720497,0.491836149621358,0.615904385469603,0.547826086956522,0.683982683982684,0.668774703557312,0.507240077154549,TRUE,FALSE,TRUE,5,5,4,-0.899358911102297,0,0,0,-0.0214944475814041,0.00894033502729164,FALSE,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48,PLS component selected by inner AUROC; binary operating threshold selected inside the outer training data,"empirical-prior, equal-prior and training-only threshold calls compared on identical AUROC-selected components and outer scores",reported as secondary operating-point sensitivity,pooled inner out-of-fold AUROC,outer out-of-fold AUROC,AUROC >= 0.60,balanced-accuracy optimum learned from pooled inner out-of-fold training scores; applied unchanged to the outer test fold,TRUE,TRUE,standard_evidence
