foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n_primary,positive_primary,negative_primary,metric_primary,screen_positive_primary,n_exact,positive_exact,negative_exact,metric_exact,screen_positive_exact,delta_exact_minus_primary,threshold_change
GigaSSL,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,0.668148148148148,TRUE,52,27,25,0.687407407407407,TRUE,0.019259259259259,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,0.715623518255097,TRUE,376,228,148,0.715623518255097,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,0.676929392446634,TRUE,258,84,174,0.676929392446634,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,0.763461056849487,TRUE,407,165,242,0.763461056849487,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,132,76,56,0.544172932330827,FALSE,132,76,56,0.544172932330827,FALSE,0,retained negative
GigaSSL,binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,0.580331262939959,FALSE,361,46,315,0.580331262939959,FALSE,0,retained negative
GigaSSL,binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,0.648034398034398,TRUE,435,176,259,0.648034398034398,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,0.641234746888969,TRUE,461,89,372,0.641234746888969,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,481,157,324,0.567154203035307,FALSE,481,157,324,0.567154203035307,FALSE,0,retained negative
GigaSSL,binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,346,115,231,0.679126670431018,TRUE,346,115,231,0.686316581968756,TRUE,0.00718991153773796,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,449,264,185,0.639004914004914,TRUE,449,264,185,0.639004914004914,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,458,248,210,0.63097158218126,TRUE,458,248,210,0.63097158218126,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,94,65,29,0.639257294429708,TRUE,94,65,29,0.639257294429708,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,163,40,123,0.670121951219512,TRUE,163,40,123,0.670121951219512,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,157,24,133,0.530388471177945,FALSE,157,24,133,0.530388471177945,FALSE,0,retained negative
GigaSSL,binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,352,28,324,0.62907848324515,TRUE,352,28,324,0.62907848324515,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,142,72,70,0.70218253968254,TRUE,142,72,70,0.70218253968254,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,238,112,126,0.727820294784581,TRUE,238,112,126,0.727820294784581,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,98,35,63,0.568253968253968,FALSE,98,35,63,0.568253968253968,FALSE,0,retained negative
GigaSSL,binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,354,152,202,0.742509119332986,TRUE,354,152,202,0.742509119332986,TRUE,0,retained positive
GigaSSL,binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,476,97,379,0.761227320947692,TRUE,476,97,379,0.761227320947692,TRUE,0,retained positive
