foundation_model,outcome_type,family,eligible_tasks,effect_threshold_crossings,crossing_percent,median_effect
GigaSSL,binary,aneuploidy,21,16,76.1904761904762,0.648034398034398
GigaSSL,binary,driver_mutation,217,81,37.3271889400922,0.575719822812846
GigaSSL,binary,fusion,26,11,42.3076923076923,0.547005989266115
GigaSSL,binary,microsatellite_instability,3,3,100,0.777364850265762
GigaSSL,binary,microsatellite_instability_sensitivity,3,2,66.6666666666667,0.793639363936394
GigaSSL,binary,oncogenic_pathway,156,53,33.974358974359,0.566139026956533
GigaSSL,continuous,aneuploidy,84,3,3.57142857142857,0.0123531075549162
GigaSSL,continuous,fusion,28,0,0,-0.0260352373843086
GigaSSL,continuous,microsatellite_instability,56,1,1.78571428571429,-0.0503551848435642
GigaSSL,continuous,rna_pathway_activity,1456,249,17.1016483516484,0.0569006290765193
GigaSSL,continuous,thorsson,1339,109,8.14040328603435,-0.0208753974573361
ProvGigaPath,binary,aneuploidy,21,17,80.952380952381,0.626829268292683
ProvGigaPath,binary,driver_mutation,217,88,40.5529953917051,0.583819849874896
ProvGigaPath,binary,fusion,26,10,38.4615384615385,0.567260578951676
ProvGigaPath,binary,microsatellite_instability,3,3,100,0.809219631640583
ProvGigaPath,binary,microsatellite_instability_sensitivity,3,3,100,0.7995799579958
ProvGigaPath,binary,oncogenic_pathway,156,55,35.2564102564103,0.57062088492287
ProvGigaPath,continuous,aneuploidy,84,5,5.95238095238095,-0.00769450100849523
ProvGigaPath,continuous,fusion,28,0,0,-0.0714495623592586
ProvGigaPath,continuous,microsatellite_instability,56,3,5.35714285714286,-0.0641076390126724
ProvGigaPath,continuous,rna_pathway_activity,1456,305,20.9478021978022,0.0684877716831941
ProvGigaPath,continuous,thorsson,1339,128,9.55937266616878,-0.0249804897617776
TITAN,binary,aneuploidy,21,17,80.952380952381,0.653968253968254
TITAN,binary,driver_mutation,217,125,57.6036866359447,0.620450125034732
TITAN,binary,fusion,26,12,46.1538461538462,0.578152382230666
TITAN,binary,microsatellite_instability,3,3,100,0.841018106391254
TITAN,binary,microsatellite_instability_sensitivity,3,3,100,0.876147614761476
TITAN,binary,oncogenic_pathway,156,70,44.8717948717949,0.581596150594005
TITAN,continuous,aneuploidy,84,6,7.14285714285714,0.0331521651525972
TITAN,continuous,fusion,28,2,7.14285714285714,-0.0026905670483375
TITAN,continuous,microsatellite_instability,56,2,3.57142857142857,-0.042196301076758
TITAN,continuous,rna_pathway_activity,1456,447,30.7005494505495,0.114563892355036
TITAN,continuous,thorsson,1339,186,13.8909634055265,0.0106273037126084
