stability_job_id,stability_repeat,seed,fold_assignment_sha256,outer_fold_n,outer_fold_positive,outer_fold_negative,identical_across_representations
1,1,20770816,6ec7719710175f77ef7340e2e3ebd722ece434f5aa3923b93e7ee23f6c5f7f55,11;11;10;10;10,6;6;5;5;5,5;5;5;5;5,TRUE
1,2,20780816,6df2dc71d88cbfc83fca672bc1e04b3fa68fb0b910c082de4d14148f10549cd8,11;11;10;10;10,6;6;5;5;5,5;5;5;5;5,TRUE
1,3,20790816,a2bcac6a9766df32577ec76a15553423b8693d5dee53fa9031be2491671c07ff,11;11;10;10;10,6;6;5;5;5,5;5;5;5;5,TRUE
1,4,20800816,16f39ce9db5799b443bb2eeff9ddcb7fd0546aaa742e63af06f9848e20e6cc86,11;11;10;10;10,6;6;5;5;5,5;5;5;5;5,TRUE
1,5,20810816,8f9097960cc55aae9d26548708394b0d134c66b0bb47c8774f526ca1ab442eec,11;11;10;10;10,6;6;5;5;5,5;5;5;5;5,TRUE
2,1,20770817,000ceba8e0e6247a1af1882014fbdd649213c54106c431400a91dcd740782955,76;76;76;74;74,46;46;46;45;45,30;30;30;29;29,TRUE
2,2,20780817,41392f7d53327707d3dae96502819e7dbcd5c415701fef249e64d7e578433c4f,76;76;76;74;74,46;46;46;45;45,30;30;30;29;29,TRUE
2,3,20790817,3827faacba84aea085ee2762864d316bd47536de603f4a07d8c4ac27779030a3,76;76;76;74;74,46;46;46;45;45,30;30;30;29;29,TRUE
2,4,20800817,15225ff2709422d1be1b416b19aeca472adc42cb3f55c807df6adb35cd57b261,76;76;76;74;74,46;46;46;45;45,30;30;30;29;29,TRUE
2,5,20810817,a2347a9a6f1999bab471aa6fb78e123f0d3487e3af30998bf23f9bd199259c23,76;76;76;74;74,46;46;46;45;45,30;30;30;29;29,TRUE
3,1,20770818,5b5f2b52f9588fa9f5851a390253b66b2fd1a4501242293a240aab91f107c4a7,52;52;52;52;50,17;17;17;17;16,35;35;35;35;34,TRUE
3,2,20780818,47baa7917a5a76f102191d18f2528ad413c0a5a181f27542b1b25dc7e7afe78f,52;52;52;52;50,17;17;17;17;16,35;35;35;35;34,TRUE
3,3,20790818,97695a50914ea1214f0b8d63639d87c44ca84a9f3bc71af4c4aae513386e41cc,52;52;52;52;50,17;17;17;17;16,35;35;35;35;34,TRUE
