foundation_model,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv,npv,prevalence,no_skill_pr_auc,crossing,selected_components_median,selected_components_min,selected_components_max,selected_components_ceiling_fraction,stability_job_id,stability_repeat,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,effect,primary_union_positive,primary_near_threshold,selection_reason,fastPLS_version,fastPLS_remote_sha
GigaSSL,,,,0.62962962962963,0.48,0.554814814814815,0.613333333333333,0.611259380897436,0.566666666666667,0.545454545454545,0.519230769230769,0.519230769230769,TRUE,3,1,4,0,1,1,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20770816,0.613333333333333,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.481481481481482,0.84,0.660740740740741,0.703703703703704,0.678668760647674,0.764705882352941,0.6,0.519230769230769,0.519230769230769,TRUE,5,4,9,0,1,1,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20770816,0.703703703703704,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.333333333333333,0.64,0.486666666666667,0.491851851851852,0.526274914796749,0.5,0.470588235294118,0.519230769230769,0.519230769230769,FALSE,2,2,13,0,1,1,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20770816,0.491851851851852,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.555555555555556,0.48,0.517777777777778,0.487407407407407,0.551979059112468,0.535714285714286,0.5,0.519230769230769,0.519230769230769,FALSE,5,1,19,0,1,2,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20780816,0.487407407407407,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.555555555555556,0.68,0.617777777777778,0.684444444444444,0.699295466467138,0.652173913043478,0.586206896551724,0.519230769230769,0.519230769230769,TRUE,5,3,19,0,1,2,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20780816,0.684444444444444,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.37037037037037,0.6,0.485185185185185,0.478518518518519,0.542727672186607,0.5,0.46875,0.519230769230769,0.519230769230769,FALSE,3,1,11,0,1,2,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20780816,0.478518518518519,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.555555555555556,0.52,0.537777777777778,0.561481481481482,0.637915273275882,0.555555555555556,0.52,0.519230769230769,0.519230769230769,FALSE,4,1,6,0,1,3,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20790816,0.561481481481482,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.481481481481482,0.8,0.640740740740741,0.625185185185185,0.641586680201618,0.722222222222222,0.588235294117647,0.519230769230769,0.519230769230769,TRUE,4,2,13,0,1,3,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20790816,0.625185185185185,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.37037037037037,0.48,0.425185185185185,0.398518518518519,0.459314286051406,0.434782608695652,0.413793103448276,0.519230769230769,0.519230769230769,FALSE,2,1,11,0,1,3,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20790816,0.398518518518519,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.37037037037037,0.64,0.505185185185185,0.525925925925926,0.528779746162042,0.526315789473684,0.484848484848485,0.519230769230769,0.519230769230769,FALSE,4,1,11,0,1,4,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20800816,0.525925925925926,TRUE,FALSE,union-positive,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
