outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,supported_by_n,primary_consensus_class,grouped_evaluable_representations,primary_crossings_evaluable,primary_crossings_retained,grouped_crossings_n,complete_primary_retention,any_primary_retention,median_grouped_minus_matched_effect,sample_size_maturity,tss_retention_class,internal_robustness_class,grouped_job_id,n_codes,requested_outer_folds,realized_outer_folds,outer_test_n_min,outer_test_n_max,outer_training_n_min,outer_test_codes_min,outer_training_codes_min,outer_test_positive_min,outer_test_negative_min,outer_training_positive_min,outer_training_negative_min,single_class_outer_test_folds,any_single_class_outer_test_fold,inner_folds_realized_min,inner_folds_realized_max,inner_validation_n_min,inner_training_n_min,inner_validation_codes_min,inner_training_codes_min,inner_validation_positive_min,inner_validation_negative_min,inner_training_positive_min,inner_training_negative_min,single_class_inner_validation_folds,any_single_class_inner_validation_fold,grouped_fold_adequacy_flag,any_single_class_inner_training_fold,grouped_fold_adequacy_reasons,adequacy_flag_definition,metric_construction,deprecated_r1_r4_uses_flagged_grouped_result
binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,2,exactly two,3,2,0,0,FALSE,FALSE,-0.0577777777777778,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,1,4,5,4,1,46,6,1,3,0,1,1,5,2,TRUE,3,3,1,2,1,2,0,1,0,2,6,TRUE,sparse grouped folds,TRUE,fewer_than_five_outer_folds;outer_test_n_below_10;single_class_outer_test_fold;outer_training_minority_below_20;single_class_inner_validation_fold;single_class_inner_training_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,3,all three,3,3,3,3,TRUE,TRUE,-0.00948316737790422,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",2,33,5,5,45,98,278,6,25,29,16,171,107,0,FALSE,5,5,25,189,4,19,15,6,112,72,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,3,all three,3,3,2,2,FALSE,TRUE,-0.0398193760262726,TRUE,partial retention,R3: mature with partial or single-representation retention,3,28,5,5,30,79,179,5,21,9,17,57,122,0,FALSE,5,5,7,86,3,16,1,4,22,64,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,3,all three,3,3,3,3,TRUE,TRUE,0.00478337089907333,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",4,24,5,5,35,217,190,4,19,12,18,80,110,0,FALSE,5,5,4,126,3,14,2,2,57,66,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,2,exactly two,3,2,1,1,FALSE,TRUE,-0.0657004830917875,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,5,16,5,5,34,151,210,2,12,5,29,29,181,0,FALSE,5,5,2,125,2,9,0,2,14,107,1,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,3,all three,3,3,2,2,FALSE,TRUE,-0.00419006669006672,TRUE,partial retention,R3: mature with partial or single-representation retention,6,26,5,5,38,174,261,4,20,10,25,100,161,0,FALSE,5,5,13,148,3,15,4,9,52,96,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,3,all three,3,3,1,1,FALSE,TRUE,-0.0145886190648785,TRUE,partial retention,R3: mature with partial or single-representation retention,7,17,5,5,51,131,330,3,13,13,38,60,270,0,FALSE,5,5,5,129,2,9,0,5,19,110,4,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,346,115,231,3,all three,3,3,3,3,TRUE,TRUE,0.0137775268210051,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",8,32,5,5,31,169,177,5,25,10,21,70,107,0,FALSE,5,5,10,114,4,19,2,7,35,62,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,449,264,185,3,all three,3,3,3,3,TRUE,TRUE,-0.00466830466830459,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",9,33,5,5,41,140,309,5,26,28,13,188,121,0,FALSE,5,5,30,202,5,20,17,10,123,77,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,458,248,210,3,all three,3,3,3,3,TRUE,TRUE,0.0257872503840245,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",10,35,5,5,38,228,230,7,28,21,17,128,102,0,FALSE,5,5,19,149,5,21,13,6,86,63,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
