foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,q2,rmse,spearman,balanced_accuracy,auc,pr_auc,selected_components_median,selected_components_min,selected_components_max,seed,common_cohort
GigaSSL,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,,,,0.614814814814815,0.604444444444444,0.606079899982636,4,1,9,20260816,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,,,,0.674814814814815,0.724444444444444,0.721802056343181,4,2,6,20260816,TRUE
TITAN,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,,,,0.479259259259259,0.528888888888889,0.630002921029276,2,1,5,20260816,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,,,,0.669748696064486,0.723121147463253,0.756382982319864,6,3,8,20260817,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,,,,0.675142247510669,0.735271455666193,0.775346289323816,4,3,5,20260817,TRUE
TITAN,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,,,,0.689485538169749,0.728603603603604,0.779218692207196,5,3,10,20260817,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,,,,0.652298850574713,0.719622331691297,0.538208377322821,5,4,8,20260818,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,,,,0.572454844006568,0.593938149972633,0.421998469821024,4,2,9,20260818,TRUE
TITAN,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,,,,0.577380952380953,0.612547892720307,0.411501756592712,4,1,8,20260818,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,,,,0.666391184573003,0.745103931880791,0.663884078940139,6,5,7,20260819,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,,,,0.644628099173554,0.735236664162284,0.662748775814406,4,3,6,20260819,TRUE
TITAN,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,,,,0.649449035812672,0.726070623591285,0.620781470358167,7,2,9,20260819,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,132,76,56,,,,0.494360902255639,0.506109022556391,0.570337384010886,2,1,9,20260820,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,132,76,56,,,,0.536654135338346,0.561795112781955,0.652877201669311,8,1,10,20260820,TRUE
TITAN,binary,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,132,76,56,,,,0.55921052631579,0.554981203007519,0.63299482186678,1,1,5,20260820,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,,,,0.510144927536232,0.548999309868875,0.153385631126123,4,3,10,20260821,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,,,,0.488405797101449,0.543685300207039,0.142782215372352,3,2,9,20260821,TRUE
TITAN,binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,,,,0.587819185645273,0.675983436853002,0.26751478190728,7,7,10,20260821,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,,,,0.612023955773956,0.662293787293787,0.559555134804445,6,4,8,20260822,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,,,,0.566350035100035,0.60216303966304,0.49817871201929,5,4,6,20260822,TRUE
TITAN,binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,,,,0.593047999297999,0.637285012285012,0.520875881911665,6,1,6,20260822,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,,,,0.578138214328863,0.648211912528694,0.295879974137431,8,6,9,20260823,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,,,,0.568487978736257,0.640298417300954,0.288601971220125,8,3,10,20260823,TRUE
TITAN,binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,,,,0.592062341428054,0.669264226168902,0.304139383776432,8,1,10,20260823,TRUE
GigaSSL,binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,481,157,324,,,,0.554002516316741,0.580797357867422,0.435674623010298,6,4,7,20260824,TRUE
ProvGigaPath,binary,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,481,157,324,,,,0.511746087913816,0.513643154832115,0.34345940196503,8,1,10,20260824,TRUE
