foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,q2,rmse,spearman,balanced_accuracy,auc,pr_auc,sensitivity,specificity,ppv,npv,prevalence,no_skill_pr_auc,operating_threshold_median,selected_components_median,selected_components_min,selected_components_max,selected_components_at_ceiling,selected_components_outer_fits,selected_components_ceiling_fraction,numerical_failure_or_fallback,seed,common_cohort,fastPLS_version,fastPLS_remote_sha
GigaSSL,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,,,,0.614814814814815,0.687407407407407,0.66288256347187,0.62962962962963,0.6,0.62962962962963,0.6,0.519230769230769,0.519230769230769,0.308748813135759,4,3,5,0,5,0,FALSE,20260816,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,,,,0.620740740740741,0.714074074074074,0.771085911505323,0.481481481481482,0.76,0.68421052631579,0.575757575757576,0.519230769230769,0.519230769230769,13.1427050343057,4,2,16,0,5,0,FALSE,20260816,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,,,,0.543703703703704,0.551111111111111,0.602738058961929,0.407407407407407,0.68,0.578947368421053,0.515151515151515,0.519230769230769,0.519230769230769,1.05181804179989,2,1,3,0,5,0,FALSE,20260816,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,,,,0.670637743006164,0.715623518255097,0.743198518775531,0.706140350877193,0.635135135135135,0.748837209302326,0.583850931677019,0.606382978723404,0.606382978723404,0.240066505117043,3,3,8,0,5,0,FALSE,20260817,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,,,,0.662695590327169,0.746028923660503,0.780962596734015,0.710526315789474,0.614864864864865,0.73972602739726,0.579617834394905,0.606382978723404,0.606382978723404,0.588475188751164,3,3,3,0,5,0,FALSE,20260817,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,,,,0.662339971550498,0.726084637268848,0.777415577531249,0.736842105263158,0.587837837837838,0.733624454148472,0.591836734693878,0.606382978723404,0.606382978723404,0.251911060026071,5,3,9,0,5,0,FALSE,20260817,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,,,,0.642651888341544,0.676929392446634,0.486643303685734,0.773809523809524,0.511494252873563,0.433333333333333,0.824074074074074,0.325581395348837,0.325581395348837,-1.37920145206319,3,2,3,0,5,0,FALSE,20260818,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,,,,0.56568144499179,0.600574712643678,0.429948077415475,0.642857142857143,0.488505747126437,0.377622377622378,0.739130434782609,0.325581395348837,0.325581395348837,-1.23488456032525,3,2,6,0,5,0,FALSE,20260818,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,,,,0.613300492610837,0.619594964422551,0.409355323338849,0.738095238095238,0.488505747126437,0.410596026490066,0.794392523364486,0.325581395348837,0.325581395348837,-1.91319979362506,5,3,6,0,5,0,FALSE,20260818,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,,,,0.671900826446281,0.763461056849487,0.675578194747776,0.690909090909091,0.652892561983471,0.575757575757576,0.755980861244019,0.405405405405405,0.405405405405405,-0.330423899423875,4,4,4,0,5,0,FALSE,20260819,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
