outcome_type,stability_repeat,targets,median_delta_vs_TITAN,q1_delta_vs_TITAN,q3_delta_vs_TITAN,other_higher,TITAN_higher,tied,spearman_effect,comparison
binary,1,356,-0.0381119535221746,-0.0796377329216186,0.00119732559282601,92,264,0,0.65591433598285,GigaSSL versus TITAN
binary,2,356,-0.0398778760166458,-0.0862727738024462,0.0114370227367227,105,251,0,0.545840542262165,GigaSSL versus TITAN
binary,3,356,-0.0382925194581298,-0.0799069193465746,0.00389846113153289,95,261,0,0.608727753748384,GigaSSL versus TITAN
binary,4,356,-0.0409983095252105,-0.0857989055560213,0.0042609329210678,95,261,0,0.600391243694819,GigaSSL versus TITAN
binary,5,356,-0.0407665093265397,-0.0879651592499012,0.0031577593871186,94,262,0,0.58791027726172,GigaSSL versus TITAN
continuous,1,978,-0.0830519523042539,-0.14351877831819,-0.0294505448134841,148,830,0,0.674067987148906,GigaSSL versus TITAN
continuous,2,978,-0.081998437755516,-0.144159443526288,-0.0269791109552844,136,842,0,0.670041592624267,GigaSSL versus TITAN
continuous,3,978,-0.0836583259471607,-0.143267540581632,-0.032955487159624,138,840,0,0.683857814757951,GigaSSL versus TITAN
continuous,4,978,-0.0836937755331682,-0.147761071244651,-0.0342981139596346,137,841,0,0.675333987668999,GigaSSL versus TITAN
continuous,5,978,-0.0816541695994721,-0.145144244829108,-0.0280206936821722,145,833,0,0.667533208268387,GigaSSL versus TITAN
binary,1,356,-0.0281219643820831,-0.0753383367561207,0.00714820479149317,105,251,0,0.633420350257527,ProvGigaPath versus TITAN
binary,2,356,-0.0259224778504636,-0.0706994482024214,0.0118300144095622,115,241,0,0.66109829240468,ProvGigaPath versus TITAN
binary,3,356,-0.025615223075949,-0.0701033302921014,0.0192979028697572,118,238,0,0.645916387014513,ProvGigaPath versus TITAN
binary,4,356,-0.0296047938550304,-0.0697247527564536,0.00675055455157361,109,247,0,0.637429334766032,ProvGigaPath versus TITAN
binary,5,356,-0.0300485942750202,-0.0686443502777669,0.00963423612412595,106,250,0,0.645600769188828,ProvGigaPath versus TITAN
continuous,1,978,-0.0608725778273267,-0.119631321699969,-0.0131185417492763,204,774,0,0.69349022773738,ProvGigaPath versus TITAN
continuous,2,978,-0.0640797281595079,-0.117415897230795,-0.0119271123488209,198,780,0,0.668156260272769,ProvGigaPath versus TITAN
continuous,3,978,-0.0654659615340554,-0.11984731024395,-0.0176750020524977,187,791,0,0.696504157944331,ProvGigaPath versus TITAN
continuous,4,978,-0.0643232192401784,-0.11674733485266,-0.0140447000041575,199,779,0,0.69895266034348,ProvGigaPath versus TITAN
continuous,5,978,-0.0643412803161705,-0.117781280214713,-0.0104075785170291,210,768,0,0.700565714517685,ProvGigaPath versus TITAN
