outcome_type,family,tumor_type,endpoint,ridge_winner,ridge_best_effect,pls_winner,pls_best_effect,winner_retained
binary,aneuploidy,ACC,Genome doubling,ProvGigaPath,0.70962962962963,ProvGigaPath,0.714074074074074,TRUE
binary,aneuploidy,COAD,Genome doubling,TITAN,0.770974204858502,ProvGigaPath,0.76481342349111,FALSE
binary,aneuploidy,GBM,Genome doubling,TITAN,0.672015182884748,TITAN,0.673706004140787,TRUE
binary,aneuploidy,KIRC,Genome doubling,TITAN,0.690648785791954,TITAN,0.6443457774556,TRUE
binary,aneuploidy,PAAD,Genome doubling,TITAN,0.672764227642276,GigaSSL,0.670121951219512,FALSE
binary,aneuploidy,PRAD,Genome doubling,TITAN,0.71439594356261,GigaSSL,0.62907848324515,FALSE
binary,driver_mutation,BLCA,EP300,TITAN,0.520314253647587,TITAN,0.531874298540965,TRUE
binary,driver_mutation,BLCA,FBXW7,GigaSSL,0.615348399246704,TITAN,0.572598870056497,FALSE
binary,driver_mutation,CESC,EP300,TITAN,0.720663650075415,TITAN,0.649321266968326,TRUE
binary,driver_mutation,COAD,TP53,TITAN,0.860655968072848,TITAN,0.866024001573874,TRUE
binary,driver_mutation,LIHC,APOB,GigaSSL,0.542232277526395,GigaSSL,0.539121417797888,TRUE
binary,driver_mutation,LUAD,ARID1A,GigaSSL,0.485205479452055,GigaSSL,0.498812785388128,TRUE
binary,driver_mutation,PAAD,KRAS,GigaSSL,0.619082407948568,ProvGigaPath,0.621420222092344,FALSE
binary,driver_mutation,UCEC,ARID1A,TITAN,0.742673403766651,TITAN,0.715627009646302,TRUE
binary,driver_mutation,UCEC,BCOR,TITAN,0.643063186813187,TITAN,0.624862637362637,TRUE
binary,fusion,BLCA,Any called fusion,TITAN,0.674880525686977,TITAN,0.672677718040621,TRUE
binary,fusion,DLBC,Any called fusion,GigaSSL,0.636363636363636,ProvGigaPath,0.661157024793388,FALSE
binary,fusion,HNSC,Any called fusion,TITAN,0.547440621421102,GigaSSL,0.505352785938356,FALSE
binary,fusion,KIRC,Any called fusion,TITAN,0.554978143819297,TITAN,0.570399414667092,TRUE
binary,fusion,LUSC,Any called fusion,TITAN,0.583886124930901,TITAN,0.5702045328911,TRUE
binary,fusion,THCA,Fusion pair: CCDC6--RET,TITAN,0.843220338983051,TITAN,0.80593220338983,TRUE
binary,fusion,THYM,Any called fusion,GigaSSL,0.602564102564103,GigaSSL,0.650309460654288,TRUE
binary,microsatellite_instability,COAD,MSI-H (MANTIS >0.4),TITAN,0.852080722527117,TITAN,0.841018106391254,TRUE
binary,microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),TITAN,0.762186921352695,TITAN,0.720202709287594,TRUE
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),TITAN,0.922825597115818,TITAN,0.940232086525462,TRUE
binary,oncogenic_pathway,KIRP,PI3K,GigaSSL,0.58994708994709,GigaSSL,0.548840048840049,TRUE
binary,oncogenic_pathway,LIHC,TP53,TITAN,0.69246990261483,TITAN,0.671229200214707,TRUE
binary,oncogenic_pathway,LUAD,NRF2,ProvGigaPath,0.681230567828506,GigaSSL,0.693298969072165,FALSE
binary,oncogenic_pathway,LUSC,PI3K,TITAN,0.604140241713534,TITAN,0.608256551394041,TRUE
binary,oncogenic_pathway,PRAD,MYC,TITAN,0.664344468692295,TITAN,0.656370656370656,TRUE
binary,oncogenic_pathway,STAD,MYC,TITAN,0.54695519489527,ProvGigaPath,0.587113330559023,FALSE
binary,oncogenic_pathway,UCEC,HIPPO,ProvGigaPath,0.669425599276346,ProvGigaPath,0.668000904568069,TRUE
binary,oncogenic_pathway,UCEC,MYC,TITAN,0.551911468812877,TITAN,0.552313883299799,TRUE
binary,oncogenic_pathway,UCEC,PI3K,TITAN,0.605726546315478,TITAN,0.618008286475289,TRUE
continuous,aneuploidy,KICH,Aneuploidy score,ProvGigaPath,0.053107846194744,GigaSSL,-0.0372350709157874,FALSE
continuous,aneuploidy,KIRP,Amplified arm count,ProvGigaPath,0.26673561239892,ProvGigaPath,0.252723685441899,TRUE
continuous,aneuploidy,PRAD,Deleted arm count,TITAN,0.176837375521339,TITAN,0.0910660003189996,TRUE
continuous,fusion,KIRP,Fusion burden,TITAN,0.0398717023169541,TITAN,0.0220559570404969,TRUE
continuous,fusion,LGG,Fusion burden,TITAN,0.21171764462469,TITAN,0.219801323032392,TRUE
continuous,fusion,SKCM,Fusion burden,TITAN,0.0260690230510198,TITAN,-0.0176322756585892,TRUE
continuous,microsatellite_instability,PAAD,MSIsensor score,ProvGigaPath,-0.038018356466587,ProvGigaPath,-0.0788490424253903,TRUE
continuous,microsatellite_instability,SKCM,MSIsensor score,ProvGigaPath,0.0913596757727855,TITAN,0.0611926325188865,FALSE
continuous,rna_pathway_activity,ACC,HALLMARK_APICAL_SURFACE,ProvGigaPath,0.0755400678583573,ProvGigaPath,-0.00296659152005674,TRUE
continuous,rna_pathway_activity,CESC,HALLMARK_GLYCOLYSIS,TITAN,0.127051058391107,TITAN,0.0898082523202951,TRUE
continuous,rna_pathway_activity,UCEC,HALLMARK_CHOLESTEROL_HOMEOSTASIS,TITAN,0.0619845488175639,GigaSSL,0.0665714541944031,FALSE
continuous,thorsson,LUSC,Th2 Cells,TITAN,0.236922655815089,TITAN,0.206108198659332,TRUE
continuous,thorsson,PAAD,Number of Segments,ProvGigaPath,0.0307354793097099,TITAN,0.00150048973063799,FALSE
continuous,thorsson,READ,TCR Richness,ProvGigaPath,-0.0117988993613976,TITAN,-0.205450584968714,FALSE
