foundation_model,outcome_type,family,definition_group,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
GigaSSL,binary,aneuploidy,Genome-doubling call,21,16,76.1904761904762,ACC;BLCA;CESC;COAD;HNSC;KIRC;LIHC;LUAD;LUSC;OV;PAAD;PRAD;READ;SARC;STAD;UCEC
ProvGigaPath,binary,aneuploidy,Genome-doubling call,21,17,80.952380952381,ACC;BLCA;CESC;COAD;GBM;HNSC;KIRC;LIHC;LUAD;LUSC;OV;PAAD;READ;SARC;SKCM;STAD;UCEC
TITAN,binary,aneuploidy,Genome-doubling call,21,17,80.952380952381,BLCA;CESC;COAD;GBM;HNSC;KIRC;LIHC;LUAD;LUSC;OV;PAAD;PCPG;PRAD;SARC;SKCM;STAD;UCEC
GigaSSL,binary,driver_mutation,Gene-specific somatic mutation,24,20,83.3333333333333,BLCA;CESC;COAD;GBM;HNSC;KIRC;LGG;LIHC;LUAD;LUSC;OV;PRAD;READ;SARC;SKCM;STAD;TGCT;THCA;THYM;UCEC
ProvGigaPath,binary,driver_mutation,Gene-specific somatic mutation,24,18,75,BLCA;COAD;GBM;HNSC;KIRC;LGG;LIHC;LUAD;LUSC;OV;PAAD;READ;SARC;STAD;TGCT;THCA;THYM;UCEC
TITAN,binary,driver_mutation,Gene-specific somatic mutation,24,23,95.8333333333333,BLCA;CESC;COAD;GBM;HNSC;KICH;KIRC;LGG;LIHC;LUAD;LUSC;OV;PAAD;PRAD;READ;SARC;SKCM;STAD;TGCT;THCA;THYM;UCEC;UVM
GigaSSL,binary,fusion,Any fusion call,24,9,37.5,BLCA;DLBC;LGG;LIHC;MESO;SARC;THCA;THYM;UCEC
ProvGigaPath,binary,fusion,Any fusion call,24,9,37.5,BLCA;DLBC;KIRP;LGG;LIHC;MESO;PRAD;THCA;UCEC
TITAN,binary,fusion,Any fusion call,24,10,41.6666666666667,BLCA;COAD;KIRP;LGG;LIHC;LUAD;PAAD;READ;THCA;UCEC
GigaSSL,binary,fusion,Recurrent fusion-pair call,2,2,100,PRAD;THCA
ProvGigaPath,binary,fusion,Recurrent fusion-pair call,2,1,50,PRAD
TITAN,binary,fusion,Recurrent fusion-pair call,2,2,100,PRAD;THCA
GigaSSL,binary,microsatellite_instability,MSI threshold status,3,3,100,COAD;STAD;UCEC
ProvGigaPath,binary,microsatellite_instability,MSI threshold status,3,3,100,COAD;STAD;UCEC
TITAN,binary,microsatellite_instability,MSI threshold status,3,3,100,COAD;STAD;UCEC
GigaSSL,binary,microsatellite_instability_sensitivity,MSI threshold status,3,2,66.6666666666667,COAD;STAD
ProvGigaPath,binary,microsatellite_instability_sensitivity,MSI threshold status,3,3,100,COAD;STAD;UCEC
TITAN,binary,microsatellite_instability_sensitivity,MSI threshold status,3,3,100,COAD;STAD;UCEC
GigaSSL,binary,oncogenic_pathway,Oncogenic-pathway alteration,24,20,83.3333333333333,BLCA;COAD;ESCA;GBM;HNSC;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;MESO;PCPG;READ;SARC;STAD;TGCT;THCA;UCEC;UCS
ProvGigaPath,binary,oncogenic_pathway,Oncogenic-pathway alteration,24,20,83.3333333333333,BLCA;COAD;ESCA;GBM;HNSC;KIRP;LGG;LIHC;LUAD;LUSC;MESO;PCPG;PRAD;READ;SARC;STAD;TGCT;THCA;UCEC;UCS
TITAN,binary,oncogenic_pathway,Oncogenic-pathway alteration,24,22,91.6666666666667,BLCA;CESC;COAD;ESCA;GBM;HNSC;KICH;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;PCPG;PRAD;READ;SARC;STAD;TGCT;THCA;UCEC;UCS
GigaSSL,continuous,aneuploidy,Arm-level aneuploidy burden,28,2,7.14285714285714,COAD;THYM
ProvGigaPath,continuous,aneuploidy,Arm-level aneuploidy burden,28,4,14.2857142857143,COAD;KIRP;STAD;UCEC
TITAN,continuous,aneuploidy,Arm-level aneuploidy burden,28,5,17.8571428571429,COAD;LGG;LUAD;STAD;UCEC
GigaSSL,continuous,fusion,Fusion burden,28,0,0,""
ProvGigaPath,continuous,fusion,Fusion burden,28,0,0,""
TITAN,continuous,fusion,Fusion burden,28,2,7.14285714285714,LGG;UCEC
GigaSSL,continuous,microsatellite_instability,MSI score,28,1,3.57142857142857,COAD
