foundation_model,outcome_type,measurement_class,same_histology_modality,eligible_tasks,effect_threshold_crossings,crossing_percent,unique_endpoint_definitions,unique_definitions_crossing,median_effect,unique_definition_crossing_percent
GigaSSL,binary,composite genomic-context score,FALSE,183,74,40.4371584699454,13,13,0.578962703962704,100
ProvGigaPath,binary,composite genomic-context score,FALSE,183,78,42.6229508196721,13,13,0.583693400414324,100
TITAN,binary,composite genomic-context score,FALSE,183,93,50.8196721311476,13,13,0.606496862310816,100
GigaSSL,binary,directly observed genomic alteration,FALSE,243,92,37.8600823045268,118,54,0.573539344815941,45.7627118644068
ProvGigaPath,binary,directly observed genomic alteration,FALSE,243,98,40.3292181069959,118,62,0.581283239511088,52.5423728813559
TITAN,binary,directly observed genomic alteration,FALSE,243,137,56.3786008230453,118,82,0.618574973413683,69.4915254237288
GigaSSL,continuous,composite genomic-context score,FALSE,166,14,8.43373493975904,6,5,0.0457821021501266,83.3333333333333
ProvGigaPath,continuous,composite genomic-context score,FALSE,166,19,11.4457831325301,6,5,0.0327067863994501,83.3333333333333
TITAN,continuous,composite genomic-context score,FALSE,166,34,20.4819277108434,6,6,0.0926980841777504,100
GigaSSL,continuous,computationally inferred immune-cell fraction,FALSE,638,16,2.50783699059561,23,7,-0.0402201244051706,30.4347826086957
ProvGigaPath,continuous,computationally inferred immune-cell fraction,FALSE,638,18,2.82131661442006,23,8,-0.0530629521706429,34.7826086956522
TITAN,continuous,computationally inferred immune-cell fraction,FALSE,638,27,4.23197492163009,23,11,-0.0168095095081563,47.8260869565218
GigaSSL,continuous,pathology-associated quantity,TRUE,11,11,100,1,1,0.496681064622084,100
ProvGigaPath,continuous,pathology-associated quantity,TRUE,11,11,100,1,1,0.532284864905745,100
TITAN,continuous,pathology-associated quantity,TRUE,11,10,90.9090909090909,1,1,0.378220220077757,100
GigaSSL,continuous,sequencing-derived continuous burden,FALSE,413,14,3.38983050847458,16,7,-0.0316794566651617,43.75
ProvGigaPath,continuous,sequencing-derived continuous burden,FALSE,413,24,5.81113801452785,16,11,-0.0550395321365855,68.75
TITAN,continuous,sequencing-derived continuous burden,FALSE,413,33,7.99031476997579,16,12,-0.00513967298257079,75
GigaSSL,continuous,transcriptomic pathway score,FALSE,1456,249,17.1016483516484,52,50,0.0569006290765193,96.1538461538462
ProvGigaPath,continuous,transcriptomic pathway score,FALSE,1456,305,20.9478021978022,52,51,0.0684877716831941,98.0769230769231
TITAN,continuous,transcriptomic pathway score,FALSE,1456,447,30.7005494505495,52,51,0.114563892355036,98.0769230769231
GigaSSL,continuous,transcriptomic signature,FALSE,279,58,20.7885304659498,10,9,0.0523820547406469,90
ProvGigaPath,continuous,transcriptomic signature,FALSE,279,64,22.9390681003584,10,10,0.0547350621604771,100
TITAN,continuous,transcriptomic signature,FALSE,279,92,32.9749103942652,10,10,0.11716417548583,100
