outcome_type,family,tumor_type,endpoint,size_stratum,imbalance_stratum,n,foundation_model,ridge_q2,ridge_balanced_accuracy,ridge_auc,ridge_pr_auc,ridge_lambda_median,numerical_failures
binary,aneuploidy,ACC,Genome doubling,small,low,54,TITAN,,0.545185185185185,0.525925925925926,0.540957163640812,43.2019500252924,0
binary,aneuploidy,ACC,Genome doubling,small,low,54,GigaSSL,,0.673333333333333,0.617777777777778,0.59155140496916,4.68865190950319,0
binary,aneuploidy,ACC,Genome doubling,small,low,54,ProvGigaPath,,0.597777777777778,0.70962962962963,0.730963364528101,2.69547975238413,0
binary,aneuploidy,COAD,Genome doubling,medium,low,408,TITAN,,0.674517906336088,0.770974204858502,0.669706103522238,1.6503878388408,0
binary,aneuploidy,COAD,Genome doubling,medium,low,408,GigaSSL,,0.681129476584022,0.757600801402454,0.681150372719837,1.4702111966046,0
binary,aneuploidy,COAD,Genome doubling,medium,low,408,ProvGigaPath,,0.691873278236915,0.766967192587027,0.708747629861922,1.44328868171762,0
binary,aneuploidy,GBM,Genome doubling,medium,moderate,362,TITAN,,0.612284334023465,0.672015182884748,0.223234378476067,33.2136434891688,0
binary,aneuploidy,GBM,Genome doubling,medium,moderate,362,GigaSSL,,0.55048309178744,0.615320910973085,0.191078344361289,4.75634980150295,0
binary,aneuploidy,GBM,Genome doubling,medium,moderate,362,ProvGigaPath,,0.581642512077295,0.612767425810904,0.163657942738285,3.51573379159672,0
binary,aneuploidy,KIRC,Genome doubling,large,moderate,464,TITAN,,0.650733961580283,0.690648785791954,0.32660235677735,2.10438882630065,0
binary,aneuploidy,KIRC,Genome doubling,large,moderate,464,GigaSSL,,0.634227377068986,0.673734444847167,0.291570484436653,1.20067332458265,0
binary,aneuploidy,KIRC,Genome doubling,large,moderate,464,ProvGigaPath,,0.648181708348435,0.66950585961097,0.310057128484782,0.960642277922715,0
binary,aneuploidy,PAAD,Genome doubling,small,moderate,163,TITAN,,0.60640243902439,0.672764227642276,0.384001289771272,2.92739496063517,0
binary,aneuploidy,PAAD,Genome doubling,small,moderate,163,GigaSSL,,0.585467479674797,0.64369918699187,0.363572184046225,1.47849827390682,0
binary,aneuploidy,PAAD,Genome doubling,small,moderate,163,ProvGigaPath,,0.546138211382114,0.572154471544716,0.293699822888813,1.40010779206768,0
binary,aneuploidy,PRAD,Genome doubling,medium,high,382,TITAN,,0.684964726631393,0.71439594356261,0.174831082185327,10.0532206197224,0
binary,aneuploidy,PRAD,Genome doubling,medium,high,382,GigaSSL,,0.640652557319224,0.67228835978836,0.206055998531642,2.00311139778482,0
binary,aneuploidy,PRAD,Genome doubling,medium,high,382,ProvGigaPath,,0.635361552028219,0.672508818342152,0.14798673390298,0.718754877025276,0
binary,driver_mutation,BLCA,EP300,medium,moderate,384,TITAN,,0.510942760942761,0.520314253647587,0.174343575201306,2.34746321219114,0
binary,driver_mutation,BLCA,EP300,medium,moderate,384,GigaSSL,,0.521548821548822,0.50611672278339,0.150084228226987,17.6797913598216,0
binary,driver_mutation,BLCA,EP300,medium,moderate,384,ProvGigaPath,,0.49949494949495,0.464029180695847,0.131973899774996,1.05565291257326,0
binary,driver_mutation,BLCA,FBXW7,medium,high,384,TITAN,,0.500847457627119,0.524952919020716,0.103317121465479,0.510833014510534,0
binary,driver_mutation,BLCA,FBXW7,medium,high,384,GigaSSL,,0.525423728813559,0.615348399246704,0.119602752664663,0.584213800626715,0
binary,driver_mutation,BLCA,FBXW7,medium,high,384,ProvGigaPath,,0.484745762711864,0.577777777777778,0.120141858024424,0.601915882266183,0
binary,driver_mutation,CESC,EP300,small,moderate,252,TITAN,,0.686500754147813,0.720663650075415,0.220431475740676,1.54872368538392,0
binary,driver_mutation,CESC,EP300,small,moderate,252,GigaSSL,,0.626018099547511,0.629110105580694,0.171635279675109,33.5938968823936,0
binary,driver_mutation,CESC,EP300,small,moderate,252,ProvGigaPath,,0.597435897435897,0.58974358974359,0.147407717259412,19.6214222609098,0
binary,driver_mutation,COAD,TP53,medium,low,382,TITAN,,0.767713105309013,0.860655968072848,0.797831004407759,5.07582485304116,0
binary,driver_mutation,COAD,TP53,medium,low,382,GigaSSL,,0.717588038559906,0.801579494674124,0.696514552854741,2.45898905962303,0
binary,driver_mutation,COAD,TP53,medium,low,382,ProvGigaPath,,0.741589612433602,0.827520305781175,0.737077989471387,2.66905383275266,0
binary,driver_mutation,LIHC,APOB,small,high,350,TITAN,,0.474641779788839,0.481240573152338,0.10794485167749,1.69568028552893,0
binary,driver_mutation,LIHC,APOB,small,high,350,GigaSSL,,0.522435897435897,0.542232277526395,0.108460303753615,16.8702773462424,0
binary,driver_mutation,LIHC,APOB,small,high,350,ProvGigaPath,,0.465497737556561,0.501602564102564,0.107769205272325,13.9504274349727,0
