outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,effect_GigaSSL,effect_ProvGigaPath,effect_TITAN,screening_positive_GigaSSL,screening_positive_ProvGigaPath,screening_positive_TITAN,q2_GigaSSL,q2_ProvGigaPath,q2_TITAN,rmse_GigaSSL,rmse_ProvGigaPath,rmse_TITAN,spearman_GigaSSL,spearman_ProvGigaPath,spearman_TITAN,balanced_accuracy_GigaSSL,balanced_accuracy_ProvGigaPath,balanced_accuracy_TITAN,auc_GigaSSL,auc_ProvGigaPath,auc_TITAN,pr_auc_GigaSSL,pr_auc_ProvGigaPath,pr_auc_TITAN,sensitivity_GigaSSL,sensitivity_ProvGigaPath,sensitivity_TITAN,specificity_GigaSSL,specificity_ProvGigaPath,specificity_TITAN,ppv_GigaSSL,ppv_ProvGigaPath,ppv_TITAN,npv_GigaSSL,npv_ProvGigaPath,npv_TITAN,prevalence_GigaSSL,prevalence_ProvGigaPath,prevalence_TITAN,no_skill_pr_auc_GigaSSL,no_skill_pr_auc_ProvGigaPath,no_skill_pr_auc_TITAN,supported_by_n,support_pattern,best_foundation_model,effect_range,discordance_rank
binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2D,TCGA_MC3_Bailey2018,251,38,213,0.333086236718557,0.471583889300717,0.643068939955523,FALSE,FALSE,TRUE,,,,,,,,,,0.423338275265629,0.484371139115394,0.604027674820855,0.333086236718557,0.471583889300717,0.643068939955523,0.10878970154661,0.142747965186701,0.254572409013838,0.710526315789474,0.710526315789474,0.578947368421053,0.136150234741784,0.258215962441315,0.629107981220657,0.127962085308057,0.145945945945946,0.217821782178218,0.725,0.833333333333333,0.893333333333333,0.151394422310757,0.151394422310757,0.151394422310757,0.151394422310757,0.151394422310757,0.151394422310757,1,TITAN,TITAN,0.309982703236966,1
binary,fusion,fusion,READ,Any called fusion,Gao2018_TableS1,80,57,23,0.356979405034325,0.372234935163997,0.624713958810069,FALSE,FALSE,TRUE,,,,,,,,,,0.458047292143402,0.400839054157132,0.58047292143402,0.356979405034325,0.372234935163997,0.624713958810069,0.668607426292562,0.63950946387067,0.80578671334932,0.350877192982456,0.192982456140351,0.508771929824562,0.565217391304348,0.608695652173913,0.652173913043478,0.666666666666667,0.55,0.783783783783784,0.26,0.233333333333333,0.348837209302326,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,1,TITAN,TITAN,0.267734553775744,2
binary,driver_mutation,Bailey_tissue_specific_driver,UVM,GNAQ,TCGA_MC3_Bailey2018,45,20,25,0.412,0.346,0.604,FALSE,FALSE,TRUE,,,,,,,,,,0.385,0.455,0.505,0.412,0.346,0.604,0.397147347300998,0.361153895203751,0.587641749799069,0.45,0.55,0.85,0.32,0.36,0.16,0.346153846153846,0.407407407407407,0.447368421052632,0.421052631578947,0.5,0.571428571428571,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,1,TITAN,TITAN,0.258,3
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,BCOR,TCGA_MC3_Bailey2018,365,29,336,0.525348932676519,0.646141215106732,0.766215106732348,FALSE,TRUE,TRUE,,,,,,,,,,0.525964696223317,0.576816502463054,0.673953201970443,0.525348932676519,0.646141215106732,0.766215106732348,0.105143790720928,0.16177929204967,0.214201318674423,0.379310344827586,0.448275862068966,0.758620689655172,0.672619047619048,0.705357142857143,0.589285714285714,0.0909090909090909,0.116071428571429,0.1375,0.926229508196721,0.936758893280632,0.965853658536585,0.0794520547945206,0.0794520547945206,0.0794520547945206,0.0794520547945206,0.0794520547945206,0.0794520547945206,2,TITAN+ProvGigaPath,TITAN,0.240866174055829,4
binary,fusion,recurrent_fusion_pair,THCA,Fusion pair: CCDC6--RET,Gao2018_TableS1,492,20,472,0.626800847457627,0.566737288135593,0.80593220338983,TRUE,FALSE,TRUE,,,,,,,,,,0.668220338983051,0.571610169491525,0.745762711864407,0.626800847457627,0.566737288135593,0.80593220338983,0.0626532926327425,0.0557857267761879,0.309997904639643,0.65,0.55,0.75,0.686440677966102,0.593220338983051,0.741525423728814,0.0807453416149068,0.0541871921182266,0.109489051094891,0.978851963746223,0.968858131487889,0.985915492957746,0.040650406504065,0.040650406504065,0.040650406504065,0.040650406504065,0.040650406504065,0.040650406504065,2,TITAN+GigaSSL,TITAN,0.239194915254237,5
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,RHOA,TCGA_MC3_Bailey2018,365,20,345,0.735797101449275,0.572608695652174,0.808840579710145,TRUE,FALSE,TRUE,,,,,,,,,,0.698188405797102,0.596376811594203,0.719927536231884,0.735797101449275,0.572608695652174,0.808840579710145,0.121253452583994,0.0778999626403946,0.149243655588838,0.75,0.7,0.75,0.646376811594203,0.492753623188406,0.689855072463768,0.109489051094891,0.0740740740740741,0.122950819672131,0.978070175438597,0.965909090909091,0.979423868312757,0.0547945205479452,0.0547945205479452,0.0547945205479452,0.0547945205479452,0.0547945205479452,0.0547945205479452,2,TITAN+GigaSSL,TITAN,0.236231884057971,6
binary,driver_mutation,Bailey_tissue_specific_driver,UCEC,RPL22,TCGA_MC3_Bailey2018,486,44,442,0.531879884821061,0.578568490333196,0.766248457424928,FALSE,FALSE,TRUE,,,,,,,,,,0.481797614150555,0.562679967091732,0.691587823940765,0.531879884821061,0.578568490333196,0.766248457424928,0.152715175204883,0.155235259420994,0.297334527976522,0.454545454545455,0.704545454545455,0.681818181818182,0.509049773755656,0.420814479638009,0.701357466063348,0.0843881856540084,0.10801393728223,0.185185185185185,0.903614457831325,0.934673366834171,0.95679012345679,0.0905349794238683,0.0905349794238683,0.0905349794238683,0.0905349794238683,0.0905349794238683,0.0905349794238683,1,TITAN,TITAN,0.234368572603867,7
binary,oncogenic_pathway,oncogenic_pathway,READ,RTK RAS,SanchezVega2018_TableS4,106,75,31,0.725161290322581,0.503655913978495,0.502365591397849,TRUE,FALSE,FALSE,,,,,,,,,,0.627096774193548,0.53247311827957,0.486881720430108,0.725161290322581,0.503655913978495,0.502365591397849,0.869384735442897,0.753733816193629,0.73404403140093,0.48,0.613333333333333,0.586666666666667,0.774193548387097,0.451612903225806,0.387096774193548,0.837209302325582,0.73015873015873,0.698412698412698,0.380952380952381,0.325581395348837,0.27906976744186,0.707547169811321,0.707547169811321,0.707547169811321,0.707547169811321,0.707547169811321,0.707547169811321,1,GigaSSL,GigaSSL,0.222795698924732,8
binary,oncogenic_pathway,oncogenic_pathway,KICH,TP53,SanchezVega2018_TableS4,65,21,44,0.453463203463203,0.478354978354978,0.665584415584416,FALSE,FALSE,TRUE,,,,,,,,,,0.518939393939394,0.430194805194805,0.604978354978355,0.453463203463203,0.478354978354978,0.665584415584416,0.307104347979656,0.381064070147921,0.51467940908546,0.333333333333333,0.428571428571429,0.619047619047619,0.704545454545455,0.431818181818182,0.590909090909091,0.35,0.264705882352941,0.419354838709677,0.688888888888889,0.612903225806452,0.764705882352941,0.323076923076923,0.323076923076923,0.323076923076923,0.323076923076923,0.323076923076923,0.323076923076923,1,TITAN,TITAN,0.212121212121213,9
binary,driver_mutation,Bailey_tissue_specific_driver,UCEC,TAF1,TCGA_MC3_Bailey2018,486,80,406,0.479618226600985,0.603509852216749,0.68131157635468,FALSE,TRUE,TRUE,,,,,,,,,,0.479156403940887,0.559729064039409,0.642364532019704,0.479618226600985,0.603509852216749,0.68131157635468,0.154579839999161,0.22997025025213,0.277268162830422,0.5125,0.75,0.6,0.445812807881773,0.369458128078818,0.684729064039409,0.154135338345865,0.189873417721519,0.272727272727273,0.822727272727273,0.882352941176471,0.896774193548387,0.164609053497942,0.164609053497942,0.164609053497942,0.164609053497942,0.164609053497942,0.164609053497942,2,TITAN+ProvGigaPath,TITAN,0.201693349753695,10
continuous,thorsson,immune_inflammatory_and_genomic_context,ACC,T Cells CD4 Memory Resting,Thorsson2018_PanImmune_MS,52,,,-0.426280570246956,-1.10849405758504,-0.0939842091210832,FALSE,FALSE,FALSE,-0.426280570246956,-1.10849405758504,-0.0939842091210832,0.111554656881671,0.135634887789945,0.0976991417013374,-0.224726776775433,-0.365437159801996,0.173924180961838,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,1.01450984846396,1
continuous,rna_pathway_activity,MSigDB Hallmark,GBM,HALLMARK_MTORC1_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,96,,,-0.963945907405743,-0.244118693091664,-0.09511141896889,FALSE,FALSE,FALSE,-0.963945907405743,-0.244118693091664,-0.09511141896889,0.345693956862185,0.275142661780173,0.258140519902942,-0.136313076505697,0.111679327183939,0.135187194791101,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.868834488436853,2
continuous,rna_pathway_activity,MSigDB Hallmark,ACC,HALLMARK_MTORC1_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,53,,,-0.602179912275962,0.21679155273193,-0.204540328800805,FALSE,TRUE,FALSE,-0.602179912275962,0.21679155273193,-0.204540328800805,0.32464915611949,0.226985083736295,0.281494108434285,-0.0478955007256894,0.526044186421545,0.21464279954846,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ProvGigaPath,ProvGigaPath,0.818971465007892,3
continuous,rna_pathway_activity,MSigDB Hallmark,ACC,HALLMARK_ANGIOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,53,,,-0.596228534433629,-0.166088464663721,0.18508115229524,FALSE,FALSE,FALSE,-0.596228534433629,-0.166088464663721,0.18508115229524,0.376327311836998,0.321650294086094,0.268890454010527,-0.168279309788744,0.0807127882599581,0.263425253991292,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.781309686728869,4
continuous,rna_pathway_activity,MSigDB Hallmark,ACC,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,53,,,-0.107269028066996,-0.56539644006974,0.20429596072741,FALSE,FALSE,TRUE,-0.107269028066996,-0.56539644006974,0.20429596072741,0.179352645800411,0.213252132395609,0.152039696143478,0.0724883083373649,0,0.240767618126109,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,TITAN,TITAN,0.76969240079715,5
continuous,rna_pathway_activity,glutathione synthesis and recycling,MESO,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,75,,,-0.532251738073774,-1.02860632987734,-0.301617730977867,FALSE,FALSE,FALSE,-0.532251738073774,-1.02860632987734,-0.301617730977867,0.433257184027109,0.498516571437513,0.399321266040578,-0.136984352773826,-0.164637268847795,0.0318065433854908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.726988598899473,6
