stability_repeat,consensus_class,N,outcome_type,threshold,selected_tasks,proportion,mean_tasks,min_tasks,max_tasks,mean_proportion
1,all three,655,continuous,0.1,978,0.669734151329243,653,638,659,0.667689161554192
2,all three,638,continuous,0.1,978,0.652351738241309,653,638,659,0.667689161554192
3,all three,659,continuous,0.1,978,0.673824130879346,653,638,659,0.667689161554192
4,all three,654,continuous,0.1,978,0.668711656441718,653,638,659,0.667689161554192
5,all three,659,continuous,0.1,978,0.673824130879346,653,638,659,0.667689161554192
2,exactly two,152,continuous,0.1,978,0.155419222903886,144.6,141,152,0.147852760736196
4,exactly two,141,continuous,0.1,978,0.144171779141104,144.6,141,152,0.147852760736196
5,exactly two,142,continuous,0.1,978,0.14519427402863,144.6,141,152,0.147852760736196
1,representation specific,141,continuous,0.1,978,0.144171779141104,148.8,139,158,0.152147239263804
2,representation specific,158,continuous,0.1,978,0.161554192229039,148.8,139,158,0.152147239263804
3,representation specific,139,continuous,0.1,978,0.142126789366053,148.8,139,158,0.152147239263804
1,exactly two,142,continuous,0.1,978,0.14519427402863,144.6,141,152,0.147852760736196
3,exactly two,146,continuous,0.1,978,0.149284253578732,144.6,141,152,0.147852760736196
1,none,40,continuous,0.1,978,0.0408997955010225,31.6,25,40,0.0323108384458078
5,representation specific,152,continuous,0.1,978,0.155419222903886,148.8,139,158,0.152147239263804
3,none,34,continuous,0.1,978,0.0347648261758691,31.6,25,40,0.0323108384458078
4,representation specific,154,continuous,0.1,978,0.157464212678937,148.8,139,158,0.152147239263804
4,none,29,continuous,0.1,978,0.0296523517382413,31.6,25,40,0.0323108384458078
2,none,30,continuous,0.1,978,0.0306748466257669,31.6,25,40,0.0323108384458078
5,none,25,continuous,0.1,978,0.0255623721881391,31.6,25,40,0.0323108384458078
1,all three,630,continuous,0.11,978,0.644171779141104,622.8,608,631,0.63680981595092
2,all three,608,continuous,0.11,978,0.621676891615542,622.8,608,631,0.63680981595092
3,all three,631,continuous,0.11,978,0.64519427402863,622.8,608,631,0.63680981595092
4,all three,614,continuous,0.11,978,0.627811860940695,622.8,608,631,0.63680981595092
5,all three,631,continuous,0.11,978,0.64519427402863,622.8,608,631,0.63680981595092
2,exactly two,155,continuous,0.11,978,0.158486707566462,151.6,144,155,0.155010224948875
4,exactly two,155,continuous,0.11,978,0.158486707566462,151.6,144,155,0.155010224948875
5,exactly two,144,continuous,0.11,978,0.147239263803681,151.6,144,155,0.155010224948875
1,representation specific,153,continuous,0.11,978,0.156441717791411,166.4,153,180,0.170143149284254
2,representation specific,180,continuous,0.11,978,0.184049079754601,166.4,153,180,0.170143149284254
3,representation specific,153,continuous,0.11,978,0.156441717791411,166.4,153,180,0.170143149284254
1,exactly two,151,continuous,0.11,978,0.15439672801636,151.6,144,155,0.155010224948875
3,exactly two,153,continuous,0.11,978,0.156441717791411,151.6,144,155,0.155010224948875
4,representation specific,174,continuous,0.11,978,0.177914110429448,166.4,153,180,0.170143149284254
1,none,44,continuous,0.11,978,0.0449897750511247,37.2,31,44,0.0380368098159509
5,representation specific,172,continuous,0.11,978,0.175869120654397,166.4,153,180,0.170143149284254
3,none,41,continuous,0.11,978,0.0419222903885481,37.2,31,44,0.0380368098159509
4,none,35,continuous,0.11,978,0.0357873210633947,37.2,31,44,0.0380368098159509
2,none,35,continuous,0.11,978,0.0357873210633947,37.2,31,44,0.0380368098159509
