stability_repeat,selected_tasks,crossings,crossing_proportion,outcome_type,threshold,foundation_model,mean_crossings,min_crossings,max_crossings,mean_crossing_proportion
1,978,896,0.916155419222904,continuous,0.1,TITAN,909.6,896,916,0.930061349693251
2,978,912,0.932515337423313,continuous,0.1,TITAN,909.6,896,916,0.930061349693251
3,978,913,0.933537832310838,continuous,0.1,TITAN,909.6,896,916,0.930061349693251
4,978,911,0.931492842535787,continuous,0.1,TITAN,909.6,896,916,0.930061349693251
5,978,916,0.936605316973415,continuous,0.1,TITAN,909.6,896,916,0.930061349693251
1,978,726,0.742331288343558,continuous,0.1,GigaSSL,720.6,710,728,0.73680981595092
2,978,710,0.725971370143149,continuous,0.1,GigaSSL,720.6,710,728,0.73680981595092
3,978,728,0.744376278118609,continuous,0.1,GigaSSL,720.6,710,728,0.73680981595092
4,978,716,0.732106339468303,continuous,0.1,GigaSSL,720.6,710,728,0.73680981595092
5,978,723,0.739263803680982,continuous,0.1,GigaSSL,720.6,710,728,0.73680981595092
1,978,768,0.785276073619632,continuous,0.1,ProvGigaPath,766.8,754,774,0.784049079754601
2,978,754,0.770961145194274,continuous,0.1,ProvGigaPath,766.8,754,774,0.784049079754601
3,978,767,0.784253578732106,continuous,0.1,ProvGigaPath,766.8,754,774,0.784049079754601
4,978,771,0.788343558282209,continuous,0.1,ProvGigaPath,766.8,754,774,0.784049079754601
5,978,774,0.791411042944785,continuous,0.1,ProvGigaPath,766.8,754,774,0.784049079754601
1,978,888,0.907975460122699,continuous,0.11,TITAN,901.4,888,908,0.921676891615542
2,978,905,0.925357873210634,continuous,0.11,TITAN,901.4,888,908,0.921676891615542
3,978,903,0.923312883435583,continuous,0.11,TITAN,901.4,888,908,0.921676891615542
4,978,903,0.923312883435583,continuous,0.11,TITAN,901.4,888,908,0.921676891615542
5,978,908,0.928425357873211,continuous,0.11,TITAN,901.4,888,908,0.921676891615542
1,978,709,0.724948875255624,continuous,0.11,GigaSSL,694.8,680,709,0.710429447852761
2,978,683,0.698364008179959,continuous,0.11,GigaSSL,694.8,680,709,0.710429447852761
3,978,706,0.721881390593047,continuous,0.11,GigaSSL,694.8,680,709,0.710429447852761
4,978,680,0.695296523517382,continuous,0.11,GigaSSL,694.8,680,709,0.710429447852761
5,978,696,0.711656441717791,continuous,0.11,GigaSSL,694.8,680,709,0.710429447852761
1,978,748,0.764826175869121,continuous,0.11,ProvGigaPath,741.8,726,749,0.758486707566462
2,978,726,0.742331288343558,continuous,0.11,ProvGigaPath,741.8,726,749,0.758486707566462
3,978,743,0.759713701431493,continuous,0.11,ProvGigaPath,741.8,726,749,0.758486707566462
4,978,743,0.759713701431493,continuous,0.11,ProvGigaPath,741.8,726,749,0.758486707566462
5,978,749,0.765848670756646,continuous,0.11,ProvGigaPath,741.8,726,749,0.758486707566462
1,978,882,0.901840490797546,continuous,0.12,TITAN,890,882,899,0.910020449897751
2,978,894,0.914110429447853,continuous,0.12,TITAN,890,882,899,0.910020449897751
3,978,886,0.905930470347648,continuous,0.12,TITAN,890,882,899,0.910020449897751
4,978,889,0.908997955010225,continuous,0.12,TITAN,890,882,899,0.910020449897751
5,978,899,0.91922290388548,continuous,0.12,TITAN,890,882,899,0.910020449897751
1,978,665,0.679959100204499,continuous,0.12,GigaSSL,657,648,665,0.671779141104295
2,978,657,0.671779141104295,continuous,0.12,GigaSSL,657,648,665,0.671779141104295
3,978,663,0.677914110429448,continuous,0.12,GigaSSL,657,648,665,0.671779141104295
4,978,648,0.662576687116564,continuous,0.12,GigaSSL,657,648,665,0.671779141104295
5,978,652,0.666666666666667,continuous,0.12,GigaSSL,657,648,665,0.671779141104295
1,978,717,0.733128834355828,continuous,0.12,ProvGigaPath,714.6,697,724,0.730674846625767
2,978,697,0.712678936605317,continuous,0.12,ProvGigaPath,714.6,697,724,0.730674846625767
