outcome_type,family,tumor_type,endpoint,source,subfamily,n,positive,negative,effect_GigaSSL,effect_ProvGigaPath,effect_TITAN,screening_positive_GigaSSL,screening_positive_ProvGigaPath,screening_positive_TITAN,q2_GigaSSL,q2_ProvGigaPath,q2_TITAN,rmse_GigaSSL,rmse_ProvGigaPath,rmse_TITAN,spearman_GigaSSL,spearman_ProvGigaPath,spearman_TITAN,balanced_accuracy_GigaSSL,balanced_accuracy_ProvGigaPath,balanced_accuracy_TITAN,auc_GigaSSL,auc_ProvGigaPath,auc_TITAN,pr_auc_GigaSSL,pr_auc_ProvGigaPath,pr_auc_TITAN,sensitivity_GigaSSL,sensitivity_ProvGigaPath,sensitivity_TITAN,specificity_GigaSSL,specificity_ProvGigaPath,specificity_TITAN,ppv_GigaSSL,ppv_ProvGigaPath,ppv_TITAN,npv_GigaSSL,npv_ProvGigaPath,npv_TITAN,prevalence_GigaSSL,prevalence_ProvGigaPath,prevalence_TITAN,no_skill_pr_auc_GigaSSL,no_skill_pr_auc_ProvGigaPath,no_skill_pr_auc_TITAN,supported_by_n,support_pattern,best_foundation_model,measurement_class,source_modality,direct_vs_inferred,same_histology_modality,definition_group,primary_consensus_class,sample_size_maturity,tss_retention_class,internal_robustness_class,grouped_effect_GigaSSL,grouped_effect_ProvGigaPath,grouped_effect_TITAN,minimum_primary_effect,mean_primary_effect,provenance_rank,interpretation_scope
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,microsatellite_instability_sensitivity,373,56,317,0.850777377196936,0.857311852185669,0.940232086525462,TRUE,TRUE,TRUE,,,,,,,,,,0.778278503830554,0.839708201892744,0.870718792248761,0.850777377196936,0.857311852185669,0.940232086525462,0.58440060555032,0.61993061564657,0.805139404198732,0.714285714285714,0.875,0.892857142857143,0.842271293375394,0.804416403785489,0.848580441640379,0.444444444444444,0.441441441441441,0.510204081632653,0.943462897526502,0.973282442748092,0.978181818181818,0.150134048257373,0.150134048257373,0.150134048257373,0.150134048257373,0.150134048257373,0.150134048257373,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Matched tumour-normal DNA sequencing,Computational MSI score/status,FALSE,MSI threshold status,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.845763857593511,0.900405588102749,0.858663812528166,0.850777377196936,0.882773771969356,1,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,LGG,TP53,SanchezVega2018_TableS4,oncogenic_pathway,481,248,233,0.836044579814482,0.860739997231067,0.889779177627025,TRUE,TRUE,TRUE,,,,,,,,,,0.762373667451198,0.777914301536758,0.822788315104527,0.836044579814482,0.860739997231067,0.889779177627025,0.824694959064951,0.857815643259889,0.882657861928331,0.782258064516129,0.766129032258065,0.838709677419355,0.742489270386266,0.789699570815451,0.8068669527897,0.763779527559055,0.794979079497908,0.822134387351779,0.762114537444934,0.760330578512397,0.824561403508772,0.515592515592516,0.515592515592516,0.515592515592516,0.515592515592516,0.515592515592516,0.515592515592516,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.781150491485532,0.84217084313997,0.871763810051225,0.836044579814482,0.862187918224191,2,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,LGG,HIPPO,SanchezVega2018_TableS4,oncogenic_pathway,481,379,102,0.803559418490351,0.849526618035077,0.90511666407988,TRUE,TRUE,TRUE,,,,,,,,,,0.69367271974753,0.764550675151327,0.817334057633608,0.803559418490351,0.849526618035077,0.90511666407988,0.926148408199113,0.933831399548306,0.96973483908383,0.759894459102902,0.823218997361478,0.860158311345647,0.627450980392157,0.705882352941177,0.774509803921569,0.883435582822086,0.912280701754386,0.934097421203438,0.412903225806452,0.517985611510791,0.598484848484849,0.787941787941788,0.787941787941788,0.787941787941788,0.787941787941788,0.787941787941788,0.787941787941788,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.797480469760464,0.794660872264473,0.902245330850018,0.803559418490351,0.852734233535103,3,agreement with a composite genomic-context phenotype
binary,microsatellite_instability_sensitivity,STAD,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,microsatellite_instability_sensitivity,358,55,303,0.793639363936394,0.7995799579958,0.876147614761476,TRUE,TRUE,TRUE,,,,,,,,,,0.738223822382238,0.719231923192319,0.820822082208221,0.793639363936394,0.7995799579958,0.876147614761476,0.471196509212887,0.49423621264323,0.592360275909614,0.727272727272727,0.709090909090909,0.836363636363636,0.749174917491749,0.729372937293729,0.805280528052805,0.344827586206897,0.322314049586777,0.438095238095238,0.93801652892562,0.932489451476793,0.964426877470356,0.153631284916201,0.153631284916201,0.153631284916201,0.153631284916201,0.153631284916201,0.153631284916201,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Matched tumour-normal DNA sequencing,Computational MSI score/status,FALSE,MSI threshold status,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.778457845784578,0.846624662466247,0.841524152415241,0.793639363936394,0.823122312231223,4,agreement with a composite genomic-context phenotype
binary,microsatellite_instability,STAD,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,microsatellite_instability,365,62,303,0.78867241562866,0.809219631640583,0.887788778877888,TRUE,TRUE,TRUE,,,,,,,,,,0.723384435217715,0.74720536569786,0.81978601085915,0.78867241562866,0.809219631640583,0.887788778877888,0.49066466879975,0.494748162393564,0.600494216932656,0.661290322580645,0.741935483870968,0.887096774193548,0.785478547854785,0.752475247524752,0.752475247524752,0.386792452830189,0.380165289256198,0.423076923076923,0.918918918918919,0.934426229508197,0.970212765957447,0.16986301369863,0.16986301369863,0.16986301369863,0.16986301369863,0.16986301369863,0.16986301369863,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Matched tumour-normal DNA sequencing,Computational MSI score/status,FALSE,MSI threshold status,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.778664963270521,0.774672628553178,0.890876184392633,0.78867241562866,0.828560275382377,5,agreement with a composite genomic-context phenotype
binary,microsatellite_instability,COAD,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,microsatellite_instability,390,73,317,0.777364850265762,0.821572101464932,0.841018106391254,TRUE,TRUE,TRUE,,,,,,,,,,0.734173112657189,0.764184780260144,0.770990881984357,0.777364850265762,0.821572101464932,0.841018106391254,0.532970207557274,0.617717687372521,0.660586475594068,0.698630136986301,0.73972602739726,0.712328767123288,0.769716088328076,0.788643533123028,0.829652996845426,0.411290322580645,0.446280991735537,0.490566037735849,0.917293233082707,0.929368029739777,0.926056338028169,0.187179487179487,0.187179487179487,0.187179487179487,0.187179487179487,0.187179487179487,0.187179487179487,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Matched tumour-normal DNA sequencing,Computational MSI score/status,FALSE,MSI threshold status,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.784062918629273,0.718983622142518,0.789594226697204,0.777364850265762,0.813318352707316,6,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,LGG,WNT,SanchezVega2018_TableS4,oncogenic_pathway,481,131,350,0.789312977099237,0.766630316248637,0.839498364231189,TRUE,TRUE,TRUE,,,,,,,,,,0.709716466739368,0.691079607415485,0.762639040348964,0.789312977099237,0.766630316248637,0.839498364231189,0.616141385352662,0.566223287655403,0.613829756848509,0.702290076335878,0.633587786259542,0.770992366412214,0.717142857142857,0.748571428571429,0.754285714285714,0.481675392670157,0.485380116959064,0.540106951871658,0.86551724137931,0.845161290322581,0.897959183673469,0.272349272349272,0.272349272349272,0.272349272349272,0.272349272349272,0.272349272349272,0.272349272349272,3,TITAN+GigaSSL+ProvGigaPath,TITAN,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.74721919302072,0.730992366412214,0.819847328244275,0.766630316248637,0.798480552526354,7,agreement with a composite genomic-context phenotype
binary,oncogenic_pathway,THCA,RTK RAS,SanchezVega2018_TableS4,oncogenic_pathway,468,396,72,0.746843434343434,0.813622334455668,0.794051627384961,TRUE,TRUE,TRUE,,,,,,,,,,0.671717171717172,0.696338383838384,0.729166666666667,0.746843434343434,0.813622334455668,0.794051627384961,0.933296000782941,0.958022611253883,0.947667923233039,0.732323232323232,0.767676767676768,0.777777777777778,0.611111111111111,0.625,0.680555555555556,0.911949685534591,0.918429003021148,0.930513595166163,0.293333333333333,0.328467153284672,0.357664233576642,0.846153846153846,0.846153846153846,0.846153846153846,0.846153846153846,0.846153846153846,0.846153846153846,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath,composite genomic-context score,Integrated somatic mutation and copy-number alteration data,Derived binary pathway composite,FALSE,Oncogenic-pathway alteration,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.70770202020202,0.781004489337823,0.79962822671156,0.746843434343434,0.784839132061355,8,agreement with a composite genomic-context phenotype
binary,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,aneuploidy,407,165,242,0.763461056849487,0.76481342349111,0.745679939894816,TRUE,TRUE,TRUE,,,,,,,,,,0.671900826446281,0.697520661157025,0.68305785123967,0.763461056849487,0.76481342349111,0.745679939894816,0.675578194747776,0.701434427014478,0.653107823347614,0.690909090909091,0.709090909090909,0.618181818181818,0.652892561983471,0.685950413223141,0.747933884297521,0.575757575757576,0.606217616580311,0.625766871165644,0.755980861244019,0.775700934579439,0.741803278688525,0.405405405405405,0.405405405405405,0.405405405405405,0.405405405405405,0.405405405405405,0.405405405405405,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,FALSE,Genome-doubling call,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.679864763335838,0.785249186075632,0.740621086902079,0.745679939894816,0.757984806745138,9,agreement with a composite genomic-context phenotype
binary,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,aneuploidy,354,152,202,0.742509119332986,0.782927305888484,0.782406201146431,TRUE,TRUE,TRUE,,,,,,,,,,0.66808884835852,0.699289994788953,0.68362428348098,0.742509119332986,0.782927305888484,0.782406201146431,0.671435661382633,0.710540447780995,0.724456304202131,0.638157894736842,0.730263157894737,0.723684210526316,0.698019801980198,0.668316831683168,0.643564356435644,0.613924050632912,0.623595505617978,0.604395604395604,0.719387755102041,0.767045454545455,0.755813953488372,0.429378531073446,0.429378531073446,0.429378531073446,0.429378531073446,0.429378531073446,0.429378531073446,3,TITAN+GigaSSL+ProvGigaPath,ProvGigaPath,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,FALSE,Genome-doubling call,all three,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",0.65431214174049,0.722023189161021,0.700951016154247,0.742509119332986,0.769280875455967,10,agreement with a composite genomic-context phenotype
