grouped_job_id,code_only_metric,code_prevalence_or_mean_range,n_codes
1,0.538518518518519,0.565217391304348,4
2,0.628822901849218,1,33
3,0.543753420908593,1,28
4,0.505659904833459,1,24
5,0.444409937888199,0.4,16
6,0.473565286065286,1,26
7,0.562235713422738,0.289473684210526,17
8,0.555185394315829,1,32
9,0.52738533988534,1,33
10,0.428965053763441,1,35
11,0.561273209549072,0.714285714285714,9
12,0.557520325203252,1,24
13,0.43781328320802,0.333333333333333,17
14,0.613260582010582,1,26
15,0.521130952380952,0.692307692307692,12
16,0.406781462585034,1,33
17,0.464172335600907,1,15
18,0.490408415841584,1,22
19,0.601787122922504,1,28
20,0.549734937011914,1,33
21,0.535763888888889,0.333333333333333,33
22,0.531386673527142,1,33
23,0.484609087187884,1,33
24,0.680443322109989,0.5,33
25,0.483680555555556,0.666666666666667,33
26,0.536585365853659,0.5,33
27,0.590406554199886,1,33
28,0.488342928803511,1,33
29,0.615795192177102,1,33
30,0.47790346907994,1,28
31,0.494193229552755,1,28
32,0.55175983436853,1,28
33,0.571560480147738,1,24
34,0.453231492361927,1,24
35,0.773151195962256,1,24
36,0.504690669371197,0.5,24
37,0.57315761161915,1,24
38,0.379039704524469,1,24
39,0.56798381011182,1,24
40,0.74352058531746,1,24
41,0.626888826207841,1,24
42,0.556077392421323,0.3,24
43,0.653536414565826,0.333333333333333,24
44,0.748770411174503,1,24
45,0.642770658863889,1,16
46,0.553549509001637,0.666666666666667,16
47,0.520825948245303,0.2,25
48,0.534657579787234,0.5,25
49,0.441484184914842,0.25,25
50,0.647414741474147,0.25,25
51,0.49846547314578,0.5,25
52,0.522871046228711,0.25,25
53,0.48480697384807,1,25
54,0.490350877192982,0.333333333333333,25
55,0.609291521486644,0.25,25
56,0.480785472972973,0.75,25
57,0.51948051948052,0.428571428571429,4
58,0.563426763110307,0.25,17
59,0.545100748028843,0.75,17
60,0.447403415453527,0.25,17
61,0.511043848167539,1,17
62,0.483189153823786,1,25
63,0.530476190476191,1,25
64,0.608940915612365,0.5,25
65,0.45542156256442,1,25
66,0.547260606060606,0.5,25
67,0.318978494623656,0.142857142857143,25
68,0.398962626119085,0.125,25
69,0.536009933774834,0.5,25
70,0.498932584269663,0.5,25
71,0.523903632599285,0.133333333333333,25
72,0.459077279542047,1,25
73,0.563521634615385,1,33
74,0.475514018691589,0.4,33
75,0.543098159509203,0.5,33
76,0.507617254364944,1,33
77,0.527024371069182,1,33
78,0.469248196006041,0.5,33
79,0.592644261255549,1,33
80,0.501555613170858,0.5,33
81,0.486578067241683,0.333333333333333,33
82,0.340814467863648,0.333333333333333,33
83,0.522067691843811,1,33
84,0.507781883327735,1,33
85,0.589019851116625,0.5,35
86,0.588551724137931,1,35
87,0.515436981638621,1,35
88,0.575180741424396,1,35
89,0.528762300984079,1,35
90,0.842565597667639,1,9
91,0.518848626534191,1,25
92,0.558859721082855,1,25
93,0.417036863845375,0.5,26
94,0.555762489044698,0.333333333333333,26
95,0.914285714285714,1,13
96,0.632840722495895,1,13
97,0.829879679144385,0.962962962962963,13
98,0.59580265095729,1,31
99,0.545223577235772,0.5,31
100,0.590799132465799,1,31
101,0.431020066889632,1,15
102,0.445921985815603,0.25,22
103,0.485507246376812,1,22
104,0.259806520010602,0.5,22
105,0.541358784893268,1,22
106,0.4995670995671,0.5,22
107,0.539867109634552,1,22
108,0.464773183460458,0.260869565217391,22
109,0.564039408866995,0.5,22
110,0.588557213930348,0.5,22
111,0.464574780058651,1,22
112,0.536803966437834,1,22
113,0.467746400885936,0.173913043478261,22
114,0.480072463768116,1,22
115,0.572608784893268,1,22
116,0.501622791200866,1,22
117,0.497916666666667,1,15
118,0.630028476677961,1,22
119,0.589009287925697,1,22
120,0.645405887600357,1,17
121,0.505524028012557,1,29
122,0.576058796508957,1,29
123,0.493043247075505,0.5,29
124,0.494773519163763,0.25,29
125,0.488323274731042,0.5,29
126,0.524904214559387,0.285714285714286,29
127,0.464405906593407,0.5,29
128,0.511861530629561,0.571428571428571,29
129,0.526934976118107,1,29
130,0.524692841880342,1,29
131,0.546167200854701,1,29
132,0.484598520142505,0.571428571428571,29
133,0.477011494252874,0.318181818181818,29
134,0.377948504983389,0.333333333333333,29
135,0.42401185770751,0.222222222222222,29
136,0.514625090557836,1,29
137,0.558435960591133,1,29
138,0.526237446909856,0.285714285714286,29
139,0.446527777777778,1,29
140,0.489825581395349,0.333333333333333,29
141,0.510799409407298,1,29
142,0.453071581196581,1,29
143,0.556355550026436,0.5,29
144,0.613336381649139,1,29
145,0.469128440366973,0.5,29
146,0.487293577981651,0.5,29
147,0.419943304110452,0.571428571428571,29
148,0.55295474045474,0.5,29
149,0.545240270418418,1,29
150,0.650323349217155,1,29
151,0.391868926750621,0.5,29
152,0.390348621966269,0.333333333333333,29
153,0.541573507698798,0.5,29
154,0.463731925418569,0.5,29
155,0.59927030290304,0.333333333333333,29
156,0.441227889757302,0.5,29
157,0.555793991416309,0.25,29
158,0.479171798029557,0.5,29
159,0.622181073969399,1,29
160,0.454166666666667,0.571428571428571,29
161,0.502946650124069,0.25,29
162,0.386,0.48,4
163,0.56709229390681,0.666666666666667,33
164,0.562407817109145,1,24
165,0.637396694214876,1,8
166,0.509137136500874,1,31
167,0.513361807009251,1,25
168,0.551635889201124,1,33
169,0.462418111194852,0.4,33
170,0.4576,0.8,13
171,0.36233850129199,1,26
172,0.553186656282451,0.6,26
173,0.50797342192691,1,26
174,0.392829900839054,0.416666666666667,13
175,0.432420267489712,0.5,34
176,0.508984857687394,1,22
177,0.483633474576271,0.333333333333333,22
178,0.501768346595933,1,17
179,0.455555555555556,1,27
180,0.529817207553693,1,24
181,0.533748536143937,1,22
182,0.453571776629958,1,28
183,0.434204596665164,1,24
184,0.511221122112211,1,22
185,0.448041954055749,1,28
186,0.505869872701556,1,33
187,0.520412642669008,1,33
188,0.604320987654321,1,33
189,0.594659452188799,1,33
190,0.513819675156884,1,33
191,0.43552321007081,1,28
192,0.48745347195482,1,24
193,0.510775335775336,0.5,24
194,0.565288441585391,1,24
195,0.473217376254759,1,24
196,0.555830115830116,1,24
197,0.503826140189777,1,24
198,0.564865470852018,1,24
199,0.506124581939799,1,24
200,0.447017543859649,1,18
201,0.715423465423466,0.5,18
202,0.555296610169492,1,18
203,0.534036759700476,1,18
204,0.526544401544402,0.5,18
205,0.53628389154705,0.714285714285714,8
206,0.49327936746988,1,25
207,0.487242087339744,1,25
208,0.522762430939227,0.5,25
209,0.532207097715119,1,25
210,0.51625,0.75,25
211,0.528138528138528,0.428571428571429,4
212,0.48256761159987,1,17
213,0.418007265179035,0.25,17
214,0.67681071211199,1,31
215,0.688663411657003,0.666666666666667,31
216,0.494187346300022,0.8,31
217,0.591360028860029,1,31
218,0.477598321014691,1,25
219,0.560867090899684,0.5,25
220,0.517779918646971,1,25
221,0.568628095551173,1,25
222,0.511941021736121,1,25
223,0.483969465648855,1,25
224,0.534409640577763,1,32
225,0.43525641025641,1,32
226,0.508635082959407,1,32
227,0.523406947319991,1,32
228,0.54539618488628,1,32
229,0.514436234263821,1,33
230,0.539477990508918,0.5,33
231,0.474223700057601,1,33
232,0.572331691297209,0.5,33
233,0.521722545259598,1,33
234,0.509022784252142,1,35
235,0.522747397391408,0.583333333333333,35
236,0.450571895424837,1,13
237,0.564723320158103,1,17
238,0.511157474600871,1,17
239,0.456815511163337,0.5,26
240,0.39980250164582,1,26
241,0.480675741370929,1,26
242,0.56412200876306,1,26
243,0.595588235294118,1,12
244,0.513049450549451,1,12
245,0.40989247311828,0.5,12
246,0.546413502109705,1,12
247,0.535020152261532,1,31
248,0.411167512690355,0.5,31
249,0.566903214774282,1,31
250,0.59206020187455,1,31
251,0.525821370074188,1,21
252,0.501307189542484,1,21
253,0.469943335796994,1,21
254,0.451087394281112,1,21
255,0.38802709636043,1,21
256,0.531576908175126,0.6,21
257,0.458490937746257,1,21
258,0.506950822409618,1,21
259,0.551394090719933,1,15
260,0.633996212121212,0.333333333333333,22
261,0.548794934640523,0.325581395348837,22
262,0.7043202858535,1,26
263,0.48338986883763,0.5,28
264,0.558241758241758,1,28
265,0.610202722699023,1,28
266,0.593751151394569,1,28
267,0.489706799750468,1,28
268,0.5015625,1,10
269,-0.0570263537537157,16,24
270,-0.0521793120956715,15,24
271,-0.0341936202951334,13,31
272,-0.0256470203619277,7,25
273,-0.0926075007031113,19,33
274,-0.0649132941320214,18,22
275,-0.14405838387781,7,15
276,-0.0417703041417152,20,28
277,-0.0345356551603304,16,28
278,-0.0197700550354047,0.983005751205239,25
279,-0.20895724601356,3.17805383034795,27
280,-0.0933272929350761,0.3725,24
281,-0.0652643730658804,24.43,24
282,-0.0786964341726391,28.57,22
283,-0.158884872099592,0.700932082829987,5
284,-0.119134858329207,1.55056726090531,5
285,-0.0534172081374493,0.658240274206978,5
