outer_folds,n_codes,maximum_outer_folds_per_code,minimum_codes_per_outer_fold,exact_outer_test_sizes_matched,exact_outer_class_counts_matched,grouped_fold_hash,matched_fold_hash,error,grouped_job_id,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed
4,4,1,1,TRUE,TRUE,567ed35877a8f59af8d82e8aeab3ded227d942e11dd6c8fa49a6521d30a22bbe,38219ecce01c19eed6729bc783856719c4599efee782268919cdae7fd25c239e,,1,binary,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,52,27,25,20960816
5,33,1,6,TRUE,TRUE,0421bbf65fd9e2c0b54097c5fe58a9ae4b4745f13d53c7606455fd733326f5ec,b915c8b9bbed67451c4b98ec9907a62a3b59d98188a923e7c9ba8cc72dc4f9e2,,2,binary,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20960817
5,28,1,5,TRUE,TRUE,a3ce208ef5949cc3b3ad8589126c5f7d3737a9187ee0f22a13192d248174a46a,d3ee2dfaa374b760e19f1af43a667e8a4adad77035d8c9f6284fee7d13504d0d,,3,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20960818
5,24,1,4,TRUE,TRUE,fc22d5019be705781793f30cc12db62e5673718a3dc793e220683d8d20343a50,116a548155a75008df7b9e8834b0f4abe1e75233ab3f309db4f88077d21cfc52,,4,binary,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,407,165,242,20960819
5,16,1,2,TRUE,TRUE,a791c4093b1a53670fadf08ba88201e166ce0980e2282b252cf978ae426eb706,8785f72ca3652f0e4e438a18056a9e0e9da8d25919cc4fb4f09c424f844d1683,,5,binary,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,361,46,315,20960820
5,26,1,4,TRUE,TRUE,610c40ab82aaa0b3bdbc59e0f85734ce9205b8f4755613d223a526dc1c08a612,5184a1ec23ab20fdd908c1b40836c7b426c0f7d6225169397da1ae82bd59b41b,,6,binary,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,20960821
5,17,1,3,TRUE,TRUE,c38d0da8d8fe68ccd397c1384a9a6b6c6382fa08b686cb027a8001d0c710d6e9,fa64820f0d50e536a9efa332eb88e7ba898dee0a26c4529b8fcd6c9a2d76b468,,7,binary,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,461,89,372,20960822
5,32,1,5,TRUE,TRUE,a1601c8feed784ee8a17c6ad65f81189b8baf4304f684b0d539c035370a821c5,abd13811b33119a546720f20b84ea7286aa5f8a689fe12be8f772c5b6110a39d,,8,binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,346,115,231,20960823
5,33,1,5,TRUE,TRUE,fa6214cc07eec8c7d6de5dbba90e4cac2c098b61347eb4f82d0f2ce9b9007676,5ea0c1edeb457e892bbe0c7dfcf0ee5cdaf0b33e64407e64c0061ed578c36554,,9,binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,449,264,185,20960824
5,35,1,7,TRUE,TRUE,7aeee8691a2914440ae6e9ddd4228a0f2db148d1fb5e1647504e756535080f9d,6a99d9a474dc50bcc0a0dcf14f0fe990087b63dc01d4717c068c3a41e9fc7d26,,10,binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,458,248,210,20960825
5,9,1,1,TRUE,TRUE,0e5cf46e82234c32cd045736d327355d315a5693036b2b9dd500d863021673e8,c46c542370dab711357eb05faa1103a6994b58722f73a21d166a8f0db83c97f8,,11,binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,94,65,29,20960826
5,24,1,4,TRUE,TRUE,62cbd7d95026d9814953fe634cf57868c3571d7277c3d3561faf339d78fa9a66,520c78c4c25acdfb588e36e4ce3eb7b3428a63e83f4fae565f2b188edc164249,,12,binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,163,40,123,20960827
5,17,1,3,TRUE,TRUE,05936965a76f011d9ae0b300aa2bf7bd3973ca83e4bb2a36778174fa01ea7aa9,e74475f34608e3393d9c8b1d1fb1a4d24071661de72ef30d944b24514ccc43ee,,13,binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,157,24,133,20960828
5,26,1,4,TRUE,TRUE,e0507bf9a85f8fe2885b117b082663e57f7870b3c8a1fcf97db58ef0463d375b,193262093322bf7a4cdd78a7a74b4f5ff394794cf7a79087b1eb77c97a514734,,14,binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,352,28,324,20960829
5,12,1,2,TRUE,TRUE,53223a33624e3afa8930fb03e2cf1ec6e4dc4d69d555eb1be6a4c06904d1e3e9,d432ea838bc2a7b7e9117f4338960f79f08a3cc46b7029beb11d46b48562b3ac,,15,binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,142,72,70,20960830
5,33,1,6,TRUE,TRUE,a22de61929feb3fc9c374ce7a20ac0a1fb164bbb2d40375895f1a6537c57a60a,45ec085dd04fe17156d75731781e68e00f7c7fc90991cb8f6437092006a36f8d,,16,binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,238,112,126,20960831
5,15,1,2,TRUE,TRUE,e52fd88540013667d9667f654522d144ff6de7a17e5faa19bfc684099a54b235,9cb56a0095a18722ab7e01144c6e272d83e522f0579725576ccbceeef81ce871,,17,binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,98,35,63,20960832
5,22,1,3,TRUE,TRUE,22ace23bbf2383ac50d9ef52fda514d98fd80b00c3401d849ec0eb0d55e6adcb,04b8cfe6a8746ff3d34f97e114f989dcf13b25d974beb07f8c0fe1761adbd5a7,,18,binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,354,152,202,20960833
5,28,1,5,TRUE,TRUE,cea7927fae7cd1a5fef4c1548f814f6cbe506b845ecd084152c4dc0f46a5ee56,c2205c212f8ed3a7e29a3d33875af63216b53e5e083ba0d604eee4954f6b02d8,,19,binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,476,97,379,20960834
5,33,1,5,TRUE,TRUE,3145c590a11ee0769bab6ed1a27c1dbffd24b2b0fe725ad8bac7a5bf102a5a1e,84fe740d4d6ec4e9b9e6e3b15d123bd710ae0240eb679f57702d00acdcaf6b90,,20,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ATM,TCGA_MC3_Bailey2018,384,53,331,20960835
5,33,1,6,TRUE,TRUE,6dc6bc6080f2a380161409edd659f3fb8b31b736c398bbe9963b8a2d76809af4,4e38f1d251c0de5692c41c6025844331adb03b813c0249d0eb1be1d47adda95a,,21,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,384,24,360,20960836
5,33,1,6,TRUE,TRUE,e75e8d295af72864e03d47acf690ecfea1513d3ba219ff401526bf27fdfa992d,2ddc18d57acad51846d022c053efbcc043221d228e5383b77d66d4c45904f812,,22,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB2,TCGA_MC3_Bailey2018,384,46,338,20960837
5,33,1,6,TRUE,TRUE,1f61fbca669a75157ee29c45f28620da9765e9da517bc5e2bd8d70a9386739b1,4b8c4c4daaf85706c68736b6404c5c9d35cbacd0038eb830c2767e1ffb314c60,,23,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERCC2,TCGA_MC3_Bailey2018,384,35,349,20960838
5,33,1,5,TRUE,TRUE,d763ffc6b86e1c9e6c5359d2c2a040918bc1209be239a294dd8faefea4983c36,1bcec215fbfc7bc9b7a67a477e3e75ac29444336600c8f19eef4220db08bec5e,,24,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,384,54,330,20960839
5,33,1,6,TRUE,TRUE,29fd57016b0efb695fa7e24e655bc9c87fa38e95665e102096cbbb4f40167a15,e28bf62b27d5b4de6b33c374632eae533115547920f112bf411ba0b2de76b165,,25,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,NFE2L2,TCGA_MC3_Bailey2018,384,24,360,20960840
5,33,1,6,TRUE,TRUE,8c3bf144f60bc20247557d7288fdc378c1f79f270411374bfd899afa531b6cfc,a3c722d1e709803c5cd9e92d9d60d3dd4f6be467571b542a5902286f4adc3bae,,26,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,PIK3CA,TCGA_MC3_Bailey2018,384,82,302,20960841
5,33,1,6,TRUE,TRUE,a2211bb0e9389f7ba621517d146c422b4e713d799d0f829e68df9409cbd77c7c,ffe1f64dbec8d4b14a03aa893aa2265bbd00613def162012d70dedd2376e2824,,27,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,RB1,TCGA_MC3_Bailey2018,384,73,311,20960842
5,33,1,6,TRUE,TRUE,5cd26ee26cba21385ea7bd03b24dbc31b083756a02c9ad91a901492cc3597d8b,ab2295a0d544a8720b62231e3e67d3584f64c9ec606c066c12cd949e4231f253,,28,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,STAG2,TCGA_MC3_Bailey2018,384,53,331,20960843
5,33,1,6,TRUE,TRUE,222dff1c8c56db9d1d89ff7d96382dc75b6c52ca792b4d4f7a935561a5b796b3,00b3b45eacf04185307b9ca302cc254f55921884dbdadbad7fa9e7c0d3c62616,,29,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,TP53,TCGA_MC3_Bailey2018,384,185,199,20960844
5,28,1,4,TRUE,TRUE,d15d2929abec54aa3dfe7c2757388ca08e8c597d44da0e648c83a60686fdd894,bda39ee778a78a161be2b15c220ae48b0f6d9e224569929c22e1d59a5c05a787,,30,binary,driver_mutation,Bailey_tissue_specific_driver,CESC,EP300,TCGA_MC3_Bailey2018,251,30,221,20960845
5,28,1,5,TRUE,TRUE,ac1865c564b5a0779f6b5dc61d52fe642b3038ac0945da57c1c67fa6759adb52,1af395a3802c5cf0d13280ec461fbd74b8d241a3eea3f0f30d7f1aa6abd4d533,,31,binary,driver_mutation,Bailey_tissue_specific_driver,CESC,KMT2D,TCGA_MC3_Bailey2018,251,38,213,20960846
5,28,1,5,TRUE,TRUE,9080b2f8399c857ec65e7182f3770bf759e2a09ae0463e65238c952d0379c74f,41884c89a32e1a4f6ef055e651524a1750be1f1a661ed95becaa488004cf40fe,,32,binary,driver_mutation,Bailey_tissue_specific_driver,CESC,TP53,TCGA_MC3_Bailey2018,251,21,230,20960847
5,24,1,4,TRUE,TRUE,3049ea943a5db0cad9c040e5ccf9604b28a80e929678ffef93d91cd2c87002fc,ea202c915d502540cba899f67ab5e568cb57f086fc8f920d9673ff93c84a9f07,,33,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ACVR2A,TCGA_MC3_Bailey2018,382,21,361,20960848
5,24,1,4,TRUE,TRUE,5d303b1599c9994eb99dd658b5f0970e81ab189211b5c8f3c54a2959941e9c2d,458d2edce2c77995c830c6595770f16bd69c8dc7a28e091610ced98df05aa4ed,,34,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,AMER1,TCGA_MC3_Bailey2018,382,37,345,20960849
5,24,1,4,TRUE,TRUE,db04fef66255490c32dd55f669913db4bffd4ad27bdb91935110726700a8ee13,67e7ffe5c34b8d864e727050ef386de08b7cb6e061e442907dfceeaf0ddf1f4a,,35,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,APC,TCGA_MC3_Bailey2018,382,196,186,20960850
5,24,1,4,TRUE,TRUE,901201194b7edcf39c641b16d65cd4f4ff12657782d5766954b2177bad35a001,22f7ca4a1e76589c550cd1b55342f4665ddea03be1ac8d437cc49d126c5ae7f4,,36,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,ARID1A,TCGA_MC3_Bailey2018,382,34,348,20960851
5,24,1,4,TRUE,TRUE,c8d865dff266e1ddb068cc46cd5a18a22bdad1c997b3e8551e1d5e26b9c9c5ca,768e52449c20edc82da40db96a7acf50b627408468b98176933d246190d574dc,,37,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,BRAF,TCGA_MC3_Bailey2018,382,44,338,20960852
5,24,1,4,TRUE,TRUE,2fcfdedf2d2c0cdc406fdac9eba7058a304c8ad52e5049f0d384dd45f014ab19,128c08046bd0f7a2a881888f7dfb06605b0dfe6ce4bfa3779d7d5a76425c41ea,,38,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,CTNNB1,TCGA_MC3_Bailey2018,382,21,361,20960853
5,24,1,4,TRUE,TRUE,15613a69dbf39b5ba84da5e05136b34653faa4a1fe6790448a613a290b10a22c,c14f60f999597482375562a88594667c4da08371841f9494a294c332d23fab24,,39,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,FBXW7,TCGA_MC3_Bailey2018,382,43,339,20960854
5,24,1,4,TRUE,TRUE,2e1c6f93f8736d2ae8ab8b9feddfc07ee825878d99ffa48140dc2a7a47f828f0,c9bdbbf6abeaa691fef60667436eeac850fc72fc9b1649953b7fcc97f88c12ad,,40,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,KRAS,TCGA_MC3_Bailey2018,382,126,256,20960855
5,24,1,4,TRUE,TRUE,c206c0814c81d56cc1fcd74747d1c40a7b937d4556589cb1010f99db7078ba66,f268965ecbf5d98d3b94a62011aea0d5147321789a119f6332462c9746a7ba7c,,41,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,PIK3CA,TCGA_MC3_Bailey2018,382,83,299,20960856
5,24,1,4,TRUE,TRUE,289bd99fac99442c722987a83f0c4a43f941a5901aa4b31b321a760c65a65232,87435afe6718f742306846707ef7b887b6581e91c594db50c4e31a16708c045d,,42,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,SMAD4,TCGA_MC3_Bailey2018,382,36,346,20960857
5,24,1,4,TRUE,TRUE,278958cebbad82e70b044d0d41dec5e80429432cba65209151916ea5aa5c4f8a,afc0f45d798e79da39e345eabf9388f226ea53231b271f8283f1fb0b88f2a1d6,,43,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,SOX9,TCGA_MC3_Bailey2018,382,42,340,20960858
5,24,1,4,TRUE,TRUE,7f66251a4e44a870fbbb93803d5b3ce935eac58c117ec461e33adf7dc9582556,9f8e8d9d849442dd8fbbe1ae34ac3083b805ca96ee30adfd3d4c8d6e46caffa2,,44,binary,driver_mutation,Bailey_tissue_specific_driver,COAD,TP53,TCGA_MC3_Bailey2018,382,161,221,20960859
5,16,1,2,TRUE,TRUE,a93e52371229efa4b05e213826711a6e1465057bcb339194b2c742350c28831f,a11c54e0f8139707a1b9395d0732b73fb5624ff3c75dc5588c0a8d9e12cf3ba3,,45,binary,driver_mutation,Bailey_tissue_specific_driver,GBM,PTEN,TCGA_MC3_Bailey2018,240,53,187,20960860
5,16,1,2,TRUE,TRUE,af43845d4d9b9d4f4031cf68de8d4d866a74c8d52a93f48645c10fed62c7238d,1240779d2968e488a8027ca97193ad405db2fc0b395c2a9d2cfa842192dee926,,46,binary,driver_mutation,Bailey_tissue_specific_driver,GBM,TP53,TCGA_MC3_Bailey2018,240,52,188,20960861
5,25,1,4,TRUE,TRUE,54d937304fd13a268aafc87b2bc3d2f2a3fb0d0543c05c63204822c54573a2fd,340de22db8410071e1efc13de4bb83086c69a4973c3f0963200fbef96fdb2c1c,,47,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,AJUBA,TCGA_MC3_Bailey2018,431,28,403,20960862
5,25,1,4,TRUE,TRUE,eea10580d21b57d2a95044380609c3af86d201298249e805c537ea4bbe266d45,4cfb1ff272e08e9265043f53e698055307c86f6340bb38c9c8089d0358985848,,48,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,CASP8,TCGA_MC3_Bailey2018,431,47,384,20960863
5,25,1,4,TRUE,TRUE,d206f0177ecdd03b8d29cc1eda1769d97c36014917dd5da12638146d8e03f500,2b14ec7c5bff7adb354a56815f3729e76f293f8d0ddf2ffb8f06642f89c8f80c,,49,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HLA-B,TCGA_MC3_Bailey2018,431,20,411,20960864
5,25,1,4,TRUE,TRUE,2d99bd0e94526506a216ea463d959b1c9d189a529795a280b91101b2c16bbfd3,9b7a0eb2c64bd02b10d2ea4dceaa0df22239369b191cae20a31e167f25f1c38d,,50,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HRAS,TCGA_MC3_Bailey2018,431,27,404,20960865
5,25,1,5,TRUE,TRUE,847a7417a86b0501c383bebda79c91252a7ea29803544680f9dbd38e9427d29b,1817c73bc81918cc462de8f2c9ecf1bfd77e7b5303b6b3cafa6ffc1433c9fec3,,51,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HUWE1,TCGA_MC3_Bailey2018,431,40,391,20960866
5,25,1,4,TRUE,TRUE,ce3b93423153610679b7575da2a5fca7a1b4f57171b0589ac79f49fce7cd403d,2dcc71c29e60a2a63b445cada5eef9a6dcad0d73a70e62c0be2b0b0c56c13125,,52,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,KEAP1,TCGA_MC3_Bailey2018,431,20,411,20960867
5,25,1,5,TRUE,TRUE,d65159cdaff72f87e39df510a68dba524c541842987816e9a16e386350fa07ed,1a9d67d4a6edf40ccc90a569351532a5e86920788f379fa4008ae620f42f8f2d,,53,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,KMT2D,TCGA_MC3_Bailey2018,431,66,365,20960868
