grouped_job_id,outer_fold,test_n,training_n,test_codes,training_codes,test_positive,test_negative,training_positive,training_negative,single_class_test
1,1,46,6,1,3,26,20,1,5,FALSE
1,2,1,51,1,3,0,1,27,24,TRUE
1,3,1,51,1,3,0,1,27,24,TRUE
1,4,4,48,1,3,1,3,26,22,FALSE
2,1,98,278,8,25,57,41,171,107,FALSE
2,2,79,297,7,26,45,34,183,114,FALSE
2,3,84,292,6,27,55,29,173,119,FALSE
2,4,70,306,6,27,42,28,186,120,FALSE
2,5,45,331,6,27,29,16,199,132,FALSE
3,1,54,204,7,21,12,42,72,132,FALSE
3,2,31,227,6,22,9,22,75,152,FALSE
3,3,64,194,5,23,23,41,61,133,FALSE
3,4,30,228,5,23,13,17,71,157,FALSE
3,5,79,179,5,23,27,52,57,122,FALSE
4,1,59,348,5,19,29,30,136,212,FALSE
4,2,50,357,5,19,22,28,143,214,FALSE
4,3,217,190,5,19,85,132,80,110,FALSE
4,4,35,372,5,19,17,18,148,224,FALSE
4,5,46,361,4,20,12,34,153,208,FALSE
5,1,34,327,4,12,5,29,41,286,FALSE
5,2,151,210,4,12,17,134,29,181,FALSE
5,3,52,309,4,12,7,45,39,270,FALSE
5,4,85,276,2,14,11,74,35,241,FALSE
5,5,39,322,2,14,6,33,40,282,FALSE
6,1,54,381,6,20,22,32,154,227,FALSE
6,2,174,261,6,20,76,98,100,161,FALSE
6,3,44,391,5,21,19,25,157,234,FALSE
6,4,38,397,5,21,10,28,166,231,FALSE
6,5,125,310,4,22,49,76,127,183,FALSE
7,1,102,359,4,13,21,81,68,291,FALSE
7,2,105,356,4,13,13,92,76,280,FALSE
7,3,72,389,3,14,13,59,76,313,FALSE
7,4,131,330,3,14,29,102,60,270,FALSE
7,5,51,410,3,14,13,38,76,334,FALSE
8,1,50,296,7,25,26,24,89,207,FALSE
8,2,53,293,7,25,15,38,100,193,FALSE
8,3,169,177,7,25,45,124,70,107,FALSE
8,4,43,303,6,26,19,24,96,207,FALSE
8,5,31,315,5,27,10,21,105,210,FALSE
9,1,100,349,7,26,54,46,210,139,FALSE
9,2,140,309,7,26,76,64,188,121,FALSE
9,3,72,377,7,26,46,26,218,159,FALSE
9,4,96,353,7,26,60,36,204,149,FALSE
9,5,41,408,5,28,28,13,236,172,FALSE
10,1,46,412,7,28,28,18,220,192,FALSE
10,2,44,414,7,28,22,22,226,188,FALSE
10,3,38,420,7,28,21,17,227,193,FALSE
10,4,102,356,7,28,57,45,191,165,FALSE
10,5,228,230,7,28,120,108,128,102,FALSE
11,1,54,40,3,6,38,16,27,13,FALSE
11,2,3,91,2,7,2,1,63,28,FALSE
11,3,34,60,2,7,22,12,43,17,FALSE
11,4,1,93,1,8,1,0,64,29,TRUE
11,5,2,92,1,8,2,0,63,29,TRUE
12,1,36,127,5,19,6,30,34,93,FALSE
12,2,21,142,5,19,7,14,33,109,FALSE
12,3,21,142,5,19,3,18,37,105,FALSE
12,4,52,111,5,19,15,37,25,86,FALSE
12,5,33,130,4,20,9,24,31,99,FALSE
13,1,16,141,4,13,2,14,22,119,FALSE
13,2,34,123,4,13,6,28,18,105,FALSE
13,3,47,110,3,14,5,42,19,91,FALSE
13,4,8,149,3,14,1,7,23,126,FALSE
13,5,52,105,3,14,10,42,14,91,FALSE
14,1,40,312,6,20,6,34,22,290,FALSE
14,2,41,311,6,20,2,39,26,285,FALSE
14,3,53,299,5,21,6,47,22,277,FALSE
14,4,140,212,5,21,6,134,22,190,FALSE
14,5,78,274,4,22,8,70,20,254,FALSE
15,1,15,127,3,9,9,6,63,64,FALSE
15,2,31,111,3,9,11,20,61,50,FALSE
15,3,18,124,2,10,12,6,60,64,FALSE
15,4,7,135,2,10,4,3,68,67,FALSE
15,5,71,71,2,10,36,35,36,35,FALSE
16,1,55,183,8,25,25,30,87,96,FALSE
16,2,123,115,7,26,57,66,55,60,FALSE
16,3,19,219,6,27,10,9,102,117,FALSE
16,4,19,219,6,27,10,9,102,117,FALSE
16,5,22,216,6,27,10,12,102,114,FALSE
17,1,65,33,4,11,25,40,10,23,FALSE
17,2,17,81,3,12,5,12,30,51,FALSE
17,3,8,90,3,12,3,5,32,58,FALSE
17,4,6,92,3,12,2,4,33,59,FALSE
17,5,2,96,2,13,0,2,35,61,TRUE
18,1,38,316,5,17,15,23,137,179,FALSE
18,2,77,277,5,17,30,47,122,155,FALSE
18,3,135,219,5,17,56,79,96,123,FALSE
18,4,97,257,4,18,48,49,104,153,FALSE
18,5,7,347,3,19,3,4,149,198,FALSE
19,1,162,314,7,21,46,116,51,263,FALSE
19,2,59,417,6,22,12,47,85,332,FALSE
19,3,64,412,5,23,9,55,88,324,FALSE
19,4,75,401,5,23,14,61,83,318,FALSE
19,5,116,360,5,23,16,100,81,279,FALSE
20,1,51,333,7,26,2,49,51,282,FALSE
20,2,110,274,7,26,20,90,33,241,FALSE
20,3,79,305,7,26,10,69,43,262,FALSE
20,4,96,288,7,26,17,79,36,252,FALSE
20,5,48,336,5,28,4,44,49,287,FALSE
21,1,101,283,8,25,3,98,21,262,FALSE
21,2,78,306,7,26,8,70,16,290,FALSE
21,3,66,318,6,27,3,63,21,297,FALSE
21,4,69,315,6,27,4,65,20,295,FALSE
21,5,70,314,6,27,6,64,18,296,FALSE
22,1,129,255,8,25,8,121,38,217,FALSE
22,2,51,333,7,26,7,44,39,294,FALSE
22,3,46,338,6,27,6,40,40,298,FALSE
22,4,79,305,6,27,9,70,37,268,FALSE
22,5,79,305,6,27,16,63,30,275,FALSE
23,1,111,273,7,26,10,101,25,248,FALSE
23,2,95,289,7,26,12,83,23,266,FALSE
23,3,37,347,7,26,2,35,33,314,FALSE
23,4,60,324,6,27,5,55,30,294,FALSE
23,5,81,303,6,27,6,75,29,274,FALSE
24,1,84,300,7,26,7,77,47,253,FALSE
24,2,89,295,7,26,20,69,34,261,FALSE
24,3,94,290,7,26,18,76,36,254,FALSE
24,4,50,334,7,26,3,47,51,283,FALSE
24,5,67,317,5,28,6,61,48,269,FALSE
25,1,71,313,7,26,5,66,19,294,FALSE
25,2,57,327,7,26,6,51,18,309,FALSE
25,3,92,292,7,26,6,86,18,274,FALSE
25,4,39,345,6,27,1,38,23,322,FALSE
25,5,125,259,6,27,6,119,18,241,FALSE
26,1,140,244,8,25,31,109,51,193,FALSE
26,2,87,297,7,26,18,69,64,233,FALSE
26,3,24,360,6,27,5,19,77,283,FALSE
26,4,97,287,6,27,19,78,63,224,FALSE
26,5,36,348,6,27,9,27,73,275,FALSE
27,1,121,263,7,26,30,91,43,220,FALSE
27,2,86,298,7,26,10,76,63,235,FALSE
27,3,88,296,7,26,21,67,52,244,FALSE
27,4,15,369,6,27,3,12,70,299,FALSE
27,5,74,310,6,27,9,65,64,246,FALSE
28,1,56,328,7,26,14,42,39,289,FALSE
28,2,47,337,7,26,7,40,46,291,FALSE
28,3,60,324,7,26,9,51,44,280,FALSE
28,4,144,240,6,27,16,128,37,203,FALSE
28,5,77,307,6,27,7,70,46,261,FALSE
29,1,102,282,7,26,47,55,138,144,FALSE
29,2,42,342,7,26,18,24,167,175,FALSE
29,3,89,295,7,26,38,51,147,148,FALSE
29,4,70,314,6,27,35,35,150,164,FALSE
29,5,81,303,6,27,47,34,138,165,FALSE
30,1,49,202,6,22,6,43,24,178,FALSE
30,2,25,226,6,22,3,22,27,199,FALSE
30,3,138,113,6,22,17,121,13,100,FALSE
30,4,20,231,6,22,1,19,29,202,FALSE
30,5,19,232,4,24,3,16,27,205,FALSE
31,1,32,219,6,22,6,26,32,187,FALSE
31,2,32,219,6,22,5,27,33,186,FALSE
31,3,46,205,6,22,7,39,31,174,FALSE
31,4,15,236,5,23,3,12,35,201,FALSE
31,5,126,125,5,23,17,109,21,104,FALSE
32,1,21,230,7,21,3,18,18,212,FALSE
32,2,53,198,6,22,4,49,17,181,FALSE
32,3,28,223,5,23,0,28,21,202,TRUE
32,4,75,176,5,23,5,70,16,160,FALSE
32,5,74,177,5,23,9,65,12,165,FALSE
33,1,88,294,6,18,6,82,15,279,FALSE
33,2,37,345,5,19,1,36,20,325,FALSE
33,3,157,225,5,19,8,149,13,212,FALSE
33,4,58,324,4,20,3,55,18,306,FALSE
33,5,42,340,4,20,3,39,18,322,FALSE
34,1,151,231,6,18,17,134,20,211,FALSE
34,2,161,221,6,18,12,149,25,196,FALSE
34,3,12,370,4,20,2,10,35,335,FALSE
34,4,43,339,4,20,4,39,33,306,FALSE
34,5,15,367,4,20,2,13,35,332,FALSE
35,1,55,327,6,18,37,18,159,168,FALSE
35,2,133,249,6,18,17,116,179,70,FALSE
35,3,70,312,4,20,48,22,148,164,FALSE
35,4,45,337,4,20,32,13,164,173,FALSE
35,5,79,303,4,20,62,17,134,169,FALSE
36,1,78,304,6,18,10,68,24,280,FALSE
36,2,93,289,6,18,13,80,21,268,FALSE
36,3,130,252,4,20,6,124,28,224,FALSE
36,4,62,320,4,20,3,59,31,289,FALSE
36,5,19,363,4,20,2,17,32,331,FALSE
37,1,69,313,6,18,12,57,32,281,FALSE
37,2,60,322,6,18,11,49,33,289,FALSE
37,3,152,230,4,20,6,146,38,192,FALSE
37,4,45,337,4,20,10,35,34,303,FALSE
37,5,56,326,4,20,5,51,39,287,FALSE
38,1,149,233,6,18,6,143,15,218,FALSE
38,2,57,325,6,18,4,53,17,308,FALSE
38,3,95,287,4,20,6,89,15,272,FALSE
38,4,39,343,4,20,2,37,19,324,FALSE
38,5,42,340,4,20,3,39,18,322,FALSE
39,1,71,311,5,19,12,59,31,280,FALSE
39,2,202,180,5,19,13,189,30,150,FALSE
39,3,43,339,5,19,7,36,36,303,FALSE
39,4,31,351,5,19,4,27,39,312,FALSE
39,5,35,347,4,20,7,28,36,311,FALSE
40,1,52,330,5,19,27,25,99,231,FALSE
40,2,59,323,5,19,25,34,101,222,FALSE
40,3,69,313,5,19,27,42,99,214,FALSE
40,4,183,199,5,19,37,146,89,110,FALSE
40,5,19,363,4,20,10,9,116,247,FALSE
41,1,105,277,6,18,35,70,48,229,FALSE
41,2,155,227,5,19,17,138,66,161,FALSE
41,3,54,328,5,19,15,39,68,260,FALSE
41,4,37,345,4,20,7,30,76,269,FALSE
41,5,31,351,4,20,9,22,74,277,FALSE
42,1,33,349,5,19,4,29,32,317,FALSE
42,2,89,293,5,19,10,79,26,267,FALSE
42,3,43,339,5,19,5,38,31,308,FALSE
42,4,148,234,5,19,5,143,31,203,FALSE
42,5,69,313,4,20,12,57,24,289,FALSE
43,1,37,345,5,19,6,31,36,309,FALSE
43,2,62,320,5,19,11,51,31,289,FALSE
43,3,57,325,5,19,8,49,34,291,FALSE
43,4,95,287,5,19,15,80,27,260,FALSE
43,5,131,251,4,20,2,129,40,211,FALSE
44,1,95,287,6,18,55,40,106,181,FALSE
44,2,173,209,5,19,33,140,128,81,FALSE
44,3,51,331,5,19,29,22,132,199,FALSE
44,4,21,361,4,20,13,8,148,213,FALSE
44,5,42,340,4,20,31,11,130,210,FALSE
45,1,24,216,4,12,7,17,46,170,FALSE
45,2,40,200,4,12,6,34,47,153,FALSE
45,3,86,154,3,13,26,60,27,127,FALSE
45,4,44,196,3,13,3,41,50,146,FALSE
45,5,46,194,2,14,11,35,42,152,FALSE
46,1,32,208,4,12,9,23,43,165,FALSE
46,2,126,114,4,12,27,99,25,89,FALSE
46,3,67,173,4,12,16,51,36,137,FALSE
46,4,10,230,2,14,0,10,52,178,TRUE
46,5,5,235,2,14,0,5,52,183,TRUE
47,1,68,363,6,19,2,66,26,337,FALSE
47,2,103,328,5,20,5,98,23,305,FALSE
47,3,185,246,5,20,17,168,11,235,FALSE
47,4,51,380,5,20,3,48,25,355,FALSE
47,5,24,407,4,21,1,23,27,380,FALSE
48,1,63,368,6,19,11,52,36,332,FALSE
48,2,43,388,6,19,4,39,43,345,FALSE
48,3,177,254,5,20,22,155,25,229,FALSE
48,4,50,381,4,21,4,46,43,338,FALSE
48,5,98,333,4,21,6,92,41,292,FALSE
49,1,90,341,6,19,4,86,16,325,FALSE
49,2,173,258,5,20,7,166,13,245,FALSE
49,3,76,355,5,20,3,73,17,338,FALSE
49,4,42,389,5,20,3,39,17,372,FALSE
49,5,50,381,4,21,3,47,17,364,FALSE
50,1,53,378,6,19,2,51,25,353,FALSE
50,2,98,333,6,19,5,93,22,311,FALSE
50,3,71,360,5,20,4,67,23,337,FALSE
50,4,144,287,4,21,8,136,19,268,FALSE
50,5,65,366,4,21,8,57,19,347,FALSE
51,1,50,381,5,20,3,47,37,344,FALSE
51,2,39,392,5,20,4,35,36,356,FALSE
51,3,203,228,5,20,16,187,24,204,FALSE
51,4,63,368,5,20,10,53,30,338,FALSE
51,5,76,355,5,20,7,69,33,322,FALSE
52,1,108,323,6,19,11,97,9,314,FALSE
52,2,60,371,6,19,2,58,18,353,FALSE
52,3,48,383,5,20,1,47,19,364,FALSE
52,4,55,376,4,21,2,53,18,358,FALSE
52,5,160,271,4,21,4,156,16,255,FALSE
53,1,40,391,5,20,5,35,61,330,FALSE
53,2,48,383,5,20,7,41,59,324,FALSE
53,3,109,322,5,20,13,96,53,269,FALSE
53,4,189,242,5,20,34,155,32,210,FALSE
53,5,45,386,5,20,7,38,59,327,FALSE
54,1,72,359,6,19,9,63,42,317,FALSE
54,2,30,401,6,19,1,29,50,351,FALSE
54,3,169,262,5,20,24,145,27,235,FALSE
54,4,46,385,4,21,3,43,48,337,FALSE
54,5,114,317,4,21,14,100,37,280,FALSE
55,1,168,263,5,20,12,156,9,254,FALSE
55,2,66,365,5,20,1,65,20,345,FALSE
55,3,78,353,5,20,3,75,18,335,FALSE
55,4,86,345,5,20,3,83,18,327,FALSE
55,5,33,398,5,20,2,31,19,379,FALSE
56,1,67,364,6,19,48,19,272,92,FALSE
56,2,59,372,6,19,35,24,285,87,FALSE
56,3,60,371,5,20,46,14,274,97,FALSE
56,4,152,279,4,21,117,35,203,76,FALSE
56,5,93,338,4,21,74,19,246,92,FALSE
57,1,24,41,1,3,8,16,13,28,FALSE
57,2,9,56,1,3,0,9,21,35,TRUE
57,3,18,47,1,3,7,11,14,33,FALSE
57,4,14,51,1,3,6,8,15,36,FALSE
58,1,124,227,4,13,10,114,25,202,FALSE
58,2,18,333,4,13,1,17,34,299,FALSE
58,3,110,241,4,13,9,101,26,215,FALSE
58,4,55,296,3,14,9,46,26,270,FALSE
58,5,44,307,2,15,6,38,29,278,FALSE
59,1,118,233,4,13,56,62,86,147,FALSE
59,2,55,296,4,13,21,34,121,175,FALSE
59,3,111,240,4,13,36,75,106,134,FALSE
59,4,17,334,3,14,6,11,136,198,FALSE
59,5,50,301,2,15,23,27,119,182,FALSE
60,1,112,239,4,13,10,102,37,202,FALSE
60,2,114,237,4,13,19,95,28,209,FALSE
60,3,51,300,3,14,8,43,39,261,FALSE
60,4,23,328,3,14,2,21,45,283,FALSE
60,5,51,300,3,14,8,43,39,261,FALSE
61,1,43,308,4,13,15,28,145,163,FALSE
61,2,121,230,4,13,57,64,103,127,FALSE
61,3,59,292,4,13,27,32,133,159,FALSE
61,4,49,302,3,14,18,31,142,160,FALSE
61,5,79,272,2,15,43,36,117,155,FALSE
62,1,54,431,6,19,20,34,161,270,FALSE
62,2,184,301,6,19,72,112,109,192,FALSE
62,3,97,388,5,20,36,61,145,243,FALSE
62,4,112,373,4,21,44,68,137,236,FALSE
62,5,38,447,4,21,9,29,172,275,FALSE
63,1,136,349,6,19,23,113,82,267,FALSE
63,2,137,348,5,20,28,109,77,271,FALSE
63,3,63,422,5,20,15,48,90,332,FALSE
63,4,26,459,5,20,6,20,99,360,FALSE
63,5,123,362,4,21,33,90,72,290,FALSE
64,1,179,306,6,19,11,168,23,283,FALSE
64,2,76,409,6,19,5,71,29,380,FALSE
64,3,72,413,5,20,3,69,31,382,FALSE
64,4,45,440,4,21,3,42,31,409,FALSE
64,5,113,372,4,21,12,101,22,350,FALSE
65,1,31,454,6,19,4,27,40,414,FALSE
65,2,204,281,6,19,17,187,27,254,FALSE
65,3,141,344,5,20,13,128,31,313,FALSE
65,4,67,418,4,21,6,61,38,380,FALSE
65,5,42,443,4,21,4,38,40,403,FALSE
66,1,139,346,5,20,107,32,268,78,FALSE
66,2,180,305,5,20,134,46,241,64,FALSE
66,3,96,389,5,20,74,22,301,88,FALSE
66,4,28,457,5,20,25,3,350,107,FALSE
66,5,42,443,5,20,35,7,340,103,FALSE
67,1,65,420,6,19,3,62,17,403,FALSE
67,2,50,435,5,20,1,49,19,416,FALSE
67,3,126,359,5,20,3,123,17,342,FALSE
67,4,61,424,5,20,4,57,16,408,FALSE
67,5,183,302,4,21,9,174,11,291,FALSE
68,1,221,264,6,19,17,204,14,250,FALSE
68,2,53,432,6,19,2,51,29,403,FALSE
68,3,97,388,5,20,7,90,24,364,FALSE
68,4,37,448,4,21,0,37,31,417,TRUE
68,5,77,408,4,21,5,72,26,382,FALSE
69,1,96,389,6,19,7,89,25,364,FALSE
69,2,118,367,6,19,7,111,25,342,FALSE
69,3,27,458,5,20,2,25,30,428,FALSE
69,4,194,291,4,21,14,180,18,273,FALSE
69,5,50,435,4,21,2,48,30,405,FALSE
70,1,89,396,6,19,6,83,34,362,FALSE
70,2,129,356,6,19,14,115,26,330,FALSE
70,3,158,327,5,20,9,149,31,296,FALSE
70,4,94,391,4,21,9,85,31,360,FALSE
70,5,15,470,4,21,2,13,38,432,FALSE
71,1,158,327,6,19,10,148,13,314,FALSE
71,2,45,440,5,20,2,43,21,419,FALSE
71,3,50,435,5,20,2,48,21,414,FALSE
71,4,173,312,5,20,7,166,16,296,FALSE
71,5,59,426,4,21,2,57,21,405,FALSE
72,1,49,436,6,19,18,31,214,222,FALSE
72,2,95,390,5,20,46,49,186,204,FALSE
72,3,212,273,5,20,110,102,122,151,FALSE
72,4,46,439,5,20,20,26,212,227,FALSE
72,5,83,402,4,21,38,45,194,208,FALSE
73,1,33,313,7,26,4,29,22,291,FALSE
73,2,22,324,7,26,2,20,24,300,FALSE
73,3,84,262,7,26,7,77,19,243,FALSE
73,4,53,293,6,27,1,52,25,268,FALSE
73,5,154,192,6,27,12,142,14,178,FALSE
74,1,35,311,8,25,2,33,23,288,FALSE
74,2,49,297,7,26,3,46,22,275,FALSE
74,3,66,280,6,27,5,61,20,260,FALSE
74,4,15,331,6,27,0,15,25,306,TRUE
74,5,181,165,6,27,15,166,10,155,FALSE
